파일어종,전처리,산지,date,기온 평균,수온 평균,풍속 평균
갈치,냉,제주도,2021-01-01,7.2,14.4,5.0
갈치,냉,제주도,2021-01-01,7.2,14.4,5.0
갈치,냉,제주도,2021-01-01,7.2,14.4,5.0
갈치,선,제주도,2021-01-01,7.2,14.4,5.0
갈치,선,제주도,2021-01-01,7.2,14.4,5.0
갈치,선,제주도,2021-01-01,7.2,14.4,5.0
갈치,선,제주도,2021-01-01,7.2,14.4,5.0
갈치,선,제주도,2021-01-01,7.2,14.4,5.0
갈치,선,제주도,2021-01-01,7.2,14.4,5.0
갈치,선,제주도,2021-01-01,7.2,14.4,5.0
갈치,선,제주도,2021-01-01,7.2,14.4,5.0
갈치,선,제주도,2021-01-01,7.2,14.4,5.0
갈치,선,제주도,2021-01-01,7.2,14.4,5.0
갈치,선,제주도,2021-01-01,7.2,14.4,5.0
갈치,선,제주도,2021-01-01,7.2,14.4,5.0
갈치,선,제주도,2021-01-01,7.2,14.4,5.0
갈치,선,제주도,2021-01-01,7.2,14.4,5.0
갈치,선,제주도,2021-01-01,7.2,14.4,5.0
갈치,선,제주도,2021-01-01,7.2,14.4,5.0
갈치,선,제주도,2021-01-01,7.2,14.4,5.0
갈치,선,제주도,2021-01-01,7.2,14.4,5.0
갈치,선,제주도,2021-01-01,7.2,14.4,5.0
갈치,선,제주도,2021-01-01,7.2,14.4,5.0
갈치,선,제주도,2021-01-01,7.2,14.4,5.0
갈치,선,제주도,2021-01-01,7.2,14.4,5.0
갈치,선,제주도,2021-01-01,7.2,14.4,5.0
갈치,선,제주도,2021-01-01,7.2,14.4,5.0
갈치,선,제주도,2021-01-01,7.2,14.4,5.0
갈치,선,제주도,2021-01-01,7.2,14.4,5.0
갈치,선,제주도,2021-01-01,7.2,14.4,5.0
갈치,선,제주도,2021-01-01,7.2,14.4,5.0
갈치,선,제주도,2021-01-01,7.2,14.4,5.0
갈치,선,제주도,2021-01-01,7.2,14.4,5.0
갈치,선,제주도,2021-01-01,7.2,14.4,5.0
갈치,선,제주도,2021-01-01,7.2,14.4,5.0
갈치,선,제주도,2021-01-01,7.2,14.4,5.0
갈치,선,제주도,2021-01-01,7.2,14.4,5.0
갈치,선,제주도,2021-01-01,7.2,14.4,5.0
갈치,선,제주도,2021-01-01,7.2,14.4,5.0
갈치,선,제주도,2021-01-01,7.2,14.4,5.0
갈치,선,제주도,2021-01-01,7.2,14.4,5.0
갈치,선,제주도,2021-01-01,7.2,14.4,5.0
갈치,선,제주도,2021-01-01,7.2,14.4,5.0
갈치,선,제주도,2021-01-01,7.2,14.4,5.0
갈치,선,제주도,2021-01-01,7.2,14.4,5.0
갈치,선,제주도,2021-01-01,7.2,14.4,5.0
갈치,선,제주도,2021-01-01,7.2,14.4,5.0
갈치,선,제주도,2021-01-01,7.2,14.4,5.0
갈치,선,제주도,2021-01-01,7.2,14.4,5.0
갈치,선,제주도,2021-01-01,7.2,14.4,5.0
갈치,선,제주도,2021-01-01,7.2,14.4,5.0
갈치,선,제주도,2021-01-01,7.2,14.4,5.0
갈치,선,제주도,2021-01-01,7.2,14.4,5.0
갈치,선,제주도,2021-01-01,7.2,14.4,5.0
갈치,선,제주도,2021-01-01,7.2,14.4,5.0
갈치,선,제주도,2021-01-01,7.2,14.4,5.0
갈치,선,제주도,2021-01-01,7.2,14.4,5.0
갈치,선,제주도,2021-01-01,7.2,14.4,5.0
갈치,선,제주도,2021-01-01,7.2,14.4,5.0
갈치,선,제주도,2021-01-01,7.2,14.4,5.0
갈치,선,제주도,2021-01-01,7.2,14.4,5.0
갈치,선,제주도,2021-01-01,7.2,14.4,5.0
갈치,선,제주도,2021-01-01,7.2,14.4,5.0
갈치,선,제주도,2021-01-01,7.2,14.4,5.0
갈치,선,제주도,2021-01-01,7.2,14.4,5.0
갈치,선,제주도,2021-01-01,7.2,14.4,5.0
갈치,선,제주도,2021-01-01,7.2,14.4,5.0
갈치,선,제주도,2021-01-01,7.2,14.4,5.0
갈치,선,제주도,2021-01-01,7.2,14.4,5.0
갈치,선,제주도,2021-01-01,7.2,14.4,5.0
갈치,선,제주도,2021-01-01,7.2,14.4,5.0
갈치,선,제주도,2021-01-01,7.2,14.4,5.0
갈치,선,제주도,2021-01-01,7.2,14.4,5.0
갈치,선,제주도,2021-01-01,7.2,14.4,5.0
갈치,선,제주도,2021-01-01,7.2,14.4,5.0
갈치,선,제주도,2021-01-01,7.2,14.4,5.0
갈치,선,제주도,2021-01-01,7.2,14.4,5.0
갈치,선,제주도,2021-01-01,7.2,14.4,5.0
갈치,선,제주도,2021-01-01,7.2,14.4,5.0
갈치,선,제주도,2021-01-01,7.2,14.4,5.0
갈치,선,제주도,2021-01-01,7.2,14.4,5.0
갈치,선,제주도,2021-01-01,7.2,14.4,5.0
갈치,선,제주도,2021-01-01,7.2,14.4,5.0
갈치,선,제주도,2021-01-01,7.2,14.4,5.0
갈치,선,제주도,2021-01-01,7.2,14.4,5.0
갈치,선,제주도,2021-01-01,7.2,14.4,5.0
갈치,선,제주도,2021-01-01,7.2,14.4,5.0
갈치,선,제주도,2021-01-01,7.2,14.4,5.0
갈치,선,제주도,2021-01-01,7.2,14.4,5.0
갈치,선,제주도,2021-01-01,7.2,14.4,5.0
갈치,선,제주도,2021-01-01,7.2,14.4,5.0
갈치,선,제주도,2021-01-01,7.2,14.4,5.0
갈치,선,제주도,2021-01-01,7.2,14.4,5.0
갈치,선,제주도,2021-01-01,7.2,14.4,5.0
갈치,선,제주도,2021-01-01,7.2,14.4,5.0
갈치,선,제주도,2021-01-01,7.2,14.4,5.0
갈치,선,제주도,2021-01-01,7.2,14.4,5.0
갈치,선,제주도,2021-01-01,7.2,14.4,5.0
갈치,선,제주도,2021-01-01,7.2,14.4,5.0
갈치,선,제주도,2021-01-01,7.2,14.4,5.0
갈치,선,제주도,2021-01-01,7.2,14.4,5.0
갈치,선,제주도,2021-01-01,7.2,14.4,5.0
갈치,선,제주도,2021-01-01,7.2,14.4,5.0
갈치,선,제주도,2021-01-01,7.2,14.4,5.0
갈치,선,제주도,2021-01-01,7.2,14.4,5.0
갈치,선,제주도,2021-01-01,7.2,14.4,5.0
갈치,선,제주도,2021-01-01,7.2,14.4,5.0
갈치,선,제주도,2021-01-01,7.2,14.4,5.0
갈치,선,제주도,2021-01-01,7.2,14.4,5.0
갈치,선,제주도,2021-01-01,7.2,14.4,5.0
갈치,선,제주도,2021-01-01,7.2,14.4,5.0
갈치,선,제주도,2021-01-01,7.2,14.4,5.0
갈치,선,제주도,2021-01-01,7.2,14.4,5.0
갈치,선,제주도,2021-01-01,7.2,14.4,5.0
갈치,선,제주도,2021-01-01,7.2,14.4,5.0
갈치,선,제주도,2021-01-01,7.2,14.4,5.0
갈치,선,제주도,2021-01-01,7.2,14.4,5.0
갈치,선,제주도,2021-01-01,7.2,14.4,5.0
갈치,선,제주도,2021-01-01,7.2,14.4,5.0
