파일어종,전처리,산지,date,기온 평균,수온 평균,풍속 평균,평균가,year,month,day
갈치,냉,제주도,2021-01-01,7.2,14.4,5.0,106000,2021,1,1
갈치,냉,제주도,2021-01-01,7.2,14.4,5.0,75000,2021,1,1
갈치,냉,제주도,2021-01-01,7.2,14.4,5.0,146000,2021,1,1
갈치,선,제주도,2021-01-01,7.2,14.4,5.0,146600,2021,1,1
갈치,선,제주도,2021-01-01,7.2,14.4,5.0,85000,2021,1,1
갈치,선,제주도,2021-01-01,7.2,14.4,5.0,45000,2021,1,1
갈치,선,제주도,2021-01-01,7.2,14.4,5.0,150000,2021,1,1
갈치,선,제주도,2021-01-01,7.2,14.4,5.0,50400,2021,1,1
갈치,선,제주도,2021-01-01,7.2,14.4,5.0,143100,2021,1,1
갈치,선,제주도,2021-01-01,7.2,14.4,5.0,25000,2021,1,1
갈치,선,제주도,2021-01-01,7.2,14.4,5.0,100000,2021,1,1
갈치,선,제주도,2021-01-01,7.2,14.4,5.0,163600,2021,1,1
갈치,선,제주도,2021-01-01,7.2,14.4,5.0,154500,2021,1,1
갈치,선,제주도,2021-01-01,7.2,14.4,5.0,179800,2021,1,1
갈치,선,제주도,2021-01-01,7.2,14.4,5.0,100000,2021,1,1
갈치,선,제주도,2021-01-01,7.2,14.4,5.0,153100,2021,1,1
갈치,선,제주도,2021-01-01,7.2,14.4,5.0,35000,2021,1,1
갈치,선,제주도,2021-01-01,7.2,14.4,5.0,86700,2021,1,1
갈치,선,제주도,2021-01-01,7.2,14.4,5.0,200000,2021,1,1
갈치,선,제주도,2021-01-01,7.2,14.4,5.0,220000,2021,1,1
갈치,선,제주도,2021-01-01,7.2,14.4,5.0,30000,2021,1,1
갈치,선,제주도,2021-01-01,7.2,14.4,5.0,36700,2021,1,1
갈치,선,제주도,2021-01-01,7.2,14.4,5.0,30000,2021,1,1
갈치,선,제주도,2021-01-01,7.2,14.4,5.0,75000,2021,1,1
갈치,선,제주도,2021-01-01,7.2,14.4,5.0,125000,2021,1,1
갈치,선,제주도,2021-01-01,7.2,14.4,5.0,70000,2021,1,1
갈치,선,제주도,2021-01-01,7.2,14.4,5.0,70000,2021,1,1
갈치,선,제주도,2021-01-01,7.2,14.4,5.0,158900,2021,1,1
갈치,선,제주도,2021-01-01,7.2,14.4,5.0,130000,2021,1,1
갈치,선,제주도,2021-01-01,7.2,14.4,5.0,44500,2021,1,1
갈치,선,제주도,2021-01-01,7.2,14.4,5.0,71100,2021,1,1
갈치,선,제주도,2021-01-01,7.2,14.4,5.0,90000,2021,1,1
갈치,선,제주도,2021-01-01,7.2,14.4,5.0,44800,2021,1,1
갈치,선,제주도,2021-01-01,7.2,14.4,5.0,160000,2021,1,1
갈치,선,제주도,2021-01-01,7.2,14.4,5.0,53100,2021,1,1
갈치,선,제주도,2021-01-01,7.2,14.4,5.0,111100,2021,1,1
갈치,선,제주도,2021-01-01,7.2,14.4,5.0,183700,2021,1,1
갈치,선,제주도,2021-01-01,7.2,14.4,5.0,39300,2021,1,1
갈치,선,제주도,2021-01-01,7.2,14.4,5.0,58000,2021,1,1
갈치,선,제주도,2021-01-01,7.2,14.4,5.0,168700,2021,1,1
갈치,선,제주도,2021-01-01,7.2,14.4,5.0,80000,2021,1,1
갈치,선,제주도,2021-01-01,7.2,14.4,5.0,80000,2021,1,1
갈치,선,제주도,2021-01-01,7.2,14.4,5.0,23300,2021,1,1
갈치,선,제주도,2021-01-01,7.2,14.4,5.0,33000,2021,1,1
갈치,선,제주도,2021-01-01,7.2,14.4,5.0,40000,2021,1,1
갈치,선,제주도,2021-01-01,7.2,14.4,5.0,133000,2021,1,1
갈치,선,제주도,2021-01-01,7.2,14.4,5.0,40000,2021,1,1
갈치,선,제주도,2021-01-01,7.2,14.4,5.0,140000,2021,1,1
갈치,선,제주도,2021-01-01,7.2,14.4,5.0,23000,2021,1,1
갈치,선,제주도,2021-01-01,7.2,14.4,5.0,77000,2021,1,1
갈치,선,제주도,2021-01-01,7.2,14.4,5.0,60000,2021,1,1
갈치,선,제주도,2021-01-01,7.2,14.4,5.0,144100,2021,1,1
갈치,선,제주도,2021-01-01,7.2,14.4,5.0,65600,2021,1,1
갈치,선,제주도,2021-01-01,7.2,14.4,5.0,37700,2021,1,1
갈치,선,제주도,2021-01-01,7.2,14.4,5.0,54000,2021,1,1
갈치,선,제주도,2021-01-01,7.2,14.4,5.0,167000,2021,1,1
갈치,선,제주도,2021-01-01,7.2,14.4,5.0,71300,2021,1,1
갈치,선,제주도,2021-01-01,7.2,14.4,5.0,85000,2021,1,1
갈치,선,제주도,2021-01-01,7.2,14.4,5.0,40000,2021,1,1
갈치,선,제주도,2021-01-01,7.2,14.4,5.0,70000,2021,1,1
갈치,선,제주도,2021-01-01,7.2,14.4,5.0,190000,2021,1,1
갈치,선,제주도,2021-01-01,7.2,14.4,5.0,32800,2021,1,1
갈치,선,제주도,2021-01-01,7.2,14.4,5.0,170000,2021,1,1
갈치,선,제주도,2021-01-01,7.2,14.4,5.0,90000,2021,1,1
갈치,선,제주도,2021-01-01,7.2,14.4,5.0,35000,2021,1,1
갈치,선,제주도,2021-01-01,7.2,14.4,5.0,175000,2021,1,1
갈치,선,제주도,2021-01-01,7.2,14.4,5.0,150000,2021,1,1
갈치,선,제주도,2021-01-01,7.2,14.4,5.0,75000,2021,1,1
갈치,선,제주도,2021-01-01,7.2,14.4,5.0,163000,2021,1,1
갈치,선,제주도,2021-01-01,7.2,14.4,5.0,40000,2021,1,1
갈치,선,제주도,2021-01-01,7.2,14.4,5.0,100000,2021,1,1
갈치,선,제주도,2021-01-01,7.2,14.4,5.0,75000,2021,1,1
갈치,선,제주도,2021-01-01,7.2,14.4,5.0,20000,2021,1,1
갈치,선,제주도,2021-01-01,7.2,14.4,5.0,33000,2021,1,1
갈치,선,제주도,2021-01-01,7.2,14.4,5.0,50000,2021,1,1
갈치,선,제주도,2021-01-01,7.2,14.4,5.0,130000,2021,1,1
갈치,선,제주도,2021-01-01,7.2,14.4,5.0,290000,2021,1,1
갈치,선,제주도,2021-01-01,7.2,14.4,5.0,138300,2021,1,1
갈치,선,제주도,2021-01-01,7.2,14.4,5.0,146700,2021,1,1
갈치,선,제주도,2021-01-01,7.2,14.4,5.0,80000,2021,1,1
갈치,선,제주도,2021-01-01,7.2,14.4,5.0,220000,2021,1,1
갈치,선,제주도,2021-01-01,7.2,14.4,5.0,17600,2021,1,1
갈치,선,제주도,2021-01-01,7.2,14.4,5.0,140000,2021,1,1
갈치,선,제주도,2021-01-01,7.2,14.4,5.0,142000,2021,1,1
갈치,선,제주도,2021-01-01,7.2,14.4,5.0,170000,2021,1,1
갈치,선,제주도,2021-01-01,7.2,14.4,5.0,154700,2021,1,1
갈치,선,제주도,2021-01-01,7.2,14.4,5.0,39700,2021,1,1
갈치,선,제주도,2021-01-01,7.2,14.4,5.0,140000,2021,1,1
갈치,선,제주도,2021-01-01,7.2,14.4,5.0,60700,2021,1,1
갈치,선,제주도,2021-01-01,7.2,14.4,5.0,167500,2021,1,1
갈치,선,제주도,2021-01-01,7.2,14.4,5.0,43800,2021,1,1
갈치,선,제주도,2021-01-01,7.2,14.4,5.0,102900,2021,1,1
갈치,선,제주도,2021-01-01,7.2,14.4,5.0,140000,2021,1,1
갈치,선,제주도,2021-01-01,7.2,14.4,5.0,23000,2021,1,1
갈치,선,제주도,2021-01-01,7.2,14.4,5.0,40000,2021,1,1
