어종,산지,규격,포장,수량,중량,낙찰고가,낙찰저가,평균가
(선)갈치,안흥,6미,S/P,1,11.0,"250,000","250,000","250,000"
(선)갈치,안흥,17미,S/P,1,10.3,"225,000","225,000","225,000"
(선)갈치,군산,2미,S/P,8,15.0,"100,000","85,000","86,900"
(선)갈치,안흥,15미,S/P,48,10.0,"350,000","150,000","253,600"
(선)갈치,목포,대,S/P,18,10.0,"31,000","31,000","31,000"
(선)갈치,안흥,19미,S/P,10,10.0,"265,000","133,000","238,000"
(선)갈치,안흥,8미,S/P,14,10.0,"350,000","180,000","265,000"
(선)갈치,안흥,11미,S/P,1,9.9,"220,000","220,000","220,000"
(선)갈치,서산,3미,S/P,1,3.4,"140,000","140,000","140,000"
(선)갈치,안흥,16미,S/P,38,10.0,"370,000","160,000","256,600"
(선)갈치,태안,6미,S/P,3,10.0,"250,000","190,000","210,000"
(선)갈치,서산,4미,S/P,1,5.3,"140,000","140,000","140,000"
(선)갈치,목포,1미,미(마리),6,1.0,"28,000","20,000","24,000"
(선)갈치,태안,6미,S/P,2,10.7,"235,000","235,000","235,000"
(선)갈치,안흥,26미,S/P,1,10.0,"210,000","210,000","210,000"
(선)갈치,안흥,16미,S/P,2,10.3,"225,000","225,000","225,000"
(선)갈치,안흥,23미,S/P,4,10.0,"250,000","130,000","180,000"
(선)갈치,안흥,38미,S/P,1,11.0,"120,000","120,000","120,000"
(선)갈치,안흥,1미,미(마리),"1,908",1.0,"50,000","1,500","17,400"
(선)갈치,안흥,7미,S/P,1,5.0,"30,000","30,000","30,000"
(선)갈치,안흥,14미,S/P,1,10.5,"380,000","380,000","380,000"
(선)갈치,목포,8미,S/P,2,6.0,"185,000","100,000","142,500"
(선)갈치,안흥,34미,S/P,1,10.0,"120,000","120,000","120,000"
(선)갈치,군산,7미,S/P,5,10.0,"90,000","85,000","86,000"
(선)갈치,안흥,중,kg,171,1.0,"58,000","1,000","14,100"
(선)갈치,군산,1미,S/P,10,1.0,"40,000","28,000","34,000"
(선)갈치,안흥,40미,S/P,1,12.0,"120,000","120,000","120,000"
(선)갈치,태안,8미,S/P,1,10.0,"250,000","250,000","250,000"
(선)갈치,태안,5미,S/P,2,10.0,"235,000","60,000","147,500"
(선)갈치,태안,10미,S/P,1,11.7,"250,000","250,000","250,000"
(선)갈치,군산,3미,S/P,7,5.0,"102,000","102,000","102,000"
(선)갈치,태안,12미,S/P,1,10.0,"250,000","250,000","250,000"
(선)갈치,안흥,21미,S/P,6,10.0,"260,000","120,000","190,000"
(선)갈치,태안,중,kg,"1,588",1.0,"37,000","2,500","13,800"
(선)갈치,안흥,13미,S/P,42,10.0,"370,000","133,000","256,900"
(선)갈치,안흥,9미,S/P,37,10.0,"360,000","133,000","273,500"
(선)갈치,안흥,24미,S/P,4,10.0,"250,000","140,000","215,000"
(선)갈치,안흥,20미,S/P,11,10.0,"300,000","120,000","235,000"
(선)갈치,안흥,5미,S/P,2,11.0,"300,000","230,000","265,000"
(선)갈치,안흥,28미,S/P,3,10.0,"145,000","120,000","133,300"
(선)갈치,안흥,12미,S/P,59,10.0,"360,000","133,000","251,600"
(선)갈치,안흥,1미,kg,788,1.0,"40,000","2,500","18,100"
(선)갈치,군산,대,S/P,83,1.0,"50,000","13,000","30,300"
(선)갈치,대천,1미,kg,42,1.0,"32,000","17,000","25,700"
(선)갈치,안흥,11미,S/P,42,10.0,"370,000","145,000","265,900"
(선)갈치,태안,5미,S/P,1,4.0,"190,000","190,000","190,000"
(선)갈치,태안,8미,S/P,1,6.0,"55,000","55,000","55,000"
(선)갈치,안흥,10미,S/P,38,10.0,"420,000","160,000","279,600"
(선)갈치,안흥,22미,S/P,5,10.0,"250,000","120,000","198,000"
(선)갈치,태안,9미,S/P,1,10.5,"250,000","250,000","250,000"
