어종,산지,규격,포장,수량,중량,낙찰고가,낙찰저가,평균가
(선)고등어,부산(기장),16미,S/P,63,15.0,"30,000","30,000","30,000"
(선)고등어,부산(기장),30미,S/P,214,15.0,"35,000","10,000","24,100"
(선)고등어,부산(기장),26미,S/P,50,15.0,"50,000","30,000","38,900"
(선)고등어,제주도,대,S/P,7,8.0,"92,000","90,000","90,600"
(선)고등어,제주도,11미,S/P,5,10.0,"60,000","33,000","54,600"
(선)고등어,제주도,대,S/P,8,15.0,"96,000","96,000","96,000"
(선)고등어,제주도,14미,S/P,5,10.0,"60,000","52,000","55,200"
(선)고등어,부산(기장),20미,S/P,198,15.0,"80,000","30,000","53,500"
(선)고등어,제주도,12미,S/P,2,10.0,"20,000","20,000","20,000"
(선)고등어,부산(기장),22미,S/P,99,15.0,"65,000","40,000","53,200"
(선)고등어,제주도,중,S/P,18,9.0,"42,000","28,000","36,300"
(선)고등어,제주도,15미,S/P,2,10.0,"20,000","20,000","20,000"
(선)고등어,제주도,18미,S/P,7,10.0,"29,000","22,000","28,000"
(선)고등어,제주도,10미,S/P,5,10.0,"43,000","33,000","35,000"
(선)고등어,제주도,20미,S/P,3,10.0,"55,000","24,000","44,700"
(선)고등어,제주도,12미,S/P,1,8.0,"50,000","50,000","50,000"
(선)고등어,부산(기장),24미,S/P,30,15.0,"40,000","30,000","34,000"
(선)고등어,제주도,중,S/P,1,10.0,"18,000","18,000","18,000"
(선)고등어,제주도,8미,S/P,7,10.0,"65,000","60,000","62,900"
(선)고등어,부산(기장),18미,S/P,44,15.0,"35,000","25,000","34,800"
(선)고등어,부산(기장),38미,S/P,25,15.0,"16,000","16,000","16,000"
(선)고등어,제주도,대,S/P,45,10.0,"45,000","33,000","38,400"
(선)고등어,남해,중,S/P,43,15.0,"8,000","4,000","6,600"
(선)고등어,제주도,중,S/P,63,15.0,"30,000","13,000","23,600"
(선)고등어,제주도,20미,S/P,1,15.0,"52,000","52,000","52,000"
(선)고등어,제주도,21미,S/P,1,7.0,"20,000","20,000","20,000"
(선)고등어,제주도,20미,S/P,5,8.0,"22,000","22,000","22,000"
(선)고등어,제주도,특대,S/P,9,15.0,"90,000","90,000","90,000"
(선)고등어,제주도,13미,S/P,16,10.0,"68,000","43,000","50,800"
(선)고등어,제주도,6미,S/P,2,10.0,"33,000","33,000","33,000"
(선)고등어,제주도,9미,S/P,2,10.0,"33,000","30,000","31,500"
(선)고등어,제주도,15미,S/P,60,15.0,"55,000","52,000","54,800"
(냉)고등어,부산(기장),20미,kg,55,10.0,"45,000","45,000","45,000"
(냉)고등어,노르웨이,400/600,CT/(BT),798,20.0,"77,700","71,400","76,000"
(냉)고등어,기타(국내),30미,CT/(BT),20,10.0,"33,000","33,000","33,000"
(냉)고등어,제주도,17미,CT/(BT),1,10.0,"35,000","35,000","35,000"
(냉)고등어,부산(기장),18미,CT/(BT),50,10.0,"46,000","46,000","46,000"
(냉)고등어,제주도,20미,CT/(BT),26,12.0,"50,000","48,000","48,600"
(냉)고등어,노르웨이,300/500,CT/(BT),845,20.0,"76,600","75,100","76,300"
(냉)염고등어,기타(국내),24손,CT/(BT),50,10.0,"18,000","18,000","18,000"
(냉)염고등어,노르웨이,8손,CT/(BT),70,7.0,"32,700","32,700","32,700"
(냉)염고등어,노르웨이,특대,CT/(BT),381,7.5,"40,600","38,500","39,800"
(냉)염고등어,기타(국내),소,CT/(BT),50,10.0,"21,000","21,000","21,000"
(냉)염고등어,기타(국내),20손,CT/(BT),50,10.0,"21,700","21,700","21,700"
(냉)염고등어,기타(국내),중,CT/(BT),50,11.5,"25,900","25,900","25,900"
(냉)염고등어,노르웨이,대,CT/(BT),300,7.0,"39,000","38,500","38,700"
(냉)염고등어,노르웨이,10손,CT/(BT),50,7.0,"38,900","38,900","38,900"
(냉)염고등어,노르웨이,중,CT/(BT),20,7.0,"31,000","31,000","31,000"
