어종,산지,규격,포장,수량,중량,낙찰고가,낙찰저가,평균가,year,month,date
(선)고등어,부산(기장),30미,S/P,142,15.0,"36,000","31,000","33,500",2021,1,2021-01-01
(선)고등어,목포,30미,S/P,4,10.0,"30,000","30,000","30,000",2021,1,2021-01-01
(선)고등어,제주도,10미,S/P,59,15.0,"60,000","25,000","34,700",2021,1,2021-01-01
(선)고등어,부산(기장),22미,S/P,168,15.0,"52,000","47,000","48,900",2021,1,2021-01-01
(선)고등어,목포,20미,S/P,32,10.0,"30,000","30,000","30,000",2021,1,2021-01-01
(선)고등어,부산(기장),중,S/P,45,15.0,"41,000","41,000","41,000",2021,1,2021-01-01
(선)고등어,부산(기장),18미,S/P,5,13.0,"80,000","80,000","80,000",2021,1,2021-01-01
(선)고등어,제주도,8미,S/P,103,15.0,"18,000","15,000","15,500",2021,1,2021-01-01
(선)고등어,제주도,12미,S/P,182,15.0,"45,000","16,000","27,100",2021,1,2021-01-01
(선)고등어,제주도,15미,S/P,4,15.0,"22,000","16,000","17,500",2021,1,2021-01-01
(선)고등어,제주도,24미,S/P,1,15.0,"16,000","16,000","16,000",2021,1,2021-01-01
(선)고등어,제주도,14미,S/P,1,15.0,"22,000","22,000","22,000",2021,1,2021-01-01
(선)고등어,제주도,18미,S/P,7,15.0,"11,000","11,000","11,000",2021,1,2021-01-01
(선)고등어,제주도,13미,S/P,10,15.0,"30,000","16,000","21,600",2021,1,2021-01-01
(선)고등어,부산(기장),24미,S/P,277,15.0,"50,000","42,000","45,800",2021,1,2021-01-01
(선)고등어,부산(기장),28미,S/P,100,15.0,"20,000","20,000","20,000",2021,1,2021-01-01
(선)고등어,제주도,11미,S/P,24,15.0,"42,000","20,000","35,600",2021,1,2021-01-01
(냉)고등어,제주도,12미,S/P,1,10.0,"28,000","28,000","28,000",2021,1,2021-01-01
(냉)고등어,제주도,20미,CT/(BT),10,10.0,"10,000","10,000","10,000",2021,1,2021-01-01
(냉)고등어,제주도,15미,S/P,6,15.0,"23,000","23,000","23,000",2021,1,2021-01-01
(냉)고등어,제주도,15미,CT/(BT),16,10.0,"22,000","22,000","22,000",2021,1,2021-01-01
(냉)고등어,제주도,23미,S/P,1,15.0,"30,000","30,000","30,000",2021,1,2021-01-01
(냉)고등어,노르웨이,400/600,CT/(BT),833,20.0,"77,000","54,100","55,900",2021,1,2021-01-01
(냉)고등어,기타(국내),20미,CT/(BT),20,10.0,"50,000","45,000","49,800",2021,1,2021-01-01
(냉)고등어,제주도,14미,S/P,6,10.0,"25,000","25,000","25,000",2021,1,2021-01-01
(냉)고등어,노르웨이,300/500,CT/(BT),260,20.0,"63,700","58,500","59,700",2021,1,2021-01-01
(냉)고등어,제주도,25미,S/P,1,15.0,"18,000","18,000","18,000",2021,1,2021-01-01
(냉)고등어,제주도,13미,S/P,1,10.0,"28,000","28,000","28,000",2021,1,2021-01-01
(냉)고등어,제주도,16미,S/P,3,15.0,"30,000","30,000","30,000",2021,1,2021-01-01
(냉)고등어,제주도,16미,S/P,2,10.0,"25,000","25,000","25,000",2021,1,2021-01-01
(냉)고등어,제주도,21미,S/P,1,15.0,"30,000","30,000","30,000",2021,1,2021-01-01
(냉)고등어,제주도,17미,S/P,2,10.0,"25,000","25,000","25,000",2021,1,2021-01-01
(냉)고등어,제주도,18미,S/P,1,15.0,"30,000","30,000","30,000",2021,1,2021-01-01
(냉)고등어,제주도,15미,S/P,4,10.0,"25,000","25,000","25,000",2021,1,2021-01-01
(냉)고등어,기타(국내),30미,CT/(BT),50,10.0,"32,000","32,000","32,000",2021,1,2021-01-01
(냉)염고등어,노르웨이,대,CT/(BT),476,7.0,"32,500","31,600","31,700",2021,1,2021-01-01
