어종,산지,규격,포장,수량,중량,낙찰고가,낙찰저가,평균가,year,month
(냉)꽁치,바누아투,1번,CT/(BT),60,9.2,"58,800","57,000","57,900",2021,1
(선)학꽁치,속초,중,S/P,25,10.0,"58,000","30,000","50,200",2021,1
(선)학꽁치,포항,36미,S/P,2,10.0,"25,000","25,000","25,000",2021,1
(선)학꽁치,여수,중,S/P,100,4.0,"30,000","20,000","26,300",2021,1
(선)학꽁치,포항,중,S/P,1,15.0,"50,000","50,000","50,000",2021,1
(선)학꽁치,포항,중,S/P,4,10.0,"50,000","30,000","37,500",2021,1
(선)학꽁치,포항,30미,S/P,4,10.0,"25,000","25,000","25,000",2021,1
(선)학꽁치,속초,20미,S/P,1,10.0,"22,000","22,000","22,000",2021,1
(냉)꽁치,대만,1번,CT/(BT),"1,000",9.2,"58,500","56,500","56,600",2021,2
(냉)꽁치,바누아투,1번,CT/(BT),80,9.2,"56,500","56,500","56,500",2021,2
(냉)꽁치,러시아,1번,CT/(BT),129,9.2,"56,500","56,500","56,500",2021,2
(선)학꽁치,포항,40미,S/P,2,20.0,"51,000","50,000","50,500",2021,2
(선)학꽁치,임원,20미,S/P,2,15.0,"35,000","35,000","35,000",2021,2
(선)학꽁치,포항,45미,S/P,5,20.0,"50,000","50,000","50,000",2021,2
(선)학꽁치,포항,60미,S/P,4,15.0,"40,000","40,000","40,000",2021,2
(선)학꽁치,삼척,중,S/P,51,10.0,"72,000","20,000","36,300",2021,2
(선)학꽁치,동해시,중,S/P,54,10.0,"57,000","28,000","46,600",2021,2
(선)학꽁치,포항,중,S/P,76,10.0,"100,000","28,000","54,700",2021,2
(선)학꽁치,여수,중,kg,11,15.0,"10,000","10,000","10,000",2021,2
(선)학꽁치,삼척,중,S/P,17,15.0,"67,000","25,000","51,200",2021,2
(선)학꽁치,포항,40미,S/P,6,10.0,"35,000","30,000","32,500",2021,2
(선)학꽁치,포항,22미,S/P,1,10.0,"22,000","22,000","22,000",2021,2
(선)학꽁치,임원,8미,S/P,1,15.0,"15,000","15,000","15,000",2021,2
(냉)꽁치,대만,1번,CT/(BT),195,9.2,"57,800","57,000","57,300",2021,3
(냉)꽁치,대만,특대,CT/(BT),85,9.2,"59,500","59,000","59,000",2021,3
(선)학꽁치,완도,중,S/P,9,2.0,"2,000","2,000","2,000",2021,3
(선)학꽁치,임원,중,S/P,2,10.0,"15,000","15,000","15,000",2021,3
(선)학꽁치,포항,중,S/P,80,1.0,"2,000","2,000","2,000",2021,3
(선)학꽁치,포항,45미,S/P,1,10.0,"60,000","60,000","60,000",2021,3
(선)학꽁치,포항,30미,S/P,9,10.0,"20,000","20,000","20,000",2021,3
(선)학꽁치,포항,40미,S/P,4,10.0,"85,000","85,000","85,000",2021,3
(선)학꽁치,포항,중,S/P,191,10.0,"100,000","15,000","57,800",2021,3
(선)학꽁치,포항,76미,S/P,1,10.0,"35,000","35,000","35,000",2021,3
(선)학꽁치,동해시,중,S/P,65,10.0,"50,000","20,000","29,300",2021,3
(선)학꽁치,포항,35미,S/P,1,10.0,"40,000","40,000","40,000",2021,3
(선)학꽁치,포항,중,S/P,3,15.0,"50,000","8,000","36,000",2021,3
(선)학꽁치,포항,43미,S/P,1,10.0,"75,000","75,000","75,000",2021,3
(선)학꽁치,포항,25미,S/P,1,10.0,"20,000","20,000","20,000",2021,3
(선)학꽁치,포항,50미,S/P,4,10.0,"60,000","35,000","48,800",2021,3
(선)꽁치,축산,중,S/P,57,10.0,"10,000","10,000","10,000",2021,4
(냉)꽁치,기타(국내),L,CT/(BT),271,11.0,"53,100","53,000","53,000",2021,4
(냉)꽁치,대만,특대,CT/(BT),100,9.2,"59,000","57,500","58,300",2021,4
(냉)꽁치,기타(원양),L,CT/(BT),40,11.0,"53,000","53,000","53,000",2021,4
(냉)꽁치,바누아투,1번,CT/(BT),20,9.2,"57,800","57,800","57,800",2021,4
(냉)꽁치,대만,1번,CT/(BT),15,9.2,"57,800","57,800","57,800",2021,4
(선)학꽁치,포항,50미,S/P,9,10.0,"52,000","45,000","48,100",2021,4
(선)학꽁치,서산,중,S/P,17,5.0,"15,000","8,000","12,200",2021,4
(선)학꽁치,포항,27미,S/P,1,10.0,"15,000","15,000","15,000",2021,4
(선)학꽁치,서산,중,S/P,18,3.0,"10,000","10,000","10,000",2021,4
(선)학꽁치,포항,중,S/P,14,1.0,"3,000","3,000","3,000",2021,4
(선)학꽁치,포항,28미,S/P,1,10.0,"60,000","60,000","60,000",2021,4
(선)학꽁치,군산,중,kg,514,1.0,800,300,300,2021,4
(선)학꽁치,강구,중,S/P,36,1.0,700,700,700,2021,4
(선)학꽁치,포항,중,S/P,287,10.0,"120,000","10,000","58,000",2021,4
(선)학꽁치,포항,20미,S/P,1,10.0,"30,000","30,000","30,000",2021,4
(선)학꽁치,동해시,중,S/P,25,10.0,"40,000","40,000","40,000",2021,4
(선)학꽁치,속초,중,S/P,3,10.0,"30,000","30,000","30,000",2021,4
(선)학꽁치,동해시,30미,S/P,28,10.0,"22,000","22,000","22,000",2021,4
(선)학꽁치,감포,중,S/P,2,10.0,"60,000","60,000","60,000",2021,4
(선)학꽁치,포항,중,S/P,2,15.0,"90,000","80,000","85,000",2021,4
(선)학꽁치,안흥,중,kg,1,10.0,"20,000","20,000","20,000",2021,4
(선)학꽁치,포항,26미,S/P,1,10.0,"45,000","45,000","45,000",2021,4
(선)학꽁치,포항,대,S/P,12,10.0,"100,000","55,000","70,000",2021,4
(선)꽁치,속초,40미,S/P,250,10.0,"11,000","11,000","11,000",2021,5
(냉)꽁치,대만,1번,CT/(BT),170,9.2,"60,400","57,700","58,800",2021,5
(냉)꽁치,기타(원양),2L,CT/(BT),30,6.0,"40,500","40,500","40,500",2021,5
(선)학꽁치,포항,33미,S/P,1,10.0,"40,000","40,000","40,000",2021,5
(선)학꽁치,서산,중,S/P,41,3.0,"17,800","9,000","12,900",2021,5
(선)학꽁치,군산,중,S/P,84,10.0,"19,000","6,000","9,600",2021,5
(선)학꽁치,포항,42미,S/P,1,10.0,"59,000","59,000","59,000",2021,5
(선)학꽁치,포항,30미,S/P,12,10.0,"50,000","40,000","49,200",2021,5
(선)학꽁치,포항,40미,S/P,2,10.0,"60,000","60,000","60,000",2021,5
(선)학꽁치,서산,중,S/P,17,1.0,"15,000","9,000","10,800",2021,5
(선)학꽁치,속초,16미,S/P,1,10.0,"19,000","19,000","19,000",2021,5
(선)학꽁치,포항,80미,S/P,1,10.0,"30,000","30,000","30,000",2021,5
(선)학꽁치,포항,중,S/P,34,10.0,"88,000","40,000","62,400",2021,5
(선)학꽁치,군산,중,S/P,56,4.0,"13,000","10,000","10,500",2021,5
(선)학꽁치,포항,25미,S/P,1,10.0,"30,000","30,000","30,000",2021,5
(선)학꽁치,속초,30미,S/P,32,10.0,"35,000","25,000","25,300",2021,5
(선)학꽁치,대천,중,S/P,14,2.0,"15,000","6,000","7,200",2021,5
(선)학꽁치,포항,50미,S/P,17,10.0,"100,000","68,000","76,300",2021,5
(냉)꽁치,대만,1번,CT/(BT),600,9.2,"60,900","59,800","60,100",2021,6
(냉)꽁치,대만,1번,CT/(BT),610,9.2,"61,400","57,300","57,500",2021,7
(냉)꽁치,대만,1번,CT/(BT),30,9.5,"56,000","56,000","56,000",2021,7
(냉)꽁치,대만,1번,CT/(BT),100,9.0,"61,400","60,800","61,100",2021,7
(냉)꽁치,중국,1번,CT/(BT),50,9.0,"54,000","53,000","54,000",2021,8
(냉)꽁치,중국,1번,CT/(BT),80,9.0,"54,000","53,900","53,900",2021,9
(선)학꽁치,통영,중,S/P,1,20.0,"100,000","100,000","100,000",2021,9
(냉)꽁치,대만,1번,CT/(BT),30,8.6,"60,900","60,900","60,900",2021,10
(냉)꽁치,중국,1번,CT/(BT),350,9.0,"59,500","50,000","57,700",2021,10
(선)학꽁치,여수,중,S/P,20,4.0,"27,500","24,000","25,800",2021,10
(냉)꽁치,대만,1번,CT/(BT),50,9.0,"65,000","65,000","65,000",2021,11
(냉)꽁치,중국,1번,CT/(BT),270,9.0,"57,500","57,500","57,500",2021,11
(선)꽁치,삼천포,중,S/P,1,10.0,"20,000","20,000","20,000",2021,12
(냉)꽁치,대만,1번,CT/(BT),300,9.5,"62,500","62,500","62,500",2021,12
