어종,산지,규격,포장,수량,중량,낙찰고가,낙찰저가,평균가
(활)넙치,속초,중,kg,29.2,1.0,"29,000","6,000","20,700"
(활)넙치,통영,3미,kg,3.4,1.0,"6,000","6,000","6,000"
(활)넙치,목포,중,kg,505.5,1.0,"33,000","10,000","20,900"
(활)넙치,부산(기장),중,kg,"1,646.7",1.0,"28,000","7,000","18,800"
(활)넙치,보령,중,kg,8.3,1.0,"11,000","3,000","8,400"
(활)넙치,군산,중,kg,360.1,1.0,"25,000","7,000","15,500"
(활)넙치,서천,중,kg,1.1,1.0,"7,000","7,000","7,000"
(활)넙치,진도,중,kg,86.1,1.0,"20,000","10,000","15,000"
(활)넙치,완도,중,kg,"21,027.4",1.0,"28,000","1,000","19,500"
(활)넙치,여수,중,kg,"1,058.5",1.0,"28,500","6,000","16,100"
(활)넙치,중국,중,kg,"8,590.2",1.0,"18,000","3,000","14,800"
(활)넙치,제주도,소,kg,275.8,1.0,"20,000","5,000","17,300"
(활)넙치,안흥,중,kg,41.8,1.0,"18,000","8,000","14,900"
(활)넙치,통영,중,kg,"3,790.3",1.0,"35,000","3,000","19,000"
(활)넙치,제주도,중,kg,"32,392.6",1.0,"90,000","1,000","16,000"
(활)넙치,통영,2미,kg,2.9,1.0,"6,000","6,000","6,000"
(선)넙치,제주도,중,S/P,56.5,1.0,"6,000","3,000","3,500"
(선)넙치,제주도,5미,S/P,1,16.0,"144,000","144,000","144,000"
(선)넙치,태안,중,kg,25.3,1.0,"10,000","3,000","8,300"
(선)넙치,보령,중,kg,22,1.0,"10,500","3,000","7,400"
(선)넙치,군산,1미,S/P,1,2.8,"15,000","15,000","15,000"
(선)넙치,제주도,중,S/P,1,15.0,"35,000","35,000","35,000"
(선)넙치,제주도,4미,S/P,3,10.0,"85,000","80,000","83,300"
(선)넙치,제주도,3미,S/P,6,10.0,"85,000","36,000","44,200"
(선)넙치,군산,5미,S/P,1,5.0,"17,500","17,500","17,500"
(선)넙치,완도,중,kg,78.3,1.0,"4,500","3,000","4,400"
(선)넙치,나로도,2미,S/P,1,10.0,"25,000","25,000","25,000"
(선)넙치,제주도,2미,S/P,1,7.5,"37,500","37,500","37,500"
(선)넙치,제주도,중,kg,349.7,1.0,"9,000",500,"2,800"
(선)넙치,제주도,3미,S/P,6,11.0,"93,500","77,000","82,500"
(선)넙치,완도,중,S/P,16.7,1.0,"7,000","6,500","6,700"
(선)넙치,나로도,4미,S/P,3,10.0,"25,000","25,000","25,000"
(선)넙치,제주도,2미,S/P,1,14.5,"130,500","130,500","130,500"
