어종,산지,규격,포장,수량,중량,낙찰고가,낙찰저가,평균가
(활)넙치,제주도,소,kg,3.3,1.0,"1,000","1,000","1,000"
(활)넙치,완도,중,kg,"12,678.4",1.0,"25,000","4,000","20,400"
(활)넙치,안흥,중,kg,280.7,1.0,"29,000","5,000","13,500"
(활)넙치,태안,중,kg,390.4,1.0,"23,000","3,000","12,400"
(활)넙치,중국,중,kg,"2,801.4",1.0,"20,500","5,000","12,300"
(활)넙치,군산,중,kg,502.4,1.0,"17,000","2,000","9,400"
(활)넙치,부산(기장),중,kg,"1,245.5",1.0,"28,000","4,000","19,000"
(활)넙치,제주도,중,kg,"53,768.2",1.0,"110,000","1,000","17,200"
(활)넙치,목포,중,kg,100,1.0,"31,000","12,000","25,400"
(활)넙치,여수,중,kg,189.4,1.0,"22,000","4,500","13,400"
(활)넙치,통영,중,kg,"1,192.5",1.0,"27,000","3,000","15,600"
(선)넙치,제주도,3미,S/P,1,9.0,"63,000","63,000","63,000"
(선)넙치,군산,대,S/P,10.8,1.0,"7,000","7,000","7,000"
(선)넙치,통영,중,S/P,18.7,1.0,"10,000","2,000","5,700"
(선)넙치,제주도,2미,S/P,12,1.0,"6,500","6,500","6,500"
(선)넙치,제주도,대,S/P,1,14.5,"101,500","101,500","101,500"
(선)넙치,제주도,대,S/P,1,22.0,"110,000","110,000","110,000"
(선)넙치,제주도,2미,S/P,1,15.0,"90,000","90,000","90,000"
(선)넙치,제주도,3미,S/P,1,20.0,"140,000","140,000","140,000"
(선)넙치,제주도,대,S/P,1,12.1,"78,650","78,650","78,700"
(선)넙치,제주도,대,S/P,1,18.0,"81,000","81,000","81,000"
(선)넙치,제주도,대,S/P,1,11.0,"66,000","66,000","66,000"
(선)넙치,제주도,대,S/P,1,12.8,"83,200","83,200","83,200"
(선)넙치,통영,대,S/P,20.7,1.0,"12,000","2,000","10,600"
(선)넙치,제주도,대,S/P,1,11.7,"76,050","76,050","76,100"
(선)넙치,삼천포,대,S/P,49.4,1.0,"8,000","2,500","5,000"
(선)넙치,태안,중,kg,450.5,1.0,"11,000","3,000","7,600"
(선)넙치,제주도,6미,S/P,2,17.5,"113,750","113,750","113,800"
(선)넙치,남해,대,S/P,1,10.0,"7,000","7,000","7,000"
(선)넙치,제주도,대,S/P,1,4.0,"24,000","24,000","24,000"
(선)넙치,제주도,대,S/P,2,13.7,"89,000","68,500","78,800"
(선)넙치,제주도,대,S/P,1,13.9,"69,500","69,500","69,500"
(선)넙치,제주도,대,S/P,1,12.2,"48,800","48,800","48,800"
(선)넙치,완도,중,kg,408.5,1.0,"10,000",300,"6,300"
(선)넙치,안흥,중,kg,247.6,1.0,"13,000","2,500","7,000"
(선)넙치,제주도,대,S/P,1,12.5,"72,500","72,500","72,500"
(선)넙치,부산(기장),대,S/P,1,10.0,"30,000","30,000","30,000"
(선)넙치,제주도,대,S/P,1,13.8,"110,400","110,400","110,400"
(선)넙치,제주도,7미,S/P,19.4,1.0,"6,500","6,500","6,500"
(선)넙치,제주도,대,S/P,1,13.0,"78,000","78,000","78,000"
(활)찰넙치,제주도,중,kg,543.8,1.0,"28,000","5,000","25,700"
