어종,산지,규격,포장,수량,중량,낙찰고가,낙찰저가,평균가,year,month,date
(활)넙치,속초,중,kg,29.2,1.0,"29,000","6,000","20,700",2021,1,2021-01-01
(활)넙치,통영,3미,kg,3.4,1.0,"6,000","6,000","6,000",2021,1,2021-01-01
(활)넙치,목포,중,kg,505.5,1.0,"33,000","10,000","20,900",2021,1,2021-01-01
(활)넙치,부산(기장),중,kg,"1,646.7",1.0,"28,000","7,000","18,800",2021,1,2021-01-01
(활)넙치,보령,중,kg,8.3,1.0,"11,000","3,000","8,400",2021,1,2021-01-01
(활)넙치,군산,중,kg,360.1,1.0,"25,000","7,000","15,500",2021,1,2021-01-01
(활)넙치,서천,중,kg,1.1,1.0,"7,000","7,000","7,000",2021,1,2021-01-01
(활)넙치,진도,중,kg,86.1,1.0,"20,000","10,000","15,000",2021,1,2021-01-01
(활)넙치,완도,중,kg,"21,027.4",1.0,"28,000","1,000","19,500",2021,1,2021-01-01
(활)넙치,여수,중,kg,"1,058.5",1.0,"28,500","6,000","16,100",2021,1,2021-01-01
(활)넙치,중국,중,kg,"8,590.2",1.0,"18,000","3,000","14,800",2021,1,2021-01-01
(활)넙치,제주도,소,kg,275.8,1.0,"20,000","5,000","17,300",2021,1,2021-01-01
(활)넙치,안흥,중,kg,41.8,1.0,"18,000","8,000","14,900",2021,1,2021-01-01
(활)넙치,통영,중,kg,"3,790.3",1.0,"35,000","3,000","19,000",2021,1,2021-01-01
(활)넙치,제주도,중,kg,"32,392.6",1.0,"90,000","1,000","16,000",2021,1,2021-01-01
(활)넙치,통영,2미,kg,2.9,1.0,"6,000","6,000","6,000",2021,1,2021-01-01
(선)넙치,제주도,중,S/P,56.5,1.0,"6,000","3,000","3,500",2021,1,2021-01-01
(선)넙치,제주도,5미,S/P,1,16.0,"144,000","144,000","144,000",2021,1,2021-01-01
(선)넙치,태안,중,kg,25.3,1.0,"10,000","3,000","8,300",2021,1,2021-01-01
(선)넙치,보령,중,kg,22,1.0,"10,500","3,000","7,400",2021,1,2021-01-01
(선)넙치,군산,1미,S/P,1,2.8,"15,000","15,000","15,000",2021,1,2021-01-01
(선)넙치,제주도,중,S/P,1,15.0,"35,000","35,000","35,000",2021,1,2021-01-01
(선)넙치,제주도,4미,S/P,3,10.0,"85,000","80,000","83,300",2021,1,2021-01-01
(선)넙치,제주도,3미,S/P,6,10.0,"85,000","36,000","44,200",2021,1,2021-01-01
(선)넙치,군산,5미,S/P,1,5.0,"17,500","17,500","17,500",2021,1,2021-01-01
(선)넙치,완도,중,kg,78.3,1.0,"4,500","3,000","4,400",2021,1,2021-01-01
(선)넙치,나로도,2미,S/P,1,10.0,"25,000","25,000","25,000",2021,1,2021-01-01
(선)넙치,제주도,2미,S/P,1,7.5,"37,500","37,500","37,500",2021,1,2021-01-01
(선)넙치,제주도,중,kg,349.7,1.0,"9,000",500,"2,800",2021,1,2021-01-01
(선)넙치,제주도,3미,S/P,6,11.0,"93,500","77,000","82,500",2021,1,2021-01-01
(선)넙치,완도,중,S/P,16.7,1.0,"7,000","6,500","6,700",2021,1,2021-01-01
(선)넙치,나로도,4미,S/P,3,10.0,"25,000","25,000","25,000",2021,1,2021-01-01
(선)넙치,제주도,2미,S/P,1,14.5,"130,500","130,500","130,500",2021,1,2021-01-01
(선)넙치,제주도,7미,S/P,1,16.5,"82,500","82,500","82,500",2021,1,2021-01-01
(선)넙치,제주도,4미,S/P,3,12.0,"108,000","102,000","104,000",2021,1,2021-01-01
(선)넙치,나로도,3미,S/P,8,10.0,"25,000","25,000","25,000",2021,1,2021-01-01
(선)넙치,제주도,2미,S/P,6,10.0,"36,000","36,000","36,000",2021,1,2021-01-01
(선)넙치,제주도,4미,S/P,3,11.0,"99,000","88,000","91,700",2021,1,2021-01-01
(선)넙치,나로도,중,S/P,2,10.0,"25,000","25,000","25,000",2021,1,2021-01-01
(선)넙치,안흥,중,kg,41.6,1.0,"7,000","2,000","4,700",2021,1,2021-01-01
(선)넙치,군산,9미,S/P,1,5.0,"17,500","17,500","17,500",2021,1,2021-01-01
(선)넙치,군산,4미,S/P,1,5.0,"17,500","17,500","17,500",2021,1,2021-01-01
(선)넙치,대부도,중,kg,159.7,1.0,"10,000","1,000","4,000",2021,1,2021-01-01
(선)넙치,나로도,6미,S/P,1,10.0,"25,000","25,000","25,000",2021,1,2021-01-01
(냉)넙치,제주도,13/14미,CT/(BT),98,10.0,"30,000","21,000","21,600",2021,1,2021-01-01
(활)찰넙치,제주도,중,kg,"1,285.4",1.0,"23,000","2,000","19,300",2021,1,2021-01-01
(활)넙치,통영,중,kg,845.4,1.0,"26,000","1,000","17,900",2021,2,2021-02-01
(활)넙치,목포,중,kg,241.5,1.0,"25,000","9,000","19,400",2021,2,2021-02-01
(활)넙치,부산(기장),중,kg,788.2,1.0,"27,000","3,000","17,700",2021,2,2021-02-01
(활)넙치,완도,중,kg,"19,942.8",1.0,"24,000",200,"19,000",2021,2,2021-02-01
(활)넙치,여수,중,kg,128.1,1.0,"25,000","10,000","19,100",2021,2,2021-02-01
(활)넙치,중국,중,kg,"2,486.4",1.0,"17,000","1,000","12,300",2021,2,2021-02-01
(활)넙치,제주도,중,kg,"42,780.2",1.0,"35,000",300,"16,300",2021,2,2021-02-01
(선)넙치,제주도,4미,S/P,28.5,1.0,"5,500","5,000","5,100",2021,2,2021-02-01
(선)넙치,제주도,중,S/P,1,20.0,"25,000","25,000","25,000",2021,2,2021-02-01
(선)넙치,태안,중,kg,3,1.0,"2,000","2,000","2,000",2021,2,2021-02-01
(선)넙치,제주도,1미,S/P,1,9.0,"49,500","49,500","49,500",2021,2,2021-02-01
(선)넙치,서천,중,kg,16.9,1.0,"3,300","2,000","2,200",2021,2,2021-02-01
(선)넙치,제주도,4미,S/P,2,10.0,"40,000","40,000","40,000",2021,2,2021-02-01
(선)넙치,통영,중,S/P,12.1,1.0,"8,000","7,500","7,800",2021,2,2021-02-01
(선)넙치,제주도,중,S/P,2,10.0,"50,000","50,000","50,000",2021,2,2021-02-01
(선)넙치,제주도,3미,S/P,1,6.5,"27,950","27,950","28,000",2021,2,2021-02-01
(선)넙치,제주도,3미,S/P,5,10.0,"60,000","50,000","56,000",2021,2,2021-02-01
(선)넙치,제주도,5미,S/P,1,13.0,"52,000","52,000","52,000",2021,2,2021-02-01
(선)넙치,군산,5미,S/P,1,4.0,"27,000","27,000","27,000",2021,2,2021-02-01
(선)넙치,제주도,5미,S/P,1,12.0,"48,000","48,000","48,000",2021,2,2021-02-01
(선)넙치,제주도,5미,S/P,10,1.0,"5,500","5,500","5,500",2021,2,2021-02-01
(선)넙치,제주도,7미,S/P,1,21.0,"42,000","42,000","42,000",2021,2,2021-02-01
(선)넙치,제주도,6미,S/P,1,20.0,"40,000","40,000","40,000",2021,2,2021-02-01
(선)넙치,완도,중,kg,345.7,1.0,"2,000","1,000","1,300",2021,2,2021-02-01
(선)넙치,군산,4미,S/P,1,4.0,"27,000","27,000","27,000",2021,2,2021-02-01
(선)넙치,완도,중,S/P,99.3,1.0,"8,000","3,000","6,300",2021,2,2021-02-01
(선)넙치,제주도,중,S/P,141.8,1.0,"6,000","3,500","4,500",2021,2,2021-02-01
(선)넙치,제주도,4미,S/P,11,12.0,"48,000","48,000","48,000",2021,2,2021-02-01
(선)넙치,나로도,중,S/P,13,10.0,"27,000","25,000","25,900",2021,2,2021-02-01
(선)넙치,안흥,중,kg,12.5,1.0,"8,000",100,"5,500",2021,2,2021-02-01
(선)넙치,제주도,중,kg,114.9,1.0,"10,000","2,000","6,200",2021,2,2021-02-01
(선)넙치,제주도,3미,S/P,1,11.0,"27,950","27,950","28,000",2021,2,2021-02-01
(냉)넙치,제주도,중,S/P,82,10.0,"12,000","12,000","12,000",2021,2,2021-02-01
(활)찰넙치,일본,중,kg,54.3,1.0,"19,000","16,000","18,500",2021,2,2021-02-01
(활)찰넙치,제주도,중,kg,"2,314.2",1.0,"21,500","1,000","17,900",2021,2,2021-02-01
(활)넙치,완도,중,kg,"13,928.2",1.0,"28,000",200,"18,300",2021,3,2021-03-01
(활)넙치,안흥,중,kg,858.2,1.0,"28,000","3,000","18,800",2021,3,2021-03-01
(활)넙치,서천,중,kg,96.7,1.0,"11,000","6,000","7,700",2021,3,2021-03-01
(활)넙치,태안,중,kg,351.5,1.0,"27,500","10,000","21,500",2021,3,2021-03-01
(활)넙치,격포,중,kg,267.4,1.0,"29,000","10,000","24,100",2021,3,2021-03-01
(활)넙치,중국,중,kg,778.5,1.0,"18,000","7,000","12,100",2021,3,2021-03-01
(활)넙치,대부도,중,kg,91.4,1.0,"25,000","1,000","17,000",2021,3,2021-03-01
(활)넙치,완도,1미,kg,33,1.0,"23,000","23,000","23,000",2021,3,2021-03-01
(활)넙치,군산,중,kg,222,1.0,"24,000","11,000","20,900",2021,3,2021-03-01
(활)넙치,고흥,중,kg,100.8,1.0,"28,000","8,000","18,000",2021,3,2021-03-01
(활)넙치,보령,중,kg,7,1.0,"6,000","1,500","3,000",2021,3,2021-03-01
(활)넙치,부산(기장),중,kg,415.9,1.0,"28,000","3,000","21,000",2021,3,2021-03-01
(활)넙치,제주도,중,kg,"41,226.5",1.0,"33,000",500,"17,500",2021,3,2021-03-01
(활)넙치,목포,중,kg,123.9,1.0,"29,000","15,000","24,100",2021,3,2021-03-01
(활)넙치,여수,중,kg,201,1.0,"23,000","5,000","18,300",2021,3,2021-03-01
(활)넙치,대천,중,kg,"1,449.1",1.0,"33,000","7,000","19,400",2021,3,2021-03-01
(활)넙치,통영,중,kg,364.1,1.0,"27,000","2,500","14,200",2021,3,2021-03-01
(선)넙치,나로도,2미,S/P,25,10.0,"26,000","22,000","24,800",2021,3,2021-03-01
(선)넙치,제주도,2미,S/P,1,4.0,"25,000","25,000","25,000",2021,3,2021-03-01
(선)넙치,완도,중,S/P,1,10.0,"50,000","50,000","50,000",2021,3,2021-03-01
(선)넙치,완도,중,S/P,1,20.0,"100,000","100,000","100,000",2021,3,2021-03-01
(선)넙치,나로도,5미,S/P,2,10.0,"25,000","25,000","25,000",2021,3,2021-03-01
(선)넙치,완도,중,S/P,27,21.0,"6,500","6,500","6,500",2021,3,2021-03-01
(선)넙치,통영,중,S/P,153.6,1.0,"6,000","3,000","3,900",2021,3,2021-03-01
(선)넙치,격포,중,kg,19.3,1.0,"8,000","7,000","7,500",2021,3,2021-03-01
(선)넙치,나로도,3미,S/P,14,10.0,"26,000","22,000","24,500",2021,3,2021-03-01
(선)넙치,나로도,4미,S/P,6,10.0,"25,000","22,000","23,300",2021,3,2021-03-01
(선)넙치,완도,중,S/P,392.2,1.0,"10,000",100,"6,700",2021,3,2021-03-01
(선)넙치,제주도,중,S/P,14.5,1.0,"3,000","3,000","3,000",2021,3,2021-03-01
(선)넙치,통영,중,kg,8.1,1.0,800,500,700,2021,3,2021-03-01
(선)넙치,나로도,중,S/P,5,10.0,"27,000","23,000","24,600",2021,3,2021-03-01
(선)넙치,안흥,중,kg,123.3,1.0,"12,000","1,000","4,900",2021,3,2021-03-01
(선)넙치,제주도,중,kg,28.5,1.0,"3,000","3,000","3,000",2021,3,2021-03-01
(선)넙치,완도,중,kg,980.5,1.0,"11,000","1,000","2,600",2021,3,2021-03-01
(선)넙치,보령,중,kg,2.8,1.0,"3,500","3,500","3,500",2021,3,2021-03-01
(선)넙치,태안,중,kg,106,1.0,"8,000","1,500","5,100",2021,3,2021-03-01
(선)넙치,나로도,1미,S/P,1,10.0,"20,000","20,000","20,000",2021,3,2021-03-01
(선)넙치,제주도,2미,S/P,1,11.5,"57,500","57,500","57,500",2021,3,2021-03-01
(활)찰넙치,제주도,중,kg,"1,800.3",1.0,"24,500","2,000","16,900",2021,3,2021-03-01
(활)넙치,통영,중,kg,"1,330.7",1.0,"27,000","1,000","11,700",2021,4,2021-04-01
(활)넙치,목포,중,kg,"1,670.5",1.0,"27,000","3,000","17,000",2021,4,2021-04-01
(활)넙치,부산(기장),중,kg,576.1,1.0,"24,000","4,000","13,600",2021,4,2021-04-01
(활)넙치,군산,중,kg,"1,056.8",1.0,"25,000","2,000","13,800",2021,4,2021-04-01
(활)넙치,서천,중,kg,"11,742.3",1.0,"27,000","1,000","11,400",2021,4,2021-04-01
(활)넙치,진도,중,kg,161.4,1.0,"26,000","12,000","17,000",2021,4,2021-04-01
(활)넙치,격포,중,kg,"8,637.2",1.0,"27,000","1,000","11,100",2021,4,2021-04-01
(활)넙치,안면도,중,kg,123.6,1.0,"20,000","4,000","16,000",2021,4,2021-04-01
(활)넙치,완도,중,kg,"10,893.6",1.0,"28,000",500,"13,400",2021,4,2021-04-01
(활)넙치,고흥,중,kg,6.6,1.0,"3,000","2,000","2,600",2021,4,2021-04-01
(활)넙치,대부도,중,kg,"2,152",1.0,"22,000","1,000","12,000",2021,4,2021-04-01
(활)넙치,제주도,중,kg,1,2.0,"14,000","14,000","14,000",2021,4,2021-04-01
(활)넙치,화성,중,kg,538.5,1.0,"13,000","3,000","8,200",2021,4,2021-04-01
(활)넙치,서산,중,kg,577,1.0,"22,000","5,000","12,900",2021,4,2021-04-01
(활)넙치,안흥,중,kg,"7,413.1",1.0,"26,000","1,000","10,200",2021,4,2021-04-01
(활)넙치,여수,중,kg,"1,913.9",1.0,"25,000",500,"16,500",2021,4,2021-04-01
(활)넙치,대천,중,kg,"24,763.8",1.0,"27,000","1,000","12,900",2021,4,2021-04-01
(활)넙치,태안,중,kg,"5,211.2",1.0,"26,000","1,000","12,000",2021,4,2021-04-01
(활)넙치,신안,중,kg,94,1.0,"11,000","2,000","5,000",2021,4,2021-04-01
(활)넙치,영광,중,kg,237,1.0,"12,000",200,"4,700",2021,4,2021-04-01
(활)넙치,제주도,중,kg,"25,907.2",1.0,"28,500",500,"15,500",2021,4,2021-04-01
(선)넙치,장항,중,S/P,12.9,1.0,"2,500","2,500","2,500",2021,4,2021-04-01
(선)넙치,군산,중,S/P,162.8,1.0,"6,000","1,000","3,500",2021,4,2021-04-01
(선)넙치,서천,중,kg,270.4,1.0,"6,000","1,000","4,100",2021,4,2021-04-01
(선)넙치,서산,중,kg,38.5,1.0,"4,500","3,500","4,000",2021,4,2021-04-01
(선)넙치,완도,특대,S/P,96.6,1.0,"7,000","1,500","4,400",2021,4,2021-04-01
(선)넙치,완도,중,S/P,2.8,20.0,"2,000","2,000","2,000",2021,4,2021-04-01
(선)넙치,태안,중,kg,652.7,1.0,"14,000","1,000","3,800",2021,4,2021-04-01
(선)넙치,고흥,중,kg,4,1.0,"1,500","1,500","1,500",2021,4,2021-04-01
(선)넙치,나로도,2미,S/P,3,10.0,"13,000","10,000","12,000",2021,4,2021-04-01
(선)넙치,보령,중,kg,56,1.0,"6,500","4,000","6,100",2021,4,2021-04-01
(선)넙치,안흥,중,S/P,23.5,1.0,"1,500","1,300","1,500",2021,4,2021-04-01
(선)넙치,격포,중,kg,274.7,1.0,"8,000","2,000","6,600",2021,4,2021-04-01
(선)넙치,완도,중,kg,160.3,1.0,"6,500","4,000","5,000",2021,4,2021-04-01
(선)넙치,대천,중,kg,74.2,1.0,"4,000","3,000","3,800",2021,4,2021-04-01
(선)넙치,제주도,중,kg,33.8,1.0,"2,000","1,500","1,500",2021,4,2021-04-01
(선)넙치,대부도,중,kg,128.1,1.0,"4,000",500,"2,900",2021,4,2021-04-01
(선)넙치,안흥,중,kg,"1,283.2",1.0,"9,000",300,"3,300",2021,4,2021-04-01
(선)넙치,나로도,3미,S/P,4,10.0,"17,000","10,000","14,300",2021,4,2021-04-01
(선)넙치,나로도,중,S/P,12,10.0,"18,000","12,000","16,500",2021,4,2021-04-01
(선)넙치,여수,중,S/P,10.8,1.0,"1,000","1,000","1,000",2021,4,2021-04-01
(선)넙치,완도,중,S/P,521.6,1.0,"11,000","1,000","5,600",2021,4,2021-04-01
(활)찰넙치,제주도,중,kg,278.6,1.0,"20,000","4,400","14,400",2021,4,2021-04-01
(활)넙치,속초,중,kg,202.3,1.0,"12,500","8,000","11,300",2021,5,2021-05-01
(활)넙치,중국,중,kg,"1,009.5",1.0,"15,000","2,500","6,800",2021,5,2021-05-01
(활)넙치,안흥,중,kg,"7,413.1",1.0,"22,000",500,"8,900",2021,5,2021-05-01
(활)넙치,대부도,중,kg,"11,189.9",1.0,"27,000",100,"10,300",2021,5,2021-05-01
(활)넙치,목포,대,kg,88.8,1.0,"15,000","13,500","13,900",2021,5,2021-05-01
(활)넙치,태안,중,kg,"4,416.5",1.0,"24,000",500,"11,700",2021,5,2021-05-01
(활)넙치,부안,중,kg,121,1.0,"18,000","2,500","9,500",2021,5,2021-05-01
(활)넙치,완도,중,kg,"1,378.8",1.0,"30,000","1,000","19,300",2021,5,2021-05-01
(활)넙치,격포,중,kg,"8,028.7",1.0,"20,000","1,000","9,900",2021,5,2021-05-01
(활)넙치,영광,중,kg,379.3,1.0,"11,000","4,000","6,500",2021,5,2021-05-01
(활)넙치,서천,중,kg,"26,830.1",1.0,"25,000",500,"10,000",2021,5,2021-05-01
(활)넙치,인천,중,kg,"2,357.5",1.0,"20,000",100,"11,000",2021,5,2021-05-01
(활)넙치,군산,중,kg,606.2,1.0,"18,500","4,000","12,500",2021,5,2021-05-01
(활)넙치,제주도,중,kg,"15,527.3",1.0,"29,000",100,"16,100",2021,5,2021-05-01
(활)넙치,당진,중,kg,38.5,1.0,"11,000","5,000","9,100",2021,5,2021-05-01
(활)넙치,후포,중,kg,15,1.0,"12,000","7,500","9,800",2021,5,2021-05-01
(활)넙치,제주도,중,kg,160.1,13.0,"24,500","18,000","21,300",2021,5,2021-05-01
(활)넙치,장항,중,kg,"1,105.4",1.0,"19,000","3,000","11,000",2021,5,2021-05-01
(활)넙치,보령,중,kg,72.2,1.0,"25,000","1,000","22,300",2021,5,2021-05-01
(활)넙치,대천,중,kg,"47,392.7",1.0,"26,000",500,"11,500",2021,5,2021-05-01
(활)넙치,통영,중,kg,149,1.0,"13,000","2,000","8,200",2021,5,2021-05-01
(활)넙치,대천,소,kg,130.8,1.0,"17,000","5,000","9,000",2021,5,2021-05-01
(활)넙치,대부도,중,S/P,76.5,1.0,"19,000","11,500","15,400",2021,5,2021-05-01
(활)넙치,서산,중,kg,"1,282.7",1.0,"20,000","1,000","11,800",2021,5,2021-05-01
(선)넙치,서천,중,kg,"1,715.5",1.0,"5,000","1,000","2,300",2021,5,2021-05-01
(선)넙치,대천,중,kg,100.7,1.0,"5,500","1,000","3,600",2021,5,2021-05-01
(선)넙치,장항,중,kg,76.6,1.0,"4,000","1,300","2,600",2021,5,2021-05-01
(선)넙치,대부도,중,kg,305.9,1.0,"10,000",500,"4,100",2021,5,2021-05-01
(선)넙치,안흥,중,S/P,2,15.0,"12,000","12,000","12,000",2021,5,2021-05-01
(선)넙치,완도,중,S/P,34.5,1.0,"4,000",600,"3,200",2021,5,2021-05-01
(선)넙치,대천,중,kg,3,10.0,100,100,100,2021,5,2021-05-01
(선)넙치,보령,중,S/P,1,15.0,"5,000","5,000","5,000",2021,5,2021-05-01
(선)넙치,통영,중,kg,174.6,1.0,"14,000",300,"3,200",2021,5,2021-05-01
(선)넙치,나로도,중,S/P,1,10.0,"13,000","13,000","13,000",2021,5,2021-05-01
(선)넙치,인천,중,kg,801.2,1.0,"4,000",500,"2,100",2021,5,2021-05-01
(선)넙치,안흥,중,kg,"1,356.7",1.0,"5,500",100,"2,100",2021,5,2021-05-01
(선)넙치,제주도,중,kg,146,1.0,"2,000",200,800,2021,5,2021-05-01
(선)넙치,완도,중,kg,6.5,1.0,"1,000","1,000","1,000",2021,5,2021-05-01
(선)넙치,태안,중,kg,438.6,1.0,"20,000",200,"2,500",2021,5,2021-05-01
(선)넙치,중국,중,kg,34.1,1.0,"1,500",700,"1,200",2021,5,2021-05-01
(선)넙치,군산,중,S/P,120.7,1.0,"2,500",500,"1,800",2021,5,2021-05-01
(활)찰넙치,제주도,중,kg,61,1.0,"22,000","7,100","19,100",2021,5,2021-05-01
(활)넙치,속초,중,kg,145.3,1.0,"22,000","11,000","17,100",2021,6,2021-06-01
(활)넙치,여수,중,kg,41.2,1.0,"15,000","12,000","13,600",2021,6,2021-06-01
(활)넙치,목포,중,kg,330.8,1.0,"31,000","15,000","23,100",2021,6,2021-06-01
(활)넙치,포항,중,kg,437.6,1.0,"25,000","5,000","17,400",2021,6,2021-06-01
(활)넙치,군산,중,kg,908.5,1.0,"32,000","2,000","18,500",2021,6,2021-06-01
(활)넙치,인천,중,kg,"1,121.4",1.0,"26,000","13,000","20,600",2021,6,2021-06-01
(활)넙치,서천,중,kg,"15,443.6",1.0,"33,000",500,"16,300",2021,6,2021-06-01
(활)넙치,진도,중,kg,17.9,1.0,"9,000","3,000","6,900",2021,6,2021-06-01
(활)넙치,격포,중,kg,67.3,1.0,"24,000","15,000","19,500",2021,6,2021-06-01
(활)넙치,안면도,중,kg,182.7,1.0,"30,000","22,000","26,600",2021,6,2021-06-01
(활)넙치,완도,중,kg,"3,233",1.0,"26,500","2,000","21,100",2021,6,2021-06-01
(활)넙치,대부도,중,kg,"5,896.3",1.0,"27,000","2,000","16,600",2021,6,2021-06-01
(활)넙치,안흥,중,kg,"1,808.6",1.0,"30,000","1,500","12,900",2021,6,2021-06-01
(활)넙치,통영,중,kg,"2,315.2",1.0,"30,000","3,000","19,300",2021,6,2021-06-01
(활)넙치,장항,중,kg,611.3,1.0,"24,000","5,000","16,700",2021,6,2021-06-01
