어종,산지,규격,포장,수량,중량,낙찰고가,낙찰저가,평균가
(선)대구,속초,3미,S/P,9.7,1.0,"6,000","6,000","6,000"
(선)대구,감포,2미,c/s(상자),81.9,1.0,"5,500","4,200","4,500"
(선)대구,군산,대,S/P,10.0,15.0,"47,000","47,000","47,000"
(선)대구,속초,6미,S/P,2.0,5.0,"13,000","13,000","13,000"
(선)대구,방어진,1미,S/P,40.2,1.0,"6,500","5,000","6,100"
(선)대구,후포,대,S/P,257.2,1.0,"4,000","2,000","2,700"
(선)대구,포항,대,S/P,40.0,1.0,"3,800","3,300","3,600"
(선)대구,속초,대,S/P,136.1,1.0,"9,500","3,000","6,700"
(선)대구,죽변,대,S/P,92.0,1.0,"5,000","4,000","4,800"
(선)대구,축산,대,S/P,25.8,1.0,"5,000","3,000","4,200"
(선)대구,안흥,중,가구,105.8,1.0,"3,500","3,000","3,200"
(선)대구,감포,대,S/P,98.7,1.0,"3,300","2,500","2,800"
(선)대구,방어진,대,S/P,79.1,1.0,"4,500","4,000","4,000"
(선)대구,감포,2단,c/s(상자),39.9,1.0,"3,000","2,500","2,800"
(선)대구,안흥,중,kg,736.4,1.0,"6,000","1,300","3,000"
(선)대구,방어진,2미,c/s(상자),36.5,1.0,"3,000","2,000","2,300"
(선)대구,후포,1미,S/P,287.7,1.0,"3,500","3,000","3,400"
(선)대구,방어진,4미,c/s(상자),58.6,1.0,"5,000","2,000","2,800"
(냉)대구,러시아,M,PAN(펜),228.0,18.5,"90,500","83,500","84,400"
(냉)대구,러시아,2L,PAN(펜),48.0,21.5,"82,500","81,400","81,700"
(냉)대구,러시아,5/10미,PAN(펜),70.0,21.5,"81,400","81,400","81,400"
(선)민대구,제주도,11미,S/P,5.0,10.0,"40,000","40,000","40,000"
(선)민대구,제주도,12미,S/P,1.0,9.0,"36,000","36,000","36,000"
(선)민대구,제주도,10미,S/P,7.0,10.0,"45,000","45,000","45,000"
