어종,산지,규격,포장,수량,중량,낙찰고가,낙찰저가,평균가,year,month
(활)낙지,제주도,중,kg,120,1.0,"6,000","5,000","5,800",2021,1
(활)낙지,대천,20미,그물망,3,4.2,"72,000","72,000","72,000",2021,1
(활)낙지,대부도,20미,그물망,16,4.3,"92,000","66,000","79,000",2021,1
(활)낙지,대천,15미,그물망,2,5.0,"102,000","102,000","102,000",2021,1
(활)낙지,태안,15미,그물망,2,5.2,"93,000","93,000","93,000",2021,1
(활)낙지,제주도,1미,kg,515,1.0,"7,000","1,000","5,100",2021,1
(활)낙지,고흥,20미,그물망,16,3.0,"160,000","136,000","145,000",2021,1
(활)낙지,고흥,중,kg,62,1.0,"19,000","6,000","6,400",2021,1
(활)낙지,태안,20미,그물망,10,2.2,"74,000","74,000","74,000",2021,1
(활)낙지,태안,20미,그물망,58,5.0,"168,000","100,000","115,800",2021,1
(활)낙지,태안,20미,그물망,24,3.2,"106,000","60,000","82,500",2021,1
(활)낙지,태안,20미,그물망,9,3.5,"94,000","94,000","94,000",2021,1
(활)낙지,태안,20미,그물망,118,3.0,"126,000","56,000","77,200",2021,1
(활)낙지,태안,20미,그물망,13,2.4,"56,000","56,000","56,000",2021,1
(활)낙지,대천,20미,그물망,11,2.3,"46,000","46,000","46,000",2021,1
(활)낙지,대천,20미,그물망,16,3.0,"56,000","56,000","56,000",2021,1
(활)낙지,태안,20미,그물망,46,2.0,"76,000","44,000","53,300",2021,1
(활)낙지,태안,15미,그물망,1,2.5,"60,000","60,000","60,000",2021,1
(활)낙지,태안,20미,그물망,8,5.5,"162,000","160,000","161,300",2021,1
(활)낙지,대부도,20미,그물망,31,3.0,"60,000","52,000","58,200",2021,1
(활)낙지,태안,20미,그물망,10,5.1,"166,000","150,000","155,800",2021,1
(활)낙지,태안,7미,그물망,1,1.2,"21,000","21,000","21,000",2021,1
(활)낙지,태안,20미,그물망,5,3.8,"70,000","70,000","70,000",2021,1
(활)낙지,태안,15미,그물망,3,5.3,"87,000","87,000","87,000",2021,1
(활)낙지,태안,20미,그물망,30,2.5,"46,000","46,000","46,000",2021,1
(활)낙지,대부도,30미,그물망,6,3.2,"69,000","63,000","65,500",2021,1
(활)낙지,태안,20미,그물망,5,6.0,"126,000","126,000","126,000",2021,1
(활)낙지,태안,20미,그물망,17,5.6,"130,000","126,000","126,700",2021,1
(활)낙지,인천,21미,그물망,16,3.6,"69,300","56,100","68,500",2021,1
(활)낙지,인천,20미,그물망,1,3.6,"74,000","74,000","74,000",2021,1
(활)낙지,태안,20미,그물망,14,3.6,"64,000","64,000","64,000",2021,1
(활)낙지,태안,20미,그물망,6,2.1,"52,000","52,000","52,000",2021,1
(활)낙지,태안,20미,그물망,16,2.8,"66,000","66,000","66,000",2021,1
(활)낙지,태안,15미,그물망,29,5.0,"97,500","90,000","94,700",2021,1
(활)낙지,대천,20미,그물망,38,3.3,"82,000","56,000","66,600",2021,1
(활)낙지,대천,20미,그물망,9,4.0,"76,000","74,000","74,200",2021,1
(활)낙지,태안,20미,그물망,6,3.3,"96,000","96,000","96,000",2021,1
(활)낙지,인천,20미,그물망,27,2.6,"60,000","56,000","58,500",2021,1
(활)낙지,대천,20미,그물망,41,2.5,"56,000","54,000","54,100",2021,1
(활)낙지,태안,20미,그물망,13,5.3,"106,000","94,000","97,400",2021,1
(선)낙지,중국,16미,box,567,2.2,"35,500","20,000","26,100",2021,1
(선)낙지,중국,12미,box,"1,266",2.1,"28,100","14,900","20,800",2021,1
(선)낙지,중국,6미,box,81,2.2,"17,300","16,300","16,600",2021,1
(선)낙지,중국,16미,box,591,2.0,"33,000","17,700","23,600",2021,1
(선)낙지,중국,5미,box,91,1.8,"21,500","15,100","16,100",2021,1
(선)낙지,중국,22미,box,35,4.0,"32,000","32,000","32,000",2021,1
(선)낙지,태안,중,그물망,1,3.0,"33,200","33,200","33,200",2021,1
(선)낙지,중국,10미,box,"1,565",1.9,"35,000","14,700","24,800",2021,1
(선)낙지,중국,24미,box,39,2.1,"21,200","21,200","21,200",2021,1
(선)낙지,중국,8미,box,130,1.9,"21,800","17,000","19,600",2021,1
(선)낙지,중국,23미,box,3,1.8,"18,000","18,000","18,000",2021,1
(선)낙지,중국,10미,box,"1,966",2.1,"36,200","16,500","21,900",2021,1
(선)낙지,중국,15미,box,241,2.2,"37,000","20,800","26,200",2021,1
(선)낙지,태안,소,그물망,1,4.2,"51,200","51,200","51,200",2021,1
(선)낙지,중국,10미,box,824,2.2,"22,800","16,000","20,800",2021,1
(선)낙지,중국,6미,box,238,2.0,"22,500","14,000","18,500",2021,1
(선)낙지,중국,11미,box,28,1.7,"22,000","22,000","22,000",2021,1
(선)낙지,중국,7미,box,"2,173",2.0,"31,600","13,200","19,800",2021,1
(선)낙지,중국,15미,box,502,2.0,"35,500","16,000","25,900",2021,1
(선)낙지,중국,15미,box,943,2.1,"32,500","18,500","23,100",2021,1
(선)낙지,중국,12미,box,"1,246",2.2,"27,800","17,800","23,000",2021,1
(선)낙지,중국,11미,box,270,1.9,"25,400","21,600","23,800",2021,1
(선)낙지,진도,중,kg,105.4,1.0,"16,500","3,400","6,300",2021,1
(선)낙지,중국,6미,box,60,1.8,"21,500","21,000","21,200",2021,1
(선)낙지,중국,12미,box,430,2.0,"22,500","14,600","18,600",2021,1
(선)낙지,중국,22미,box,36,2.0,"22,000","16,000","19,200",2021,1
(선)낙지,중국,7미,box,870,1.9,"27,000","15,300","23,100",2021,1
(선)낙지,중국,10미,box,150,1.8,"18,200","17,700","17,900",2021,1
(선)낙지,중국,11미,box,45,5.0,"18,800","18,800","18,800",2021,1
(선)낙지,중국,7미,box,5,3.0,"30,000","30,000","30,000",2021,1
(선)낙지,고흥,중,kg,60,1.0,"7,000","6,000","6,300",2021,1
(선)낙지,중국,17미,box,287,2.2,"29,000","17,500","25,000",2021,1
(선)낙지,중국,23미,box,54,2.0,"27,200","20,600","22,200",2021,1
(선)낙지,중국,15미,box,220,1.9,"34,800","20,200","23,400",2021,1
(선)낙지,안흥,중,kg,100,1.0,"3,500","1,000","2,400",2021,1
(선)낙지,중국,5미,box,16,2.0,"24,300","24,300","24,300",2021,1
