어종,산지,규격,포장,수량,중량,낙찰고가,낙찰저가,평균가
(냉)명태,러시아,6통,PAN(펜),665,21.5,"34,600","30,000","33,500"
(냉)명태,러시아,4통,PAN(펜),45,21.5,"43,000","42,000","42,200"
(냉)명태,러시아,7통,PAN(펜),330,21.5,"33,800","30,500","32,700"
(냉)명태,러시아,L,PAN(펜),5,21.5,"34,600","34,600","34,600"
(냉)명태,러시아,5통,PAN(펜),70,21.5,"32,000","31,500","31,900"
(냉)명태(H/G),미국,2L,PAN(펜),95,19.0,"48,500","48,500","48,500"
(냉)명태고니,러시아,중,CT/(BT),5,21.5,"99,000","99,000","99,000"
(냉)명태고니,러시아,중,PAN(펜),5,21.5,"99,000","99,000","99,000"
(냉)명태포,중국,중,CT/(BT),500,10.0,"50,000","50,000","50,000"
(냉)명태포,중국,12/15,CT/(BT),39,10.0,"60,300","60,300","60,300"
