어종,산지,규격,포장,수량,중량,낙찰고가,낙찰저가,평균가
(활)겉바지락,화성,중,그물망,107,10.0,"42,200","40,000","41,400"
(활)겉바지락,태안,중,그물망,41,10.0,"22,000","12,000","14,100"
(활)겉바지락,안면도,소,그물망,8,5.0,"17,700","17,700","17,700"
(활)겉바지락,태안,대,그물망,7,20.0,"27,000","26,500","26,900"
(활)겉바지락,군산,중,그물망,164,10.0,"61,000","37,000","48,300"
(활)겉바지락,부안,중,그물망,18,10.0,"46,100","45,100","45,800"
(선)깐바지락,순천,소,box,66,0.9,"15,200","7,700","12,600"
(선)깐바지락,통영,소,box,9,0.9,"20,500","20,300","20,400"
(선)깐바지락,삼천포,소,box,"1,989",0.7,"19,100","12,200","15,300"
(선)깐바지락,삼천포,소,box,710,0.9,"21,000","11,000","16,400"
(선)깐바지락,통영,소,box,26,1.0,"19,500","13,600","16,000"
(선)깐바지락,삼천포,소,box,"1,653",0.8,"22,000","12,000","16,600"
(선)깐바지락,여수,소,box,6,0.6,"12,800","11,800","12,600"
(선)깐바지락,여수,소,box,28,0.7,"16,100","11,000","13,700"
(선)깐바지락,삼천포,5봉,box,75,5.0,"14,600","13,700","13,900"
(선)깐바지락,삼천포,소,box,391,1.0,"23,800","13,000","17,100"
(선)깐바지락,여수,소,box,14,1.0,"8,200","7,500","8,000"
(선)깐바지락,삼천포,소,box,10,1.1,"23,600","23,600","23,600"
(선)깐바지락,삼천포,소,box,105,0.6,"18,600","11,200","13,900"
(선)깐바지락,순천,소,box,51,0.8,"19,300","18,600","18,800"
(선)깐바지락,여수,소,box,16,0.9,"18,600","11,500","14,400"
(선)깐바지락,여수,소,box,374,0.8,"19,500","8,200","14,100"
(활)물바지락,통영,대,box,3,9.6,"67,100","67,100","67,100"
(활)물바지락,여수,대,box,3,8.0,"36,600","36,600","36,600"
(활)물바지락,순천,대,box,19,10.0,"68,600","60,000","64,800"
(활)물바지락,여수,대,box,14,8.4,"45,000","41,500","44,400"
(활)물바지락,삼천포,중,box,2,4.3,"48,000","35,000","41,500"
(활)물바지락,삼천포,중,box,1,4.6,"32,200","32,200","32,200"
(활)물바지락,여수,대,box,1,6.2,"45,500","45,500","45,500"
(활)물바지락,여수,대,box,36,8.6,"105,000","42,500","51,400"
(활)물바지락,순천,대,box,4,9.0,"70,000","70,000","70,000"
(활)물바지락,여수,대,box,3,9.0,"80,000","38,300","66,100"
(활)물바지락,여수,대,box,10,8.2,"61,000","38,000","52,100"
(활)물바지락,삼천포,대,box,6,9.2,"68,000","63,300","64,300"
(활)물바지락,순천,대,box,4,9.2,"50,000","45,000","48,000"
(활)물바지락,여수,대,box,74,8.8,"90,000","38,500","56,800"
(활)물바지락,여수,대,box,1,7.0,"30,000","30,000","30,000"
(활)물바지락,통영,대,box,79,10.0,"110,000","55,000","79,800"
(활)물바지락,여수,중,그물망,6,10.0,"25,000","21,000","22,300"
(활)물바지락,여수,대,box,"1,093",10.0,"116,000","20,000","46,100"
(활)물바지락,통영,중,box,1,5.0,"61,000","61,000","61,000"
(활)물바지락,여수,대,box,1,4.6,"55,000","55,000","55,000"
(활)물바지락,삼천포,대,box,10,8.6,"93,600","65,000","90,700"
(활)물바지락,삼천포,대,box,400,10.0,"106,000","33,000","63,900"
(활)물바지락,여수,대,box,1,4.4,"24,400","24,400","24,400"
(활)물바지락,삼천포,대,box,1,4.6,"38,000","38,000","38,000"
(활)물바지락,통영,대,box,13,8.8,"104,000","95,000","100,400"
(활)물바지락,삼천포,중,box,16,5.0,"40,100","16,000","31,100"
(활)물바지락,여수,대,box,6,5.0,"55,000","21,000","32,200"
(활)물바지락,삼천포,대,box,1,5.0,"28,000","28,000","28,000"
(활)물바지락,삼천포,대,box,24,8.8,"91,000","48,500","69,900"
(활)물바지락,여수,중,box,8,5.0,"24,000","11,000","19,200"
(활)물바지락,삼천포,중,box,1,4.4,"34,000","34,000","34,000"
(활)물바지락,삼천포,대,box,8,9.0,"71,100","71,100","71,100"
(활)봉바지락,태안,중,box,5,2.5,"14,200","13,600","13,800"
(활)봉바지락,태안,중,box,119,2.6,"20,100","9,100","13,500"
(활)봉바지락,여수,대,box,3,10.0,"25,100","25,100","25,100"
(활)칼바지락,태안,중,box,21,3.0,"16,600","1,100","4,800"
(활)칼바지락,태안,중,box,35,4.0,"15,500","1,500","3,900"
(활)칼바지락,태안,중,box,29,4.1,"8,200","8,000","8,100"
(활)칼바지락,중국,대,box,54,10.0,"20,000","10,000","14,100"
(활)칼바지락,태안,대,box,75,10.0,"36,300","23,700","30,200"
(활)칼바지락,중국,중,box,"1,399",5.0,"11,600","4,100","9,200"
(활)칼바지락,중국,중,box,"1,323",4.0,"8,000","2,000","5,600"
(활)칼바지락,태안,중,box,16,3.1,"6,200","6,200","6,200"
(활)칼바지락,태안,중,box,114,5.0,"18,200","9,600","13,600"
(활)칼바지락,중국,중,box,20,3.0,"4,000","3,700","3,900"
(활)칼바지락,태안,대,box,5,8.8,"33,300","33,300","33,300"
(활)토바지락,중국,중,box,514,2.2,"7,100","2,600","4,200"
(활)토바지락,중국,중,box,36,2.0,"5,300","2,500","4,000"
