어종,산지,규격,포장,수량,중량,낙찰고가,낙찰저가,평균가,year,month
(활)겉바지락,군산,대,그물망,13,20.0,"90,000","63,000","74,800",2021,1
(활)겉바지락,순천,대,그물망,5,20.0,"84,000","83,100","83,400",2021,1
(활)겉바지락,중국,대,포,214,20.0,"52,000","3,000","26,200",2021,1
(활)겉바지락,태안,대,그물망,16,20.0,"95,000","70,000","85,100",2021,1
(활)겉바지락,중국,중,망,5,10.0,"35,000","35,000","35,000",2021,1
(활)겉바지락,고창,대,그물망,3,20.0,"81,500","81,500","81,500",2021,1
(활)겉바지락,중국,중,포,40,20.0,"50,000","12,100","21,200",2021,1
(선)깐바지락,삼천포,소,box,642,0.9,"22,000","10,200","14,200",2021,1
(선)깐바지락,여수,2봉,box,1,1.6,"16,300","16,300","16,300",2021,1
(선)깐바지락,삼천포,중,box,"1,009",0.8,"17,600","9,000","12,200",2021,1
(선)깐바지락,여수,소,box,135,1.0,"21,200","4,300","10,600",2021,1
(선)깐바지락,여수,중,box,17,0.7,"16,000","13,000","14,500",2021,1
(선)깐바지락,여수,중,box,15,2.0,"12,700","12,600","12,600",2021,1
(선)깐바지락,삼천포,소,box,15,0.7,"19,500","19,500","19,500",2021,1
(선)깐바지락,삼천포,중,box,78,0.7,"14,000","10,000","12,100",2021,1
(선)깐바지락,여수,중,box,357,0.9,"18,200","9,500","12,500",2021,1
(선)깐바지락,삼천포,중,box,293,1.0,"20,000","11,000","13,000",2021,1
(선)깐바지락,여수,소,box,213,0.8,"22,000","8,300","11,800",2021,1
(선)깐바지락,여수,중,box,466,0.8,"19,600","8,200","12,100",2021,1
(선)깐바지락,삼천포,중,box,"2,455",0.9,"18,100","9,300","13,500",2021,1
(선)깐바지락,순천,소,box,15,0.9,"13,000","12,600","12,700",2021,1
(선)깐바지락,삼천포,소,box,298,0.8,"17,700","10,600","12,600",2021,1
(선)깐바지락,여수,중,box,214,1.0,"15,800","10,000","12,600",2021,1
(선)깐바지락,순천,중,box,21,0.9,"11,600","11,600","11,600",2021,1
(선)깐바지락,여수,소,box,2,0.7,"8,200","8,200","8,200",2021,1
(선)깐바지락,여수,소,box,146,0.9,"22,600","10,300","13,500",2021,1
(선)깐바지락,삼천포,소,box,192,1.0,"17,700","10,500","13,700",2021,1
(활)물바지락,여수,중,box,"1,930",10.0,"86,300","16,500","32,000",2021,1
(활)물바지락,순천,대,box,69,10.0,"64,000","29,200","42,300",2021,1
(활)물바지락,삼천포,대,box,1,7.0,"40,000","40,000","40,000",2021,1
(활)물바지락,삼천포,대,box,623,10.0,"66,600","20,000","35,600",2021,1
(활)물바지락,여수,특대,box,111,10.0,"51,500","18,100","35,100",2021,1
(활)물바지락,여수,2봉,S/P,5,10.0,"55,000","55,000","55,000",2021,1
(활)물바지락,순천,중,box,198,10.0,"42,300","25,000","32,500",2021,1
(활)물바지락,삼천포,중,box,5,2.0,"20,000","15,000","16,800",2021,1
(활)물바지락,삼천포,대,box,10,6.0,"24,200","24,200","24,200",2021,1
(활)물바지락,여수,대,box,"1,969",10.0,"65,000","16,000","35,700",2021,1
(활)물바지락,여수,중,box,17,5.0,"43,000","8,500","16,000",2021,1
(활)물바지락,삼천포,중,box,10,5.0,"32,000","13,000","18,400",2021,1
(활)봉바지락,태안,중,box,42,3.5,"17,700","11,200","13,200",2021,1
(활)봉바지락,중국,중,box,181,3.6,"12,300","4,100","8,000",2021,1
(활)봉바지락,태안,중,box,186,3.6,"17,500","7,000","13,300",2021,1
(활)봉바지락,중국,중,box,21,3.5,"12,000","8,000","9,800",2021,1
(활)칼바지락,중국,중,box,544,3.5,"11,200","4,000","7,400",2021,1
(활)칼바지락,중국,중,box,95,4.5,"12,500","5,000","7,800",2021,1
(활)칼바지락,중국,중,box,"1,215",6.0,"12,600","6,500","9,300",2021,1
(활)칼바지락,중국,중,box,541,5.0,"12,800","3,300","9,500",2021,1
(활)칼바지락,중국,중,box,"1,280",4.0,"11,000","3,000","7,600",2021,1
(활)칼바지락,태안,중,box,25,5.0,"11,200","9,600","10,500",2021,1
(활)칼바지락,중국,중,box,2,10.0,"15,100","15,100","15,100",2021,1
(활)칼바지락,중국,대,box,30,10.0,"8,000","5,000","5,600",2021,1
(활)토바지락,중국,소,box,3,2.0,"3,600","3,600","3,600",2021,1
(활)토바지락,중국,중,box,5,3.0,"12,000","12,000","12,000",2021,1
(활)토바지락,중국,중,box,489,2.2,"5,700","3,000","4,200",2021,1
(활)토바지락,중국,중,box,239,2.0,"6,600","2,700","4,000",2021,1
(활)겉바지락,중국,대,포,88,20.0,"63,600","23,000","42,900",2021,2
(활)겉바지락,태안,대,그물망,13,20.0,"56,000","35,000","46,900",2021,2
(활)겉바지락,순천,대,그물망,10,20.0,"92,000","75,000","89,800",2021,2
(활)겉바지락,중국,중,그물망,12,20.0,"55,000","50,000","52,000",2021,2
(활)겉바지락,군산,대,그물망,21,20.0,"92,000","61,000","83,300",2021,2
(활)겉바지락,중국,중,포,24,10.0,"12,000","6,000","10,000",2021,2
(선)깐바지락,여수,소,box,54,1.0,"15,000","12,700","13,700",2021,2
(선)깐바지락,삼천포,중,box,"1,789",0.9,"22,500","7,500","15,300",2021,2
(선)깐바지락,삼천포,중,box,"1,295",0.8,"20,500","7,500","13,200",2021,2
(선)깐바지락,삼천포,소,box,20,0.7,"10,300","10,000","10,200",2021,2
(선)깐바지락,삼천포,중,box,25,0.7,"14,200","13,100","13,700",2021,2
(선)깐바지락,여수,중,box,247,0.9,"18,800","7,500","13,000",2021,2
(선)깐바지락,삼천포,소,box,"1,611",0.9,"19,100","3,100","12,200",2021,2
(선)깐바지락,삼천포,중,box,14,2.0,"10,100","10,100","10,100",2021,2
(선)깐바지락,삼천포,중,box,326,1.0,"22,000","5,000","13,600",2021,2
(선)깐바지락,순천,소,box,13,1.0,"15,000","15,000","15,000",2021,2
(선)깐바지락,삼천포,소,box,681,0.8,"17,600","7,200","13,100",2021,2
(선)깐바지락,여수,중,box,6,0.7,"12,500","8,800","11,300",2021,2
(선)깐바지락,여수,소,box,6,0.7,"9,000","8,100","8,600",2021,2
(선)깐바지락,삼천포,소,box,322,1.0,"19,500","3,600","13,100",2021,2
(선)깐바지락,삼천포,2봉,box,2,10.0,"85,000","85,000","85,000",2021,2
(선)깐바지락,여수,중,box,141,1.0,"20,200","11,100","16,000",2021,2
(선)깐바지락,여수,소,box,488,0.8,"19,000","7,300","14,100",2021,2
(선)깐바지락,마산,중,box,39,0.9,"17,100","8,100","13,900",2021,2
(선)깐바지락,여수,소,box,333,0.9,"18,500","2,500","10,700",2021,2
(선)깐바지락,순천,중,box,8,0.9,"15,200","15,200","15,200",2021,2
(선)깐바지락,여수,중,box,415,0.8,"18,800","8,000","14,400",2021,2
(활)물바지락,여수,중,box,"1,087",10.0,"65,500","24,000","38,000",2021,2
(활)물바지락,순천,중,box,1,5.0,"28,200","28,200","28,200",2021,2
(활)물바지락,여수,대,box,6,7.0,"32,000","16,000","22,700",2021,2
(활)물바지락,순천,대,box,80,10.0,"41,000","28,000","33,500",2021,2
(활)물바지락,여수,소,box,13,10.0,"30,000","25,100","26,200",2021,2
(활)물바지락,삼천포,대,box,1,5.0,"13,000","13,000","13,000",2021,2
(활)물바지락,순천,중,box,114,10.0,"59,000","31,000","39,000",2021,2
(활)물바지락,여수,대,box,"2,445",10.0,"68,000","22,500","34,200",2021,2
(활)물바지락,여수,중,box,15,5.0,"25,500","12,200","17,300",2021,2
(활)물바지락,여수,특대,box,64,10.0,"56,500","30,500","37,000",2021,2
(활)물바지락,삼천포,대,box,635,10.0,"58,200","24,500","36,900",2021,2
(활)물바지락,삼천포,중,box,8,5.0,"26,200","11,000","17,600",2021,2
(활)봉바지락,중국,중,box,2,4.0,"3,000","3,000","3,000",2021,2
(활)봉바지락,태안,중,box,208,3.6,"17,800","7,300","12,900",2021,2
(활)봉바지락,중국,중,box,116,3.6,"16,000","4,000","8,600",2021,2
(활)칼바지락,중국,중,box,297,5.0,"17,600","2,500","9,100",2021,2
(활)칼바지락,중국,중,box,201,4.5,"15,000","7,300","10,000",2021,2
(활)칼바지락,중국,대,포,4,20.0,"53,000","52,000","52,500",2021,2
(활)칼바지락,중국,중,box,35,3.0,"19,000","11,100","14,600",2021,2
(활)칼바지락,중국,중,box,"1,081",6.0,"17,000","5,600","10,900",2021,2
(활)칼바지락,중국,중,box,"1,153",4.0,"16,300","2,000","9,400",2021,2
(활)칼바지락,중국,중,box,349,3.5,"13,000","4,000","8,900",2021,2
(활)토바지락,중국,중,box,436,2.2,"7,200","2,300","5,200",2021,2
(활)토바지락,중국,중,box,249,2.0,"7,000","2,500","5,100",2021,2
(활)겉바지락,순천,대,그물망,10,20.0,"40,000","28,000","32,000",2021,3
(활)겉바지락,인천,대,그물망,16,20.0,"33,000","33,000","33,000",2021,3
(활)겉바지락,군산,대,그물망,32,20.0,"82,100","68,000","75,700",2021,3
(활)겉바지락,중국,대,포,330,20.0,"57,000","5,000","30,300",2021,3
(활)겉바지락,태안,대,그물망,1,20.0,"65,000","65,000","65,000",2021,3
(활)겉바지락,태안,중,그물망,42,10.0,"44,000","32,000","36,500",2021,3
(활)겉바지락,고창,대,그물망,22,20.0,"91,000","66,100","74,200",2021,3
(선)깐바지락,통영,소,box,1,1.8,"12,200","12,200","12,200",2021,3
(선)깐바지락,삼천포,소,box,"4,770",0.9,"20,500","7,200","13,500",2021,3
(선)깐바지락,통영,소,box,2,0.9,"13,200","13,200","13,200",2021,3
(선)깐바지락,삼천포,소,box,5,1.7,"12,600","12,600","12,600",2021,3
(선)깐바지락,삼천포,소,box,35,1.3,"13,000","12,100","12,500",2021,3
(선)깐바지락,여수,소,box,227,1.0,"19,700","5,000","14,100",2021,3
(선)깐바지락,순천,소,box,40,0.9,"18,200","9,000","13,100",2021,3
(선)깐바지락,삼천포,소,box,82,0.7,"14,200","5,700","7,900",2021,3
(선)깐바지락,순천,소,box,9,1.0,"14,100","11,000","12,200",2021,3
(선)깐바지락,여수,소,box,"1,787",0.8,"19,000","4,000","12,000",2021,3
(선)깐바지락,여수,중,box,9,0.8,"13,000","13,000","13,000",2021,3
(선)깐바지락,삼천포,소,box,866,0.8,"21,000","9,000","12,100",2021,3
(선)깐바지락,여수,소,box,40,0.7,"13,500","8,200","11,500",2021,3
(선)깐바지락,여수,소,box,369,0.9,"17,200","4,000","12,600",2021,3
(선)깐바지락,통영,소,box,1,1.6,"15,000","15,000","15,000",2021,3
(선)깐바지락,삼천포,소,box,"1,562",1.0,"18,500","6,100","12,500",2021,3
(선)깐바지락,마산,소,box,11,0.9,"9,200","9,200","9,200",2021,3
(선)깐바지락,순천,소,box,35,0.8,"15,000","11,500","13,600",2021,3
(활)물바지락,삼천포,중,box,18,5.0,"18,000","12,000","15,200",2021,3
(활)물바지락,순천,대,box,30,9.0,"35,500","28,800","32,200",2021,3
(활)물바지락,순천,중,box,1,5.0,"21,500","21,500","21,500",2021,3
(활)물바지락,삼천포,대,box,12,9.6,"36,700","36,700","36,700",2021,3
(활)물바지락,여수,대,box,185,9.0,"42,000","28,000","35,500",2021,3
