어종,산지,규격,포장,수량,중량,낙찰고가,낙찰저가,평균가
(선)갑오징어,안흥,중,kg,"18,449",1.0,"20,000",300,"5,200"
(선)갑오징어,목포,중,kg,281,1.0,"15,000",500,"5,100"
(선)갑오징어,신안,대,S/P,1,10.0,"160,000","160,000","160,000"
(선)갑오징어,대천,12미,c/s(상자),25,10.0,"33,000","31,000","32,000"
(선)갑오징어,진도,1미,포,85,1.0,"2,000","1,300","1,600"
(선)갑오징어,신안,대,S/P,2,20.0,"130,000","130,000","130,000"
(선)갑오징어,서천,중,kg,"1,245",1.0,"22,000","1,500","8,800"
(선)갑오징어,군산,30미,box,7,10.0,"12,000","12,000","12,000"
(선)갑오징어,대천,14미,c/s(상자),26,10.0,"26,000","25,000","25,400"
(선)갑오징어,보령,8미,S/P,17,10.0,"52,000","52,000","52,000"
(선)갑오징어,남해,대,S/P,2,10.0,"10,000","10,000","10,000"
(선)갑오징어,보령,17미,c/s(상자),17,10.0,"43,000","43,000","43,000"
(선)갑오징어,신안,대,c/s(상자),1,15.0,"120,000","120,000","120,000"
(선)갑오징어,보령,14미,c/s(상자),1,15.0,"38,000","38,000","38,000"
(선)갑오징어,속초,2미,S/P,1,10.0,"30,000","30,000","30,000"
(선)갑오징어,보령,6미,c/s(상자),3,15.0,"60,000","60,000","60,000"
(선)갑오징어,군산,5미,box,4,10.0,"15,500","3,300","12,100"
(선)갑오징어,보령,16미,c/s(상자),1,15.0,"35,000","35,000","35,000"
(선)갑오징어,보령,8미,c/s(상자),649,10.0,"62,000","23,000","44,900"
(선)갑오징어,보령,11미,c/s(상자),1,10.0,"23,000","23,000","23,000"
(선)갑오징어,태안,대,S/P,102,1.0,"8,000",300,"2,700"
(선)갑오징어,삼천포,대,S/P,1,10.0,"10,000","10,000","10,000"
(선)갑오징어,진도,중,kg,302,1.0,"3,300",300,"1,000"
(선)갑오징어,군산,10미,c/s(상자),10,10.0,"23,000","23,000","23,000"
(선)갑오징어,태안,대,c/s(상자),865,1.0,"14,000",500,"4,100"
(선)갑오징어,속초,1미,S/P,2,10.0,"30,000","30,000","30,000"
(선)갑오징어,군산,10미,box,174,10.0,"29,600","13,000","21,200"
(선)갑오징어,태안,중,kg,"4,836",1.0,"19,000",100,"4,600"
(선)갑오징어,여수,대,box,211,10.0,"30,300","3,200","25,000"
(선)갑오징어,여수,중,kg,196,1.0,"12,000",500,"2,700"
(선)갑오징어,보령,6미,c/s(상자),160,10.0,"60,000","23,000","54,900"
(선)갑오징어,군산,대,box,444,10.0,"28,500","8,300","18,600"
(선)갑오징어,보령,10미,c/s(상자),898,10.0,"53,000","23,000","41,800"
(선)갑오징어,대천,1미,kg,"8,601",1.0,"20,000","1,000","4,000"
(선)갑오징어,보령,12미,c/s(상자),76,15.0,"45,000","43,000","44,200"
(선)갑오징어,신안,대,kg,"2,888.3",1.0,"11,500",500,"3,000"
(선)갑오징어,보령,8미,c/s(상자),23,15.0,"58,000","55,000","56,300"
(선)갑오징어,보령,16미,c/s(상자),56,10.0,"30,000","22,000","26,700"
(선)갑오징어,보령,12미,S/P,25,10.0,"42,000","36,000","39,600"
(선)갑오징어,군산,대,c/s(상자),9,10.0,"36,000","32,000","34,200"
(선)갑오징어,군산,대,S/P,52,1.0,"8,000","1,200","2,300"
(선)갑오징어,대천,16미,S/P,11,10.0,"31,000","30,000","30,700"
(선)갑오징어,군산,중,c/s(상자),371,1.0,"12,000","1,500","4,000"
(선)갑오징어,군산,중,kg,"16,928.8",1.0,"18,000",100,"4,200"
(선)갑오징어,군산,2미,box,50,10.0,"27,400","25,300","26,700"
(선)갑오징어,군산,대,c/s(상자),50,1.0,"8,000","3,000","5,100"
(선)갑오징어,보령,10미,c/s(상자),63,15.0,"52,000","48,000","51,000"
(선)갑오징어,신안,대,S/P,330,1.0,"140,000",800,"5,500"
(선)갑오징어,보령,14미,c/s(상자),61,10.0,"38,000","18,000","30,600"
(선)갑오징어,보령,대,c/s(상자),81,1.0,"2,500",500,"1,400"
(선)갑오징어,군산,6미,c/s(상자),19,10.0,"35,000","35,000","35,000"
(선)갑오징어,여수,10미,box,8,10.0,"24,000","20,300","20,800"
(선)갑오징어,군산,8미,c/s(상자),30,10.0,"35,000","26,000","29,000"
(선)갑오징어,보령,10미,S/P,30,10.0,"50,000","44,000","46,000"
(선)갑오징어,보령,6미,S/P,3,10.0,"59,000","59,000","59,000"
(선)갑오징어,대천,10미,c/s(상자),5,10.0,"42,000","42,000","42,000"
(선)갑오징어,군산,3미,box,32,10.0,"20,000","19,100","19,400"
(선)갑오징어,신안,대,c/s(상자),5,20.0,"135,000","130,000","132,000"
(선)갑오징어,보령,12미,c/s(상자),526,10.0,"42,000","20,000","35,000"
(선)갑오징어,보령,18미,c/s(상자),2,10.0,"30,000","25,000","27,500"
(선)갑오징어,대천,중,kg,"2,458",1.0,"15,500","1,300","5,900"
(선)갑오징어,태안,대,c/s(상자),6,15.0,"25,000","25,000","25,000"
(선)갑오징어,속초,대,S/P,5,20.0,"40,000","28,000","33,600"
(선)오징어,장항,20미,S/P,45,10.0,"34,000","34,000","34,000"
