어종,산지,규격,포장,수량,중량,낙찰고가,낙찰저가,평균가,year,month
(선)갑오징어,군산,5코,S/P,5,10.0,"18,000","18,000","18,000",2021,1
(선)갑오징어,군산,중,box,39,5.0,"13,300","1,500","10,700",2021,1
(선)갑오징어,장항,10코,box,3,10.0,"15,000","15,000","15,000",2021,1
(선)갑오징어,제주도,21미,S/P,14,8.0,"70,000","70,000","70,000",2021,1
(선)갑오징어,제주도,중,S/P,1,12.0,"100,000","100,000","100,000",2021,1
(선)갑오징어,군산,10미,box,180,10.0,"33,300","25,000","27,300",2021,1
(선)갑오징어,장항,20미,box,3,10.0,"15,000","15,000","15,000",2021,1
(선)갑오징어,군산,대,box,69,10.0,"28,800","1,500","21,000",2021,1
(선)갑오징어,군산,소,box,3,4.0,"7,000","7,000","7,000",2021,1
(선)갑오징어,군산,중,box,3,4.0,"5,500","5,500","5,500",2021,1
(선)갑오징어,제주도,25미,S/P,5,8.0,"70,000","70,000","70,000",2021,1
(선)갑오징어,군산,10미,box,7,1.0,"30,000","28,200","29,000",2021,1
(선)갑오징어,장항,6미,box,1,10.0,"12,000","12,000","12,000",2021,1
(냉)갑오징어,신안,중,c/s(상자),4,1.0,"90,000","90,000","90,000",2021,1
(냉)갑오징어,여수,중,S/P,80,1.0,"10,000","10,000","10,000",2021,1
(냉)갑오징어,여수,중,S/P,21,10.0,"150,000","100,000","102,400",2021,1
(선)대포오징어,감포,중,S/P,62.1,1.0,"16,000","14,000","14,900",2021,1
(선)대포오징어,강구,중,S/P,12.9,1.0,"14,000","14,000","14,000",2021,1
(선)대포오징어,죽변,중,S/P,28.3,1.0,"17,000","15,000","15,700",2021,1
(선)대포오징어,포항,중,S/P,1,20.0,"300,000","300,000","300,000",2021,1
(선)대포오징어,강구,중,S/P,2,20.0,"150,000","126,000","138,000",2021,1
(선)대포오징어,임원,중,S/P,8.1,1.0,"14,000","14,000","14,000",2021,1
(선)대포오징어,후포,중,S/P,4,20.0,"150,000","117,000","131,800",2021,1
(선)대포오징어,동해시,중,S/P,17.4,1.0,"17,000","16,000","16,500",2021,1
(선)대포오징어,포항,중,S/P,1,15.0,"140,000","140,000","140,000",2021,1
(선)대포오징어,후포,1미,S/P,2,20.0,"190,000","132,000","161,000",2021,1
(선)대포오징어,감포,중,S/P,1,20.0,"131,000","131,000","131,000",2021,1
(선)대포오징어,죽변,중,S/P,8,20.0,"150,000","41,000","110,100",2021,1
(냉)대포오징어,후포,1미,S/P,1,20.0,"99,000","99,000","99,000",2021,1
(선)오징어,임원,중,S/P,115,10.0,"86,000","30,000","44,900",2021,1
(선)오징어,죽변,중,S/P,80,10.0,"75,000","31,000","42,800",2021,1
(선)오징어,속초,중,S/P,104,10.0,"43,000","35,000","40,300",2021,1
(선)오징어,거제도,20미,S/P,70,10.0,"58,000","58,000","58,000",2021,1
(선)오징어,임원,소,S/P,18,10.0,"23,000","23,000","23,000",2021,1
(선)오징어,속초,25미,S/P,37,10.0,"26,000","26,000","26,000",2021,1
(선)오징어,임원,22미,S/P,125,10.0,"35,000","25,000","32,700",2021,1
(선)오징어,죽변,20미,S/P,"2,819",10.0,"90,000","17,000","59,900",2021,1
(선)오징어,통영,15미,S/P,22,10.0,"67,000","67,000","67,000",2021,1
(선)오징어,속초,20미,S/P,412,10.0,"80,000","20,000","46,700",2021,1
(선)오징어,동해시,20미,S/P,220,10.0,"80,000","40,000","55,500",2021,1
(선)오징어,죽변,30미,S/P,4,10.0,"25,000","22,000","22,800",2021,1
(선)오징어,통영,20미,S/P,50,10.0,"63,000","63,000","63,000",2021,1
(선)오징어,삼천포,25미,S/P,6,10.0,"45,000","45,000","45,000",2021,1
(선)오징어,삼척,중,S/P,5,10.0,"75,000","75,000","75,000",2021,1
(선)오징어,임원,20미,S/P,755,10.0,"80,000","25,000","55,900",2021,1
(선)오징어,부산(기장),28미,S/P,2,10.0,"45,000","45,000","45,000",2021,1
(선)오징어,포항,20미,S/P,30,10.0,"60,000","59,000","59,600",2021,1
(선)오징어,부산(기장),20미,S/P,737,10.0,"78,000","40,000","60,600",2021,1
(선)오징어,죽변,25미,S/P,74,10.0,"48,000","26,000","28,300",2021,1
(선)오징어,구룡포,20미,S/P,168,10.0,"63,000","62,000","62,400",2021,1
(선)오징어,축산,20미,S/P,558,10.0,"61,000","45,000","54,200",2021,1
(선)오징어,임원,25미,S/P,30,10.0,"29,000","27,000","28,300",2021,1
(선)오징어,죽변,22미,S/P,341,10.0,"37,000","31,000","33,900",2021,1
(선)오징어,삼천포,20미,S/P,128,10.0,"55,000","40,000","48,900",2021,1
(선)오징어,죽변,24미,S/P,23,10.0,"23,000","23,000","23,000",2021,1
(선)오징어,속초,16미,S/P,2,10.0,"30,000","30,000","30,000",2021,1
(선)오징어,후포,20미,S/P,58,10.0,"26,000","21,000","23,900",2021,1
(냉)오징어,아르헨티나,M,PAN(펜),30,10.4,"61,300","61,300","61,300",2021,1
(냉)오징어,기타(국내),대,PAN(펜),70,8.0,"70,000","60,000","68,400",2021,1
(냉)오징어,(원양)포클랜드,M2,PAN(펜),35,20.0,"130,800","130,800","130,800",2021,1
(냉)오징어,(원양)포클랜드,L,PAN(펜),10,18.0,"138,100","138,100","138,100",2021,1
(냉)오징어,중국,300/400,CT/(BT),10,8.0,"54,500","54,500","54,500",2021,1
(냉)오징어,(원양)포클랜드,M,PAN(펜),40,18.0,"144,500","128,700","140,600",2021,1
(냉)오징어,(원양)포클랜드,M2,PAN(펜),60,18.0,"131,000","130,800","130,900",2021,1
(냉)오징어,기타(국내),중,CT/(BT),80,4.0,"40,000","40,000","40,000",2021,1
(냉)오징어,중국,10미,CT/(BT),50,3.0,"16,500","16,500","16,500",2021,1
(냉)오징어,삼천포,중,PAN(펜),5,8.0,"85,000","85,000","85,000",2021,1
(냉)오징어,중국,400/600,CT/(BT),10,8.0,"54,500","54,500","54,500",2021,1
(선)갑오징어,군산,중,box,7,5.0,"2,000","1,500","1,600",2021,2
(선)갑오징어,군산,2미,box,23,10.0,"33,500","32,300","32,900",2021,2
(선)갑오징어,군산,대,box,86,10.0,"20,000","12,000","14,600",2021,2
(선)갑오징어,군산,20미,box,7,10.0,"32,300","32,300","32,300",2021,2
(선)갑오징어,군산,중,box,16,10.0,"31,600","1,500","27,300",2021,2
(선)갑오징어,군산,10미,box,244,10.0,"31,000","14,100","26,500",2021,2
(선)대포오징어,죽변,중,S/P,1,20.0,"133,000","133,000","133,000",2021,2
(선)오징어,제주도,25미,S/P,37,10.0,"70,000","45,000","51,100",2021,2
(선)오징어,방어진,20미,S/P,54,10.0,"84,000","80,000","83,300",2021,2
(선)오징어,부산(기장),25미,S/P,20,10.0,"63,000","63,000","63,000",2021,2
(선)오징어,강구,소,S/P,190,10.0,"25,000","14,000","18,400",2021,2
(선)오징어,후포,20미,S/P,10,10.0,"94,000","85,000","89,500",2021,2
(선)오징어,삼천포,20미,S/P,453,10.0,"85,000","50,000","70,100",2021,2
(선)오징어,임원,25미,S/P,7,10.0,"25,000","25,000","25,000",2021,2
(선)오징어,강구,20미,S/P,64,10.0,"29,000","28,000","28,600",2021,2
(선)오징어,거제도,20미,S/P,115,10.0,"90,000","70,000","74,100",2021,2
(선)오징어,군산,20미,S/P,30,10.0,"56,000","56,000","56,000",2021,2
(선)오징어,죽변,20미,S/P,60,10.0,"93,000","55,000","59,000",2021,2
(선)오징어,통영,25미,S/P,27,10.0,"55,000","40,000","50,000",2021,2
(선)오징어,제주도,소,S/P,3,10.0,"46,000","46,000","46,000",2021,2
(선)오징어,통영,20미,S/P,580,10.0,"93,000","37,000","62,600",2021,2
(선)오징어,임원,중,S/P,50,10.0,"18,000","18,000","18,000",2021,2
(선)오징어,부산(기장),20미,S/P,"1,195",10.0,"93,000","47,000","70,800",2021,2
(선)오징어,강구,22미,S/P,117,10.0,"26,000","22,000","24,100",2021,2
(선)오징어,임원,20미,S/P,13,10.0,"80,000","80,000","80,000",2021,2
(선)오징어,나로도,20미,S/P,40,10.0,"72,000","72,000","72,000",2021,2
(선)오징어,구룡포,20미,S/P,100,10.0,"35,000","35,000","35,000",2021,2
(선)오징어,제주도,20미,S/P,326,10.0,"100,000","70,000","84,600",2021,2
(냉)오징어,(원양)포클랜드,M2,PAN(펜),560,18.0,"116,000","116,000","116,000",2021,2
(냉)오징어,울진,20미,S/P,200,3.0,"20,000","20,000","20,000",2021,2
(냉)오징어,진도,20미,S/P,80,10.0,"54,000","52,000","53,500",2021,2
(냉)오징어,속초,20미,S/P,50,10.0,"70,000","68,000","69,300",2021,2
(냉)오징어,기타(국내),중,CT/(BT),20,4.0,"40,000","40,000","40,000",2021,2
(냉)오징어,기타(국내),대,PAN(펜),100,9.5,"86,000","86,000","86,000",2021,2
(냉)오징어,안흥,20미,S/P,50,10.0,"52,000","51,000","51,300",2021,2
(냉)오징어,(원양)포클랜드,M,PAN(펜),310,18.0,"129,000","129,000","129,000",2021,2
(냉)오징어,(원양)포클랜드,M2,PAN(펜),"1,400",20.0,"116,000","116,000","116,000",2021,2
(냉)오징어,후포,20미,S/P,30,10.0,"77,000","77,000","77,000",2021,2
(냉)오징어,제주도,20미,S/P,58,3.0,"20,000","20,000","20,000",2021,2
(냉)오징어,(원양)포클랜드,L,PAN(펜),20,20.0,"149,800","149,800","149,800",2021,2
(냉)오징어,아르헨티나,M,CT/(BT),110,10.4,"60,500","60,500","60,500",2021,2
(냉)오징어,중국,10미,CT/(BT),200,3.0,"16,400","14,800","15,800",2021,2
(냉)오징어,기타(국내),대,PAN(펜),150,8.5,"78,000","78,000","78,000",2021,2
(냉)오징어,삼천포,20미,S/P,43,10.0,"50,000","30,000","38,400",2021,2
(냉)오징어,부산(기장),20미,S/P,82,10.0,"70,000","65,000","67,900",2021,2
(냉)오징어,기타(국내),중,PAN(펜),75,8.5,"82,000","82,000","82,000",2021,2
(냉)오징어,울진,8미,S/P,800,1.0,"10,000","7,000","7,500",2021,2
(냉)오징어,동해시,20미,S/P,50,10.0,"56,000","56,000","56,000",2021,2
(냉)오징어,울진,중,S/P,200,1.0,"9,000","8,000","8,100",2021,2
(냉)오징어,삼천포,22미,S/P,7,10.0,"30,000","30,000","30,000",2021,2
(냉)오징어,(원양)포클랜드,L,PAN(펜),10,18.0,"135,200","135,200","135,200",2021,2
(냉)오징어,(원양)포클랜드,M,PAN(펜),650,20.0,"129,000","70,000","128,500",2021,2
