어종,산지,규격,포장,수량,중량,낙찰고가,낙찰저가,평균가
(활)우럭,여수,중,kg,2.3,1,"35,000","35,000","35,000"
(활)우럭,인천,중,kg,9.8,1,"15,000","1,000","8,400"
(활)우럭,군산,중,kg,25.2,1,"30,000","20,000","24,500"
(활)우럭,통영,중,kg,"5,979.1",1,"18,000","4,000","11,400"
(활)우럭,목포,중,kg,16.2,1,"15,000","7,000","11,600"
(활)우럭,완도,중,kg,151.6,1,"30,000","1,000","14,700"
(선)우럭,삼천포,8미,S/P,1,15,"13,000","13,000","13,000"
(선)우럭,완도,대,S/P,13.5,1,"10,500","10,500","10,500"
(선)우럭,완도,중,kg,28.2,1,"11,000","5,000","8,800"
(선)우럭,제주도,대,S/P,1,15,"50,000","50,000","50,000"
(선)우럭,남해,6미,S/P,19,15,"20,000","15,000","16,600"
(선)우럭,통영,중,S/P,1,25,"70,000","70,000","70,000"
(선)우럭,삼천포,5미,S/P,17,15,"18,000","18,000","18,000"
(선)우럭,남해,10미,S/P,7,15,"15,000","12,000","13,300"
(선)우럭,남해,4미,S/P,106,15,"17,000","15,000","15,700"
(선)우럭,남해,7미,S/P,3,15,"16,000","13,000","15,000"
(선)우럭,남해,5미,S/P,143,15,"25,000","12,000","19,100"
(선)우럭,남해,9미,S/P,1,15,"15,000","15,000","15,000"
(선)우럭,남해,8미,S/P,49,15,"22,000","13,000","16,800"
(선)우럭,제주도,대,S/P,1,10,"18,000","18,000","18,000"
(선)우럭,통영,중,kg,"3,496.3",1,"16,000","1,000","8,700"
(활)우럭조개,여수,15미,미(마리),15,1,"3,300","3,300","3,300"
(활)우럭조개,여수,10미,box,10,10,"3,600","3,600","3,600"
(활)우럭조개,여수,5미,미(마리),10,1,"20,000","8,100","14,100"
(활)우럭조개,여수,7미,box,14,10,"15,600","15,600","15,600"
(활)우럭조개,여수,8미,미(마리),512,1,"18,500","3,100","9,000"
(활)우럭조개,여수,6미,box,54,10,"8,300","8,300","8,300"
(활)우럭조개,여수,8미,box,421,1,"17,600","4,100","10,600"
(활)우럭조개,여수,9미,box,27,1,"3,300","3,300","3,300"
(활)우럭조개,통영,8미,box,32,1,"18,100","13,000","16,800"
(활)우럭조개,통영,중,kg,27,1,"4,000","3,500","3,900"
(활)우럭조개,여수,9미,미(마리),279,1,"15,500","2,000","6,300"
(활)우럭조개,여수,10미,box,130,1,"15,100","6,000","9,500"
(활)우럭조개,여수,7미,box,520,1,"18,500","5,300","11,100"
(활)우럭조개,통영,10미,box,10,1,"16,300","16,300","16,300"
(활)우럭조개,여수,4미,box,4,1,"2,500","2,500","2,500"
(활)우럭조개,통영,9미,box,9,1,"11,500","11,500","11,500"
(활)우럭조개,여수,13미,box,13,1,"1,900","1,900","1,900"
(활)우럭조개,여수,5미,box,5,1,"8,500","8,500","8,500"
(활)우럭조개,여수,8미,box,8,10,"14,000","14,000","14,000"
(활)우럭조개,여수,6미,미(마리),108,1,"16,000","6,100","9,700"
(활)우럭조개,여수,6미,box,78,1,"18,200","4,100","10,100"
(활)우럭조개,통영,7미,box,14,1,"18,100","18,100","18,100"
(활)우럭조개,여수,7미,미(마리),273,1,"19,000","5,100","9,000"
(활)우럭조개,여수,10미,미(마리),30,1,"6,000","5,500","5,800"
