어종,산지,규격,포장,수량,중량,낙찰고가,낙찰저가,평균가,year,month,date
(활)우럭,여수,중,kg,125.3,1.0,"28,000","12,000","19,900",2021,1,2021-01-01
(활)우럭,목포,중,kg,128.5,1.0,"15,000","5,000","8,900",2021,1,2021-01-01
(활)우럭,서천,중,kg,111.7,1.0,"25,000","11,000","19,900",2021,1,2021-01-01
(활)우럭,태안,중,kg,39.8,1.0,"16,000","14,500","15,300",2021,1,2021-01-01
(활)우럭,통영,중,kg,"3,497.7",1.0,"22,000","2,000","14,100",2021,1,2021-01-01
(활)우럭,완도,중,kg,"1,731.3",1.0,"30,000","5,000","14,200",2021,1,2021-01-01
(활)우럭,충무,중,kg,22,1.0,"19,000","16,000","17,900",2021,1,2021-01-01
(활)우럭,제주도,중,kg,789.8,1.0,"25,000","3,000","7,500",2021,1,2021-01-01
(활)우럭,속초,중,kg,108.5,1.0,"20,000","8,000","14,900",2021,1,2021-01-01
(활)우럭,거제도,중,kg,381.1,1.0,"17,500","10,000","12,200",2021,1,2021-01-01
(선)우럭,속초,21미,S/P,15.6,1.0,"12,000","11,000","11,400",2021,1,2021-01-01
(선)우럭,삼천포,중,S/P,1,6.0,"50,000","50,000","50,000",2021,1,2021-01-01
(선)우럭,완도,중,S/P,1,20.0,"150,000","150,000","150,000",2021,1,2021-01-01
(선)우럭,속초,중,S/P,1,10.0,"40,000","40,000","40,000",2021,1,2021-01-01
(선)우럭,속초,20미,S/P,22.3,1.0,"10,000","10,000","10,000",2021,1,2021-01-01
(선)우럭,남해,중,S/P,6,10.0,"20,000","20,000","20,000",2021,1,2021-01-01
(선)우럭,안흥,중,kg,17.2,1.0,"10,000","9,000","9,500",2021,1,2021-01-01
(선)우럭,완도,중,kg,30.6,1.0,"10,000","6,000","9,500",2021,1,2021-01-01
(선)우럭,서천,중,kg,1.2,1.0,"5,500","5,500","5,500",2021,1,2021-01-01
(선)우럭,완도,중,S/P,32.2,1.0,"10,000","3,500","7,700",2021,1,2021-01-01
(선)우럭,대부도,중,kg,14.5,1.0,"9,000","9,000","9,000",2021,1,2021-01-01
(선)우럭,제주도,10미,S/P,1,10.8,"97,200","97,200","97,200",2021,1,2021-01-01
(선)우럭,속초,중,S/P,6,20.0,"100,000","100,000","100,000",2021,1,2021-01-01
(선)우럭,속초,중,S/P,164.9,1.0,"12,000","9,000","9,700",2021,1,2021-01-01
(선)우럭,통영,중,kg,"6,042.5",1.0,"19,000","5,000","10,800",2021,1,2021-01-01
(선)우럭,삼천포,중,S/P,5,10.0,"40,000","5,000","12,000",2021,1,2021-01-01
(선)우럭,속초,중,S/P,1,15.0,"100,000","100,000","100,000",2021,1,2021-01-01
(선)우럭,보령,중,kg,1.2,1.0,"5,000","5,000","5,000",2021,1,2021-01-01
(활)우럭조개,여수,8미,box,4,10.0,"104,000","48,000","76,000",2021,1,2021-01-01
(활)우럭조개,여수,12미,box,6,5.0,"103,200","72,000","86,600",2021,1,2021-01-01
(활)우럭조개,여수,7미,box,1,10.0,"77,000","77,000","77,000",2021,1,2021-01-01
(활)우럭조개,여수,10미,box,11,5.0,"140,000","68,000","93,800",2021,1,2021-01-01
(활)우럭조개,여수,10미,box,16,10.0,"110,000","73,000","83,800",2021,1,2021-01-01
(활)우럭조개,여수,9미,box,4,10.0,"117,000","90,000","101,300",2021,1,2021-01-01
(활)우럭조개,여수,15미,box,7,5.0,"121,500","22,500","64,100",2021,1,2021-01-01
(활)우럭조개,여수,8미,box,2,5.0,"104,000","104,000","104,000",2021,1,2021-01-01
(활)우럭조개,여수,20미,box,5,10.0,"150,000","50,000","98,400",2021,1,2021-01-01
(활)우럭조개,여수,20미,box,3,5.0,"166,000","90,000","140,700",2021,1,2021-01-01
(활)우럭조개,여수,15미,box,1,10.0,"60,000","60,000","60,000",2021,1,2021-01-01
(활)우럭조개,여수,30미,box,1,5.0,"90,000","90,000","90,000",2021,1,2021-01-01
(활)우럭,서산,중,kg,240.6,1.0,"15,000","9,500","11,700",2021,2,2021-02-01
(활)우럭,통영,중,kg,"2,994.6",1.0,"30,000","3,000","14,700",2021,2,2021-02-01
(활)우럭,서천,중,kg,106.1,1.0,"24,000","15,000","19,900",2021,2,2021-02-01
(활)우럭,여수,중,kg,228.7,1.0,"31,000","10,000","25,700",2021,2,2021-02-01
(선)우럭,통영,중,kg,"4,588.3",1.0,"15,000","4,000","11,600",2021,2,2021-02-01
(선)우럭,삼천포,중,S/P,38,10.0,"8,000","5,000","7,100",2021,2,2021-02-01
(선)우럭,제주도,9미,S/P,1,7.8,"62,400","62,400","62,400",2021,2,2021-02-01
(선)우럭,서천,중,kg,20.2,1.0,"11,000","4,000","5,000",2021,2,2021-02-01
(활)우럭조개,여수,14미,box,1,5.0,"49,000","49,000","49,000",2021,2,2021-02-01
(활)우럭조개,여수,9미,box,3,10.0,"108,000","99,000","102,000",2021,2,2021-02-01
(활)우럭조개,여수,10미,box,1,5.0,"25,000","25,000","25,000",2021,2,2021-02-01
