어종,산지,규격,포장,수량,중량,낙찰고가,낙찰저가,평균가
(활)전복,완도,4미,kg,3.8,1,"115,000","105,000","111,300"
(활)전복,완도,11미,kg,497,1,"22,000","18,000","21,100"
(활)전복,완도,17/18미,kg,"3,548.2",1,"19,500","14,500","17,500"
(활)전복,완도,6/7미,kg,"1,296",1,"36,000","20,000","27,600"
(활)전복,통영,5미,kg,1,1,"90,000","90,000","90,000"
(활)전복,완도,14미,kg,34.6,1,"19,000","17,000","18,300"
(활)전복,완도,25/30미,kg,180.2,1,"15,000","10,500","14,000"
(활)전복,완도,15미,kg,423.4,1,"19,500","15,000","17,400"
(활)전복,완도,30/40미,kg,65.2,1,"13,000","11,000","11,400"
(활)전복,완도,25미,kg,644.7,1,"15,000","8,000","12,500"
(활)전복,완도,20/21미,kg,673.5,1,"17,500","12,000","15,900"
(활)전복,완도,28/29미,kg,93.9,1,"14,500","13,500","13,900"
(활)전복,완도,34/35미,kg,34.7,1,"14,000","14,000","14,000"
(활)전복,완도,38/39미,kg,69.6,1,"11,500","11,000","11,300"
(활)전복,완도,5미,kg,4.2,1,"85,000","65,000","75,000"
(활)전복,완도,18/19미,kg,732.1,1,"18,500","15,000","17,300"
(활)전복,완도,16미,kg,57.1,1,"18,000","16,000","17,100"
(활)전복,완도,29/30미,kg,106.5,1,"14,500","12,000","12,900"
(활)전복,완도,50/60미,kg,267.7,1,"7,000","3,500","4,700"
(활)전복,완도,12미,kg,105.9,1,"20,500","18,000","19,700"
(활)전복,완도,25/26미,kg,207.7,1,"15,500","14,000","14,400"
(활)전복,완도,35/40미,kg,208.6,1,"15,000","7,000","11,400"
(활)전복,통영,9미,kg,1,1,"45,000","45,000","45,000"
(활)전복,완도,4/5미,kg,252.8,1,"90,000","45,000","47,100"
(활)전복,완도,8/9미,kg,"5,220.4",1,"26,500","18,000","22,500"
(활)전복,완도,9미,kg,174.9,1,"31,000","20,000","21,800"
(활)전복,통영,3/4미,kg,1.9,1,"135,000","135,000","135,000"
(활)전복,완도,26/27미,kg,46.6,1,"16,000","15,000","15,800"
(활)전복,완도,10/11미,kg,"6,778.7",1,"23,500","15,000","20,400"
(활)전복,통영,4/5미,kg,1.3,1,"100,000","100,000","100,000"
(활)전복,완도,14/15미,kg,"3,475.5",1,"21,500","15,500","18,300"
(활)전복,완도,9/10미,kg,"6,825.5",1,"25,500","15,000","21,100"
(활)전복,완도,11/12미,kg,"7,007.3",1,"23,000","14,000","19,600"
(활)전복,완도,24/25미,kg,177.1,1,"18,000","12,000","15,900"
(활)전복,완도,17미,kg,57.5,1,"18,000","16,500","17,400"
(활)전복,완도,10미,kg,488.5,1,"22,000","18,000","20,700"
(활)전복,완도,3/4미,kg,3.1,1,"135,000","135,000","135,000"
(활)전복,완도,7미,kg,290.7,1,"52,000","24,000","26,500"
(활)전복,완도,18미,kg,161,1,"18,500","15,500","17,100"
(활)전복,통영,10미,kg,1.1,1,"40,000","40,000","40,000"
(활)전복,완도,13미,kg,117,1,"20,500","16,000","18,900"
(활)전복,완도,7/8미,kg,"2,948.5",1,"42,000","20,000","24,300"
(활)전복,완도,21/22미,kg,457.2,1,"18,000","14,000","16,300"
(활)전복,완도,19/20미,kg,"1,399",1,"19,000","14,500","17,200"
(활)전복,완도,22미,kg,"1,761.5",1,"17,500","11,000","15,200"
(활)전복,완도,20미,kg,580.6,1,"18,500","13,500","16,100"
(활)전복,완도,6미,kg,8.1,1,"62,000","60,000","61,200"
(활)전복,완도,15/16미,kg,"1,561.7",1,"20,500","15,000","17,800"
(활)전복,완도,45/50미,kg,116,1,"7,000","5,000","5,700"
(활)전복,완도,12/13미,kg,"6,177.7",1,"22,000","14,000","18,600"
(활)전복,완도,5/6미,kg,437.8,1,"70,000","27,500","33,800"
(활)전복,완도,27/28미,kg,45.2,1,"14,000","14,000","14,000"
(활)전복,완도,23/24미,kg,48.2,1,"15,500","12,000","14,300"
(활)전복,완도,35미,kg,58.8,1,"11,000","9,000","10,200"
(활)전복,완도,8미,kg,242.1,1,"40,000","21,000","23,800"
(활)전복,완도,16/17미,kg,"2,674.6",1,"20,000","14,000","17,400"
(활)전복,완도,30미,kg,179.4,1,"14,000","7,000","10,700"
(활)전복,완도,13/14미,kg,"4,238.2",1,"21,000","15,000","18,300"
(활)전복,완도,22/23미,kg,117.2,1,"16,000","13,500","14,200"
(활)전복,완도,40미,kg,12.3,1,"12,000","12,000","12,000"
(활)전복,완도,30/31미,kg,278.1,1,"16,000","12,500","14,200"
(냉)전복,완도,25/30미,kg,20,1,"2,500","2,500","2,500"
(냉)전복,완도,10/20미,kg,100,1,"2,500","2,500","2,500"
