어종,산지,규격,포장,수량,중량,낙찰고가,낙찰저가,평균가,year,month
(활)전복,완도,4미,kg,7,1.0,"40,000","40,000","40,000",2021,1
(활)전복,완도,22/23미,kg,24.1,1.0,"14,000","14,000","14,000",2021,1
(활)전복,완도,40미,kg,95.3,1.0,"12,000","7,000","10,400",2021,1
(활)전복,완도,9/10미,kg,"2,523.5",1.0,"559,200","23,000","28,700",2021,1
(활)전복,완도,14/15미,kg,"1,537.4",1.0,"24,000","14,000","21,500",2021,1
(활)전복,완도,17/18미,kg,"2,077.1",1.0,"23,000","13,000","19,100",2021,1
(활)전복,완도,6/7미,kg,489.6,1.0,"50,000","33,000","44,600",2021,1
(활)전복,완도,14미,kg,34,1.0,"22,000","21,000","21,300",2021,1
(활)전복,완도,25/30미,kg,428.9,1.0,"17,000","10,000","13,900",2021,1
(활)전복,완도,15미,kg,110.8,1.0,"21,000","21,000","21,000",2021,1
(활)전복,완도,30/40미,kg,57.4,1.0,"11,000","10,000","10,600",2021,1
(활)전복,완도,25미,kg,421.6,1.0,"19,000","10,000","14,200",2021,1
(활)전복,완도,20/21미,kg,382.9,1.0,"20,000","8,000","16,100",2021,1
(활)전복,완도,23미,kg,22.1,1.0,"16,000","16,000","16,000",2021,1
(활)전복,완도,28/29미,kg,22.7,1.0,"16,000","12,000","14,000",2021,1
(활)전복,완도,30/35미,kg,251.3,1.0,"14,000","10,000","10,700",2021,1
(활)전복,완도,5미,kg,28.8,1.0,"115,000","45,000","65,600",2021,1
(활)전복,완도,18/19미,kg,254.9,1.0,"20,000","18,000","19,100",2021,1
(활)전복,완도,16미,kg,243.1,1.0,"20,000","17,000","19,400",2021,1
(활)전복,완도,29/30미,kg,23,1.0,"16,000","11,000","13,400",2021,1
(활)전복,완도,중,kg,"5,863.2",1.0,"45,000","5,000","15,400",2021,1
(활)전복,완도,50/60미,kg,266.2,1.0,"5,000","3,000","4,100",2021,1
(활)전복,완도,12미,kg,43.7,1.0,"40,000","17,000","24,000",2021,1
(활)전복,완도,25/26미,kg,11.4,1.0,"18,000","18,000","18,000",2021,1
(활)전복,완도,35/40미,kg,203.9,1.0,"12,000","7,000","10,000",2021,1
(활)전복,완도,4/5미,kg,63.5,1.0,"120,000","50,000","58,400",2021,1
(활)전복,완도,8/9미,kg,"2,470.5",1.0,"52,000","20,000","33,300",2021,1
(활)전복,완도,9미,kg,124,1.0,"32,000","26,000","29,200",2021,1
(활)전복,완도,26/27미,kg,21.1,1.0,"16,000","15,000","15,500",2021,1
(활)전복,완도,13/14미,kg,"2,858.8",1.0,"25,000","15,000","21,300",2021,1
(활)전복,완도,30미,kg,528.2,1.0,"18,000","11,000","15,100",2021,1
(활)전복,완도,16/17미,kg,"1,151.2",1.0,"22,000","15,000","19,300",2021,1
(활)전복,완도,11/12미,kg,"3,475.1",1.0,"29,000","18,000","23,100",2021,1
(활)전복,완도,40/45미,kg,45.3,1.0,"10,000","7,000","8,000",2021,1
(활)전복,완도,24/25미,kg,171,1.0,"20,000","10,000","16,800",2021,1
