어종,산지,규격,포장,수량,중량,낙찰고가,낙찰저가,평균가
(선)백조기,제주도,대,S/P,12.0,5.0,"22,000","22,000","22,000"
(선)백조기,나로도,8미,S/P,5.0,10.0,"15,000","15,000","15,000"
(선)백조기,통영,중,kg,6.0,3.0,"8,000","5,500","7,200"
(선)백조기,제주도,특대,S/P,5.0,8.0,"45,000","45,000","45,000"
(선)백조기,제주도,대,S/P,32.0,10.0,"58,000","20,000","23,800"
(선)백조기,제주도,5미,S/P,4.0,10.0,"10,000","10,000","10,000"
(선)백조기,제주도,12미,S/P,11.0,10.0,"32,000","27,000","27,500"
(선)백조기,제주도,25미,S/P,7.0,10.0,"57,000","56,000","56,300"
(선)백조기,완도,대,S/P,52.0,5.0,"40,000","2,000","11,200"
(선)백조기,여수,대,S/P,1.0,10.0,"30,000","30,000","30,000"
(선)백조기,제주도,24미,S/P,16.0,10.0,"57,000","50,000","52,200"
(선)백조기,제주도,49미,S/P,1.0,7.5,"21,000","21,000","21,000"
(선)백조기,제주도,30미,S/P,2.0,11.0,"57,000","57,000","57,000"
(선)백조기,제주도,27미,S/P,1.0,10.0,"57,000","57,000","57,000"
(선)백조기,제주도,26미,S/P,1.0,10.0,"57,000","57,000","57,000"
(선)백조기,통영,중,S/P,6.0,3.0,"7,000","7,000","7,000"
(선)백조기,제주도,18미,S/P,51.0,10.0,"35,000","22,000","26,500"
(선)백조기,제주도,50미,S/P,1.0,7.0,"21,000","21,000","21,000"
(선)백조기,나로도,15미,S/P,1.0,10.0,"13,000","13,000","13,000"
(선)백조기,제주도,22미,S/P,1.0,5.3,"26,000","26,000","26,000"
(선)백조기,제주도,24/25미,S/P,13.0,10.0,"55,000","55,000","55,000"
(선)백조기,나로도,10미,S/P,3.0,15.0,"8,000","8,000","8,000"
(선)백조기,통영,중,S/P,1.0,5.0,"48,000","48,000","48,000"
(선)백조기,제주도,31미,S/P,1.0,12.0,"57,000","57,000","57,000"
(선)백조기,통영,중,S/P,5.0,10.0,"10,000","10,000","10,000"
(선)백조기,나로도,7미,S/P,20.0,15.0,"10,000","10,000","10,000"
(선)백조기,완도,대,kg,2.0,10.0,"15,000","15,000","15,000"
(선)백조기,통영,중,S/P,4.0,7.0,"15,000","11,000","13,000"
(선)백조기,제주도,38/39미,S/P,4.0,10.0,"53,000","52,000","52,500"
(선)백조기,나로도,12미,S/P,4.0,10.0,"17,000","17,000","17,000"
(선)백조기,제주도,대,S/P,1.0,6.5,"27,000","27,000","27,000"
(선)백조기,제주도,특대,S/P,27.0,10.0,"28,000","19,000","22,400"
(선)백조기,통영,중,kg,1.0,5.0,"32,000","32,000","32,000"
(선)백조기,통영,중,S/P,1.0,15.0,"210,000","210,000","210,000"
(선)백조기,제주도,대,S/P,9.0,7.0,"27,000","27,000","27,000"
(선)백조기,완도,중,kg,2.0,5.0,"12,000","12,000","12,000"
(선)백조기,완도,중,kg,13.0,3.0,"7,000","7,000","7,000"
(선)백조기,제주도,11미,S/P,1.0,10.0,"24,000","24,000","24,000"
(선)백조기,나로도,5미,S/P,2.0,15.0,"8,000","8,000","8,000"
(선)백조기,제주도,30미,S/P,1.0,11.5,"55,000","55,000","55,000"
(선)백조기,완도,중,S/P,34.0,5.0,"7,000","4,000","5,800"
(선)백조기,제주도,28미,S/P,3.0,10.0,"65,000","65,000","65,000"
(선)백조기,제주도,10미,S/P,15.0,10.0,"32,000","27,000","27,700"
(선)백조기,제주도,21/22미,S/P,2.0,8.0,"52,000","52,000","52,000"
(선)백조기,제주도,25미,S/P,1.0,8.5,"51,000","51,000","51,000"
(선)백조기,통영,중,S/P,1.0,20.0,"117,500","117,500","117,500"
(선)백조기,제주도,16미,S/P,1.0,6.0,"47,000","47,000","47,000"
(선)백조기,통영,중,kg,1.0,20.0,"117,000","117,000","117,000"
(선)백조기,제주도,10미,S/P,1.0,6.0,"24,000","24,000","24,000"
(선)백조기,제주도,28미,S/P,1.0,6.5,"20,000","20,000","20,000"
(선)백조기,완도,대,S/P,1.0,10.0,"8,000","8,000","8,000"
(선)백조기,나로도,6미,S/P,8.0,15.0,"8,000","8,000","8,000"
(선)백조기,나로도,8미,S/P,15.0,15.0,"8,000","8,000","8,000"
(선)백조기,완도,대,S/P,54.9,1.0,"2,500","2,500","2,500"
(선)백조기,제주도,29미,S/P,1.0,10.0,"50,000","50,000","50,000"
(선)백조기,제주도,21미,S/P,54.0,10.0,"55,000","22,000","24,300"
(선)백조기,나로도,10미,S/P,4.0,10.0,"15,000","15,000","15,000"
(선)백조기,제주도,대,S/P,4.0,8.0,"51,000","35,000","43,000"
(선)백조기,제주도,30미,S/P,8.0,10.0,"56,000","26,000","44,800"
(선)백조기,나로도,11미,S/P,1.0,10.0,"10,000","10,000","10,000"
(선)백조기,나로도,6미,S/P,4.0,10.0,"19,000","19,000","19,000"
(냉)백조기,제주도,32미,S/P,2.0,10.0,"30,000","30,000","30,000"
(냉)백조기,제주도,38미,S/P,1.0,10.0,"30,000","30,000","30,000"
(냉)백조기,제주도,대,S/P,1.0,12.0,"35,000","35,000","35,000"
(냉)백조기,제주도,28미,S/P,4.0,10.0,"37,000","37,000","37,000"
(냉)백조기,제주도,30미,S/P,1.0,10.0,"37,000","37,000","37,000"
(냉)백조기,제주도,25미,S/P,3.0,10.0,"42,000","42,000","42,000"
(냉)백조기,제주도,36미,S/P,1.0,15.0,"47,000","47,000","47,000"
(냉)백조기,제주도,대,S/P,1.0,11.8,"35,000","35,000","35,000"
(냉)백조기,제주도,26미,S/P,1.0,10.0,"37,000","37,000","37,000"
(냉)백조기,제주도,45미,S/P,1.0,10.0,"30,000","30,000","30,000"
(냉)백조기,제주도,대,S/P,2.0,11.0,"35,000","35,000","35,000"
(냉)백조기,제주도,36미,S/P,3.0,10.0,"30,000","30,000","30,000"
(냉)백조기,제주도,27미,S/P,3.0,10.0,"37,000","37,000","37,000"
(냉)백조기,제주도,57미,S/P,1.0,10.0,"30,000","30,000","30,000"
(냉)백조기,제주도,58미,S/P,1.0,10.0,"30,000","30,000","30,000"
(냉)백조기,제주도,37미,S/P,4.0,10.0,"30,000","30,000","30,000"
(냉)백조기,제주도,31미,S/P,2.0,10.0,"30,000","30,000","30,000"
(냉)백조기,제주도,32미,S/P,1.0,11.0,"46,000","46,000","46,000"
(냉)백조기,제주도,35미,S/P,4.0,10.0,"30,000","30,000","30,000"
(냉)백조기,제주도,대,S/P,2.0,9.0,"35,000","35,000","35,000"
(냉)백조기,제주도,중,S/P,6.0,15.0,"37,000","37,000","37,000"
(냉)백조기,제주도,29미,S/P,3.0,10.0,"37,000","37,000","37,000"
(냉)백조기,제주도,40미,S/P,1.0,10.0,"30,000","30,000","30,000"
(냉)백조기,제주도,43미,S/P,1.0,10.0,"30,000","30,000","30,000"
(냉)백조기,제주도,27미,S/P,1.0,15.0,"47,000","47,000","47,000"
(냉)백조기,제주도,대,S/P,16.0,10.0,"45,000","26,000","34,800"
(냉)백조기,제주도,대,S/P,3.0,10.5,"33,000","33,000","33,000"
(선)수조기,제주도,중,S/P,2.0,10.0,"130,000","90,000","110,000"
(선)수조기,제주도,12미,S/P,1.0,7.0,"35,000","35,000","35,000"
(선)수조기,제주도,대,S/P,3.0,10.0,"100,000","82,600","94,200"
(선)수조기,제주도,11미,S/P,1.0,13.4,"105,000","105,000","105,000"
(선)수조기,제주도,16미,S/P,1.0,20.5,"143,500","143,500","143,500"
(선)수조기,목포,중,kg,2.7,1.0,"4,000","4,000","4,000"
(냉)수조기,제주도,10미,S/P,1.0,15.0,"40,000","40,000","40,000"
(냉)수조기,제주도,대,S/P,1.0,10.0,"35,000","35,000","35,000"
(냉)수조기,제주도,9미,S/P,1.0,15.0,"40,000","40,000","40,000"
(냉)조기,중국,42미,CT/(BT),20.0,3.5,"34,500","34,500","34,500"
(냉)조기,중국,60미,CT/(BT),260.0,4.0,"32,900","29,300","31,300"
(냉)조기,중국,50/51미,CT/(BT),80.0,4.0,"48,100","48,100","48,100"
(냉)조기,중국,33미,CT/(BT),30.0,3.5,"49,100","49,100","49,100"
(냉)조기,중국,40미,CT/(BT),200.0,4.0,"59,600","57,500","58,500"
(냉)조기,중국,40미,CT/(BT),10.0,3.5,"63,500","63,500","63,500"
(냉)조기,중국,30미,CT/(BT),80.0,3.5,"74,000","74,000","74,000"
(냉)조기,중국,70미,CT/(BT),65.0,9.0,"215,400","215,300","215,300"
(선)참조기,제주도,60미,S/P,1.0,17.0,"1,105,000","1,105,000","1,105,000"
(선)참조기,제주도,4미,S/P,4.0,2.0,"150,000","150,000","150,000"
(선)참조기,남해,18미,S/P,3.0,3.0,"105,000","100,000","103,300"
