어종,산지,규격,포장,수량,중량,낙찰고가,낙찰저가,평균가,year,month
(선)백조기,제주도,40미,S/P,1.0,10.0,"65,000","65,000","65,000",2021,1
(선)백조기,완도,10미,S/P,10.0,1.0,"7,000","7,000","7,000",2021,1
(선)백조기,제주도,19미,S/P,1.0,6.0,"30,000","30,000","30,000",2021,1
(선)백조기,제주도,중,S/P,1.0,20.0,"28,000","28,000","28,000",2021,1
(선)백조기,완도,8미,S/P,12.0,1.0,"9,500","9,500","9,500",2021,1
(선)백조기,제주도,32미,S/P,2.0,7.0,"30,000","30,000","30,000",2021,1
(선)백조기,제주도,31미,S/P,2.0,7.0,"30,000","30,000","30,000",2021,1
(선)백조기,제주도,61미,S/P,2.0,10.0,"38,000","38,000","38,000",2021,1
(선)백조기,제주도,27미,S/P,4.0,6.0,"32,000","32,000","32,000",2021,1
(선)백조기,나로도,8미,S/P,2.0,10.0,"25,000","22,000","23,500",2021,1
(선)백조기,제주도,29미,S/P,1.0,6.0,"30,000","30,000","30,000",2021,1
(선)백조기,나로도,16미,S/P,1.0,10.0,"15,000","15,000","15,000",2021,1
(선)백조기,제주도,34미,S/P,1.0,7.0,"30,000","30,000","30,000",2021,1
(선)백조기,제주도,100미,S/P,1.0,21.0,"110,000","110,000","110,000",2021,1
(선)백조기,제주도,20미,S/P,2.0,6.0,"33,000","33,000","33,000",2021,1
(선)백조기,나로도,12미,S/P,7.0,10.0,"23,000","18,000","20,600",2021,1
(선)백조기,제주도,21미,S/P,1.0,4.4,"18,000","18,000","18,000",2021,1
(선)백조기,제주도,중,S/P,14.0,10.0,"27,000","23,000","24,000",2021,1
(선)백조기,제주도,75미,S/P,4.0,15.0,"35,000","35,000","35,000",2021,1
(선)백조기,제주도,70미,S/P,1.0,9.6,"30,000","30,000","30,000",2021,1
(선)백조기,완도,중,S/P,2.0,20.0,"100,000","100,000","100,000",2021,1
(선)백조기,제주도,23미,S/P,7.0,6.0,"33,000","32,000","32,900",2021,1
