일,00,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,최대,평균,최소
01,27.3,27.3,27.3,27.3,27.3,27.3,27.3,27.3,27.2,27.2,27.2,27.2,27.2,27.3,27.3,27.4,27.3,27.4,27.2,27.1,26.9,26.9,26.9,26.9,27.4,27.2,26.9
02,27.0,27.0,27.0,27.0,26.9,26.9,26.9,26.9,26.7,26.7,26.7,26.7,26.8,26.9,26.9,27.0,27.0,27.0,26.8,26.7,26.7,26.6,26.7,26.7,27.0,26.8,26.6
03,26.7,26.7,26.7,26.8,26.8,26.8,26.7,26.8,26.6,26.5,26.4,26.4,26.4,26.5,26.6,26.7,26.7,26.7,26.6,26.5,26.4,26.3,26.2,26.2,26.8,26.6,26.2
04,26.2,26.3,26.3,26.3,26.4,26.4,26.4,26.4,26.3,26.2,26.1,26.0,26.0,26.0,26.1,26.2,26.3,26.2,26.5,26.6,26.4,26.2,26.0,25.9,26.6,26.2,25.9
05,26.0,26.0,26.1,26.1,26.2,26.3,26.4,26.3,26.4,26.3,26.2,26.0,26.0,26.0,26.0,26.1,26.3,26.1,26.8,26.8,27.0,26.7,26.4,26.2,27.0,26.3,26.0
06,26.0,26.0,26.1,26.1,26.2,26.2,26.4,26.2,26.7,26.6,26.5,26.4,26.3,26.3,26.3,26.4,26.5,26.4,27.4,27.6,27.7,27.6,27.4,27.1,27.7,26.6,26.0
07,26.9,26.7,26.8,26.8,26.8,26.8,26.8,26.8,26.9,26.9,26.8,26.7,26.7,26.6,26.7,26.7,26.7,26.7,27.0,27.4,27.6,27.9,27.8,27.2,27.9,27.0,26.6
08,26.9,26.8,26.8,26.7,26.7,26.7,26.8,26.7,26.9,26.9,27.1,26.9,26.8,26.7,26.7,26.8,26.8,26.8,26.8,26.9,27.1,27.3,27.3,27.1,27.3,26.9,26.7
09,26.9,26.8,26.7,26.6,26.6,26.7,26.7,26.7,26.8,26.8,26.8,26.7,26.7,26.7,26.7,26.7,26.8,26.7,26.8,26.8,26.9,27.1,27.2,27.3,27.3,26.8,26.6
10,27.2,27.2,27.0,26.9,26.8,26.9,26.9,26.9,27.1,27.0,27.1,27.2,27.1,27.0,27.0,27.0,27.0,27.0,27.0,27.1,27.1,27.4,27.6,27.7,27.7,27.1,26.8
11,27.6,27.4,27.2,27.1,27.1,27.1,27.1,27.1,27.3,27.3,27.3,27.3,27.4,27.3,27.3,27.3,27.3,27.3,27.4,27.4,27.4,27.5,27.5,27.7,27.7,27.3,27.1
12,27.7,27.6,27.6,27.4,27.2,27.2,27.2,27.2,27.4,27.4,27.5,27.4,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.6,27.6,27.6,27.7,27.5,27.2
13,27.6,27.6,27.6,27.5,27.4,27.2,27.2,27.2,27.3,27.4,27.4,27.4,27.4,27.5,27.5,27.5,27.5,27.5,27.3,27.4,27.4,27.4,27.5,27.5,27.6,27.4,27.2
14,27.5,27.5,27.4,27.4,27.4,27.3,27.1,27.3,27.2,27.2,27.3,27.3,27.2,27.3,27.3,27.3,27.4,27.3,27.3,27.2,27.2,27.3,27.4,27.4,27.5,27.3,27.1
15,27.4,27.3,27.3,27.2,27.2,27.2,27.2,27.2,27.0,27.1,27.1,27.2,27.1,27.2,27.3,27.3,27.3,27.3,27.3,27.2,27.2,27.3,27.2,27.3,27.4,27.2,27.0
16,27.3,27.3,27.3,27.3,27.3,27.2,27.2,27.2,27.2,27.2,27.2,27.2,27.2,27.2,27.2,27.3,27.3,27.3,27.2,27.2,27.2,27.2,27.2,27.3,27.3,27.2,27.2
17,27.3,27.3,27.3,27.2,27.3,27.2,27.2,27.2,27.0,27.0,27.0,27.0,27.1,27.1,27.1,27.1,27.2,27.1,27.2,27.2,27.1,27.0,27.0,27.1,27.3,27.1,27.0
18,27.1,27.1,27.2,27.2,27.1,27.1,27.1,27.1,27.1,27.1,27.0,26.9,27.0,27.1,27.1,27.1,27.2,27.1,27.2,27.1,27.0,26.9,26.7,26.8,27.2,27.1,26.7
19,26.8,26.8,26.8,26.8,26.9,26.9,26.9,26.9,26.9,26.9,26.9,26.8,26.8,26.8,26.9,27.0,26.9,27.0,27.1,27.1,27.0,26.9,26.8,26.7,27.1,26.9,26.7
20,26.8,26.8,26.8,26.8,26.8,26.8,26.9,26.8,26.8,26.8,26.8,26.8,26.8,26.8,26.8,26.8,26.8,26.8,26.9,27.0,27.1,27.0,27.1,27.0,27.1,26.9,26.8
21,27.0,26.9,26.9,26.9,26.9,27.0,27.0,27.0,27.0,26.9,26.9,26.8,26.8,26.8,26.7,26.7,26.7,26.7,26.9,27.0,27.1,27.1,27.0,27.0,27.1,26.9,26.7
22,26.9,26.8,26.6,26.6,26.6,26.7,26.8,26.7,26.8,26.8,26.8,26.7,26.7,26.6,26.6,26.5,26.5,26.5,26.7,26.7,26.8,27.0,27.0,26.9,27.0,26.7,26.5
23,26.7,26.6,26.6,26.5,26.6,26.6,26.6,26.6,26.7,26.7,26.7,26.7,26.6,26.6,26.5,26.4,26.4,26.4,26.5,26.5,26.5,26.5,26.5,26.4,26.7,26.6,26.4
24,26.4,26.4,26.3,26.1,26.1,26.1,26.2,26.1,26.3,26.3,26.3,26.3,26.2,26.2,26.2,26.1,26.1,26.1,26.1,26.2,26.2,26.3,26.3,26.4,26.4,26.2,26.1
