일,00,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,최대,평균,최소
01,9.7,9.8,9.6,9.8,10.3,10.0,8.0,10.0,8.8,8.2,6.8,8.1,7.5,7.8,8.9,6.9,8.2,6.9,7.3,6.3,5.7,6.3,5.6,4.8,10.3,7.9,4.8
02,4.3,3.5,2.9,2.7,2.6,2.5,3.0,2.5,2.8,3.3,2.6,3.1,3.2,2.7,2.1,2.1,1.5,2.1,3.2,3.2,3.3,2.9,2.8,5.4,5.4,3.0,1.5
03,4.2,5.7,4.4,6.8,6.9,6.3,6.5,6.3,7.3,3.4,3.8,7.2,6.0,5.7,6.6,7.5,7.1,7.5,7.5,7.1,6.8,7.7,7.8,5.6,7.8,6.3,3.4
04,3.9,6.1,6.0,2.8,2.0,2.4,2.4,2.4,2.7,3.0,3.5,3.4,2.8,2.1,2.5,3.0,4.5,3.0,6.0,4.0,3.3,1.5,0.6,1.0,6.1,3.2,0.6
05,1.0,1.4,1.4,1.5,1.3,1.0,1.0,1.0,1.8,1.9,2.0,1.9,1.2,1.0,1.4,1.5,1.4,1.5,2.0,1.8,0.8,0.5,0.8,1.3,2.0,1.4,0.5
06,1.3,1.7,1.7,2.0,1.5,1.6,1.5,1.6,1.8,1.7,1.0,0.9,0.8,1.3,1.9,1.3,1.8,1.3,1.5,2.4,2.6,1.1,0.5,0.6,2.6,1.5,0.5
07,0.4,0.6,0.2,0.2,0.9,1.9,1.8,1.9,0.8,0.4,0.9,0.3,0.8,3.8,5.3,4.9,4.5,4.9,4.0,4.9,6.3,4.8,4.4,2.7,6.3,2.5,0.2
08,0.9,0.6,0.5,0.6,1.4,1.4,1.5,1.4,1.5,1.4,1.5,1.1,1.2,1.6,2.4,2.4,2.2,2.4,2.5,2.3,0.7,0.3,0.6,1.1,2.5,1.4,0.3
09,1.6,1.8,1.7,1.5,1.7,1.1,1.0,1.1,1.2,1.3,2.1,2.6,3.0,2.3,2.4,2.2,1.6,2.2,2.0,1.8,1.8,1.7,1.6,1.7,3.0,1.8,1.0
10,1.5,1.9,2.1,2.3,1.7,1.5,1.7,1.5,1.5,1.3,1.6,2.0,1.6,0.4,1.6,3.2,4.2,3.2,3.8,3.8,3.4,3.0,1.4,0.7,4.2,2.2,0.4
11,0.9,0.2,0.4,0.4,0.5,0.8,0.5,0.8,0.4,1.1,1.2,1.2,1.1,1.2,0.9,1.9,2.4,1.9,3.0,2.5,2.2,1.8,2.7,2.5,3.0,1.4,0.2
12,1.8,0.8,0.6,0.7,0.7,0.7,3.2,0.7,0.9,0.3,2.9,6.6,7.8,7.1,8.8,9.4,9.2,9.4,9.1,8.9,9.3,8.5,9.8,8.6,9.9,5.3,0.3
13,8.1,7.8,7.5,7.5,7.0,5.3,3.1,5.3,2.9,2.9,2.6,2.8,4.9,5.5,5.8,5.9,6.0,5.9,4.6,2.6,1.8,1.7,2.0,2.1,8.1,4.6,1.7
14,2.3,2.5,2.6,2.5,3.1,2.7,2.6,2.7,2.5,3.2,2.9,2.9,3.1,3.8,3.2,3.3,3.2,3.3,3.3,3.0,3.2,3.0,2.5,2.8,3.8,2.9,2.3
15,2.3,2.6,2.9,2.8,2.9,3.0,3.0,3.0,3.0,2.5,2.8,2.4,2.6,2.8,1.3,0.2,0.3,0.2,0.7,0.6,0.8,0.8,0.9,1.4,3.0,1.9,0.2
16,0.6,0.7,0.6,0.6,0.6,0.7,1.1,0.7,1.0,1.3,1.7,0.8,0.5,1.6,3.0,3.4,2.9,3.4,1.2,3.2,3.6,5.3,5.5,8.6,8.6,2.2,0.5
17,9.6,9.2,12.0,12.3,11.8,12.1,10.5,12.1,10.0,11.1,11.8,10.7,9.3,8.9,10.5,11.6,13.9,11.6,11.5,9.4,9.0,9.5,10.6,10.0,13.9,10.8,8.9
18,8.9,7.2,6.8,7.3,5.2,3.9,4.0,3.9,3.9,3.8,4.3,4.4,3.7,3.9,4.0,2.9,3.3,2.9,3.5,3.2,1.6,4.5,9.1,7.9,9.1,4.8,1.6
19,10.4,11.8,11.1,13.1,9.2,8.7,6.1,8.7,6.1,5.4,3.6,1.5,0.8,1.9,3.8,5.0,5.2,5.0,2.7,2.2,2.1,1.6,2.0,2.3,13.1,5.3,0.8
20,2.2,2.6,2.7,2.7,2.8,3.0,2.3,3.0,3.2,2.6,3.0,2.8,2.6,3.7,3.0,2.4,3.1,2.4,2.0,2.7,2.3,2.3,2.4,2.3,3.7,2.7,2.0
21,2.6,2.4,2.2,1.7,1.8,1.6,2.2,1.6,2.0,1.8,1.6,2.2,2.2,3.5,3.4,3.6,4.2,3.6,4.5,4.2,4.4,4.5,3.0,2.7,5.5,2.9,1.6
22,2.6,4.2,5.9,4.1,2.7,1.6,2.1,1.6,1.7,2.4,2.4,1.5,0.8,2.3,2.6,2.9,3.6,2.9,2.6,3.1,2.2,0.7,1.1,0.5,5.9,2.4,0.5
23,0.6,0.9,1.4,1.9,1.8,1.8,1.2,1.8,1.2,1.1,1.4,2.1,1.5,0.9,0.5,0.6,1.3,0.6,2.3,2.8,1.9,2.7,2.4,1.3,2.8,1.5,0.5
24,1.2,1.0,1.1,2.0,2.6,2.0,1.7,2.0,1.0,1.1,0.5,0.2,1.6,8.0,6.8,8.1,7.7,8.1,8.5,10.1,9.4,9.4,8.5,8.8,10.1,4.6,0.2
25,8.6,8.3,8.8,9.6,9.0,8.9,8.9,8.9,9.9,9.3,9.0,8.9,9.2,8.5,7.8,7.9,8.5,7.9,9.3,10.5,11.6,,,,11.6,9.1,7.8
26,,,,,,,,,8.5,7.8,7.2,7.0,5.9,6.4,6.1,6.1,6.2,6.1,7.7,7.3,5.8,4.8,3.0,2.6,8.5,6.2,2.6
27,2.6,2.8,3.7,3.7,3.6,4.0,3.6,4.0,3.5,3.4,3.4,3.7,2.7,1.5,2.3,2.5,2.5,2.5,3.0,6.5,5.4,5.6,6.6,5.2,6.6,3.7,1.5
28,4.3,4.3,2.2,1.8,1.9,1.8,2.0,1.8,2.1,1.6,1.5,1.3,1.7,2.2,2.1,2.6,2.8,2.6,0.6,1.0,1.5,2.3,1.8,1.7,4.3,2.0,0.6
29,1.8,1.8,2.2,2.9,2.4,2.1,2.1,2.1,1.6,2.2,2.3,2.8,2.4,4.2,5.5,5.8,5.8,5.8,5.5,8.7,9.1,8.7,9.0,9.4,9.4,4.4,1.6
30,9.3,8.8,8.7,8.6,10.0,8.9,8.2,8.9,6.2,5.0,3.2,1.1,2.2,1.3,1.2,2.7,9.1,2.7,6.5,6.6,6.5,8.8,7.2,8.3,10.0,6.5,1.1
31,7.8,7.7,7.4,7.2,6.8,7.8,7.2,7.8,6.8,6.3,5.9,5.9,5.6,6.4,6.7,7.1,7.0,7.1,6.2,5.3,5.4,4.2,3.5,3.8,7.8,6.3,3.5
TOTAL,3.9,4.0,4.0,4.1,3.9,3.7,3.5,3.7,3.5,3.3,3.3,3.3,3.2,3.7,4.0,4.2,4.7,4.2,4.4,4.6,4.3,4.0,4.0,3.9,6.7,3.9,1.7
