일,00,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,최대,평균,최소
01,2.6,2.1,3.0,2.3,4.3,6.7,6.2,6.7,5.2,6.4,7.6,5.5,1.9,2.5,3.4,6.3,5.8,6.3,5.5,5.0,5.3,6.0,5.3,5.3,7.6,4.8,1.9
02,5.6,5.5,5.0,4.6,4.2,3.9,3.7,3.9,3.1,3.6,3.7,4.0,5.8,5.7,4.8,5.3,4.6,5.3,4.2,2.5,2.7,2.6,2.0,0.6,5.8,4.0,0.6
03,0.9,0.6,1.1,0.8,1.9,2.2,1.0,2.2,1.5,3.2,1.5,1.5,1.4,1.0,0.6,0.8,0.7,0.8,1.2,1.6,1.8,2.3,2.1,2.0,3.2,1.4,0.6
04,1.9,2.1,1.9,1.6,1.4,1.7,1.5,1.7,1.8,1.6,1.7,2.1,1.9,3.1,2.4,1.4,1.5,1.4,0.6,0.3,0.4,0.9,1.4,2.3,3.1,1.6,0.3
05,2.6,2.6,2.7,2.8,2.7,2.3,2.0,2.3,2.1,1.1,2.3,1.1,1.4,3.9,4.4,4.8,4.2,4.8,3.4,2.6,3.7,5.4,4.9,5.1,5.4,3.1,1.1
06,4.9,3.2,2.1,1.5,3.2,3.4,3.2,3.4,2.9,3.7,3.6,5.4,6.3,6.4,6.3,5.8,6.6,5.8,4.5,2.6,3.0,4.3,2.8,2.7,6.6,4.0,1.5
07,2.9,2.2,1.8,1.8,1.6,1.4,1.3,1.4,1.5,2.8,2.3,1.1,1.9,1.8,2.4,3.0,3.1,3.0,4.1,3.1,4.0,3.6,2.7,3.3,4.1,2.4,1.1
08,4.0,3.6,2.4,2.1,2.5,2.2,2.4,2.2,2.0,1.5,0.8,0.5,0.8,2.0,4.5,4.6,4.2,4.6,3.8,4.5,3.7,2.4,1.6,1.4,4.6,2.7,0.5
09,1.7,1.7,0.5,0.7,1.0,1.0,1.3,1.0,0.8,0.2,0.4,1.4,2.2,0.8,1.9,3.7,3.9,3.7,1.9,1.0,1.1,2.4,1.3,0.8,3.9,1.5,0.2
10,0.7,0.6,0.4,0.5,0.3,0.5,0.5,0.5,0.3,0.5,0.8,1.0,1.8,3.0,1.4,2.7,3.7,2.7,3.0,2.5,3.6,1.7,0.7,0.5,3.7,1.4,0.3
