일,00,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,최대,평균,최소
01,22.6,22.4,21.9,21.3,20.8,20.7,20.5,20.7,21.7,21.9,23.5,25.3,26.8,27.8,27.0,27.1,27.0,27.1,24.9,24.2,23.9,23.2,22.7,22.9,27.8,23.6,20.5
02,23.0,22.9,22.3,21.8,21.3,21.0,20.8,21.0,21.9,23.1,24.1,24.8,26.1,27.5,27.6,27.8,25.8,27.8,24.6,24.1,23.9,23.7,23.5,23.1,27.8,23.8,20.8
03,22.9,22.8,22.5,22.0,21.8,21.7,21.6,21.7,21.7,22.4,23.5,24.5,24.4,24.0,24.2,24.6,24.7,24.6,24.4,24.2,24.0,23.9,23.7,24.0,24.7,23.3,21.6
04,24.3,24.3,24.4,24.4,24.3,24.2,24.3,24.2,25.6,26.6,26.8,27.4,27.9,27.9,27.6,27.7,27.7,27.7,26.3,25.7,25.1,25.0,24.8,24.6,27.9,25.8,24.2
05,24.1,23.7,23.1,22.8,22.6,22.7,22.3,22.7,24.2,25.0,26.1,26.8,27.2,27.5,27.6,27.5,27.0,27.5,25.7,25.0,24.6,24.4,24.2,24.1,27.6,24.9,22.3
06,23.7,23.4,23.1,22.8,22.7,22.4,22.1,22.4,22.4,22.9,23.9,25.7,24.7,24.8,24.8,25.7,25.0,25.7,24.3,23.9,23.6,23.6,23.5,23.2,25.7,23.7,22.1
07,22.8,22.6,22.5,22.3,22.3,22.1,22.0,22.1,22.3,23.2,24.7,24.5,24.6,26.4,26.4,25.0,25.0,25.0,24.8,24.4,24.1,23.8,23.8,24.0,26.4,23.8,21.8
08,23.7,23.5,23.3,22.8,22.7,22.5,22.7,22.5,23.2,23.3,23.9,24.5,25.5,25.4,24.9,25.0,25.0,25.0,24.8,24.6,24.4,24.4,24.3,23.9,25.5,24.0,22.5
09,23.7,23.3,23.3,22.9,22.9,22.7,22.7,22.7,23.4,23.8,24.4,24.9,25.8,27.5,30.0,26.5,26.4,26.5,25.4,24.8,24.7,24.5,24.0,23.8,30.0,24.6,22.7
10,23.7,23.5,23.3,23.0,22.8,22.5,22.4,22.5,23.0,23.6,24.1,24.7,24.9,24.9,25.2,25.2,25.1,25.2,24.7,24.4,23.8,24.0,24.2,23.5,25.2,23.9,22.4
11,22.9,22.9,22.8,23.4,23.7,23.5,22.8,23.5,22.1,22.1,22.6,22.5,22.1,21.6,20.6,19.8,19.5,19.8,19.0,19.1,19.8,19.7,19.8,19.8,23.7,21.4,19.0
12,19.7,19.8,19.8,19.8,19.8,19.8,19.9,19.8,19.7,19.6,19.4,19.5,19.5,19.4,19.4,19.5,19.6,19.5,19.2,19.2,19.1,19.3,19.4,19.5,19.9,19.5,19.1
13,19.4,19.2,19.2,19.1,19.0,19.0,19.1,19.0,19.5,20.1,20.4,20.8,21.4,22.1,22.9,23.3,23.3,23.3,22.2,21.9,21.6,21.5,21.5,21.4,23.3,20.8,19.0
14,21.1,21.1,21.1,21.1,20.9,20.7,20.4,20.7,20.7,21.7,23.0,23.7,23.4,23.4,24.2,24.7,24.5,24.7,23.5,23.5,24.1,23.8,23.2,22.7,24.7,22.5,20.3
15,22.0,21.5,21.5,21.1,20.6,20.0,19.6,20.0,20.3,20.9,21.9,22.7,23.9,24.5,25.6,24.6,24.0,24.6,23.3,23.1,23.0,22.8,22.6,22.0,25.6,22.3,19.6
16,20.4,19.7,19.4,19.0,18.6,18.2,17.6,18.2,16.9,16.3,16.5,16.7,16.6,17.0,17.8,17.9,17.2,17.9,15.9,14.9,13.9,13.1,12.4,11.6,20.4,16.7,11.6
17,11.1,10.5,9.6,8.9,8.4,8.4,7.9,8.4,7.8,8.8,9.5,10.2,11.4,12.7,13.9,14.9,16.3,14.9,13.8,12.8,12.9,12.6,12.5,12.1,16.3,11.3,7.6
18,11.5,10.9,10.6,10.3,9.9,9.8,9.6,9.8,10.3,10.9,12.3,13.6,14.9,16.1,17.9,17.9,17.7,17.9,16.1,15.8,15.4,15.2,15.3,15.6,17.9,13.5,9.6
19,14.9,14.5,14.2,13.9,13.7,13.6,13.6,13.6,14.6,15.8,15.9,17.6,18.1,18.5,18.8,18.3,17.3,18.3,16.4,16.0,15.4,14.7,14.1,13.4,18.8,15.6,13.4
20,12.9,12.4,12.1,11.5,11.4,11.2,11.0,11.2,11.5,12.1,12.8,13.8,15.0,15.8,15.8,16.4,15.7,16.4,14.8,14.6,14.4,14.3,14.3,14.0,16.4,13.5,11.0
21,13.9,13.9,13.8,13.8,13.6,13.3,13.1,13.3,13.1,13.5,14.3,15.2,16.2,16.8,17.4,18.6,18.1,18.6,17.1,16.4,15.3,15.1,14.6,14.3,18.6,15.1,13.1
22,13.8,13.7,13.5,13.2,13.2,12.6,12.4,12.6,13.2,14.1,15.1,16.0,16.5,16.6,17.0,17.3,17.3,17.3,16.3,16.0,15.6,15.3,15.3,15.5,17.3,15.0,12.4
23,14.8,14.4,14.1,13.9,14.0,13.8,13.6,13.8,14.2,15.2,16.0,16.8,17.6,18.5,18.9,19.2,19.6,19.2,17.8,17.2,16.5,16.0,15.9,15.5,19.6,16.1,13.6
24,15.2,15.0,14.5,14.3,14.1,14.1,14.1,14.1,14.4,14.3,14.9,16.3,17.4,18.4,19.6,19.5,18.8,19.5,17.8,17.3,16.9,16.8,16.5,16.4,19.6,16.2,14.1
25,16.3,15.8,15.8,15.8,15.3,14.9,14.7,14.9,14.5,15.3,16.5,17.7,18.4,19.4,19.8,19.9,20.3,19.9,18.1,17.4,17.0,16.6,16.2,16.0,20.3,16.9,14.4
26,16.1,15.4,14.9,14.8,14.5,14.3,13.8,14.3,14.0,14.5,15.4,16.2,17.0,17.8,18.8,21.0,21.3,21.0,17.6,16.9,16.6,16.6,16.8,16.3,21.3,16.4,13.8
27,16.1,15.7,15.4,15.3,15.2,14.8,14.8,14.8,15.5,16.6,17.5,19.0,19.7,21.0,20.9,21.2,21.0,21.2,19.8,19.1,18.2,17.1,16.3,15.5,21.2,17.5,14.8
28,15.0,14.6,14.2,13.8,13.5,13.2,13.3,13.2,13.5,14.2,15.5,16.6,17.6,18.7,19.8,22.7,20.8,22.7,18.1,17.7,17.4,17.7,18.0,17.3,22.7,16.5,13.1
29,16.8,16.7,16.6,16.4,16.1,16.1,16.0,16.1,16.1,16.4,16.8,17.5,17.9,18.4,19.0,19.3,19.4,19.3,18.6,18.2,17.9,17.5,16.8,16.2,19.4,17.3,16.0
30,15.9,15.7,15.5,15.5,15.4,15.6,15.3,15.6,15.0,15.4,16.1,16.6,17.3,17.7,18.0,18.3,18.5,18.3,18.3,18.2,17.6,17.2,16.7,16.4,18.5,16.7,15.0
31,16.1,15.9,15.8,15.0,15.0,14.8,14.6,14.8,14.8,15.3,16.4,17.3,18.4,19.4,20.9,22.1,19.9,22.1,18.4,17.9,17.4,17.2,17.1,16.6,22.1,17.1,14.4
