일,00,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,최대,평균,최소
01,7.1,7.1,7.1,7.1,7.2,7.2,7.4,7.2,7.3,7.2,7.2,7.2,7.2,7.2,7.2,7.3,7.3,7.3,7.3,7.3,7.3,7.3,7.2,7.2,7.4,7.2,7.1
02,7.2,7.2,7.1,7.1,6.9,6.8,6.5,6.8,6.6,6.7,6.8,6.8,6.9,7.0,7.0,7.0,7.1,7.0,6.9,6.8,6.7,6.7,6.7,6.7,7.2,6.9,6.5
03,6.7,6.7,6.7,6.7,6.7,6.6,6.5,6.6,6.4,6.5,6.6,6.7,6.7,6.7,6.9,7.0,7.0,7.0,6.9,6.8,6.7,6.7,6.7,6.7,7.0,6.7,6.4
04,6.7,6.7,6.7,6.7,6.7,6.6,6.6,6.6,6.5,6.5,6.5,6.6,6.7,6.7,6.8,6.9,6.9,6.9,6.9,6.8,6.8,6.7,6.7,6.7,6.9,6.7,6.5
05,6.7,6.7,6.8,6.8,6.7,6.7,6.6,6.7,6.5,6.5,6.5,6.5,6.6,6.7,6.8,6.8,6.8,6.8,6.8,6.7,6.7,6.7,6.7,6.6,6.8,6.7,6.5
06,6.6,6.6,6.6,6.7,6.7,6.8,6.7,6.8,6.6,6.6,6.6,6.6,6.8,7.0,7.1,7.2,7.2,7.2,7.1,7.1,7.1,7.1,7.1,7.1,7.2,6.9,6.6
07,7.1,7.1,7.1,7.1,7.1,7.1,7.0,7.1,7.0,7.0,6.9,7.0,7.1,7.3,7.3,7.5,7.5,7.5,7.5,7.5,7.5,7.4,7.4,7.3,7.5,7.2,6.9
08,7.3,7.2,7.2,7.1,7.1,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.1,7.2,7.3,7.3,7.4,7.3,7.3,7.3,7.2,7.1,7.0,6.9,7.4,7.1,6.9
09,6.7,6.6,6.6,6.6,6.6,6.6,6.7,6.6,6.8,6.8,6.8,6.8,6.9,7.0,7.2,7.3,7.2,7.3,7.0,7.0,7.0,7.0,7.0,6.9,7.3,6.9,6.6
10,6.8,6.7,6.7,6.7,6.7,6.7,6.8,6.7,6.8,7.0,7.0,7.0,7.0,7.2,7.5,7.8,7.7,7.8,7.6,7.5,7.4,7.4,7.4,7.3,7.8,7.1,6.7
11,7.3,7.2,7.2,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.2,7.3,7.4,7.5,7.4,7.3,7.3,7.2,7.2,7.3,7.2,7.5,7.2,7.1
12,7.3,7.2,7.2,7.1,7.1,7.1,7.1,7.1,7.1,7.2,7.2,7.2,7.2,7.3,7.5,7.8,8.0,7.8,7.6,7.4,7.4,7.4,7.4,7.4,8.0,7.3,7.1
13,7.4,7.4,7.4,7.3,7.3,7.2,7.3,7.2,7.2,7.3,7.3,7.3,7.4,7.5,7.8,7.9,8.0,7.9,7.9,7.7,7.6,7.5,7.6,7.6,8.0,7.5,7.2
14,7.6,7.6,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.6,7.6,7.6,7.8,7.9,7.8,7.9,7.8,7.7,7.7,7.7,7.7,7.9,7.6,7.5
15,7.7,,,,,,,,,,7.7,7.8,7.8,7.8,7.9,8.0,8.0,8.0,7.9,7.7,7.6,7.5,7.5,7.4,8.0,7.8,7.4
16,7.5,7.5,7.5,7.4,7.3,7.3,7.2,7.3,7.2,7.3,7.4,7.6,7.6,7.6,7.7,7.8,7.8,7.8,7.6,7.6,7.5,7.5,7.5,7.4,7.8,7.5,7.2
17,7.4,7.4,7.4,7.3,7.2,7.1,6.9,7.1,6.9,7.0,7.1,7.2,7.3,7.4,7.4,7.4,7.4,7.4,7.2,7.1,7.0,7.0,7.0,7.0,7.4,7.2,6.9
18,7.0,7.0,6.9,6.9,6.9,6.9,6.8,6.9,6.7,6.7,6.8,6.9,7.0,7.0,7.0,7.1,7.1,7.1,7.0,6.9,6.9,6.9,6.8,6.8,7.1,6.9,6.7
19,6.8,6.8,6.8,6.7,6.7,6.7,6.7,6.7,6.6,6.6,6.7,6.8,7.0,7.1,7.2,7.3,7.4,7.3,7.4,7.3,7.3,7.2,7.2,7.2,7.4,7.0,6.6
20,7.1,7.1,7.1,7.1,7.1,7.0,7.0,7.0,6.9,6.9,6.9,7.2,7.3,7.3,7.4,7.5,7.7,7.5,7.6,7.6,7.6,7.6,7.5,7.5,7.7,7.3,6.9
21,7.4,7.4,7.3,7.3,7.3,7.3,7.3,7.3,7.3,7.3,7.3,7.5,7.6,7.7,7.8,,,,,,,,,,7.8,7.4,7.3
22,,,,,,,,,,,7.7,7.9,8.2,8.3,8.5,8.6,8.6,8.6,8.5,8.5,8.4,8.4,8.3,8.3,8.6,8.3,7.7
23,8.2,8.2,8.2,8.1,8.1,8.1,8.0,8.1,8.0,7.8,7.8,7.9,7.9,8.1,8.0,8.1,8.2,8.1,8.1,8.1,8.1,8.1,8.0,8.0,8.2,8.1,7.8
24,7.9,7.8,7.8,7.9,7.9,7.8,7.8,7.8,7.7,7.7,7.7,7.7,7.8,7.8,7.8,7.9,7.9,7.9,7.9,7.9,7.9,7.9,7.9,7.8,7.9,7.8,7.7
25,7.8,7.8,7.8,7.8,7.8,7.8,7.9,7.8,7.9,7.9,7.9,7.9,7.9,7.9,7.9,8.0,8.0,8.0,7.9,7.9,7.9,7.9,7.9,7.9,8.0,7.9,7.8
26,7.9,7.9,7.8,7.8,7.8,7.9,7.9,7.9,7.8,7.9,7.9,8.0,8.0,8.1,8.2,8.4,8.3,8.4,8.2,8.2,8.1,8.1,8.1,8.1,8.4,8.0,7.8
27,8.0,8.0,7.9,7.8,7.8,7.9,7.9,7.9,8.0,8.0,8.0,8.0,8.0,8.2,8.3,8.5,8.7,8.5,8.3,8.1,8.1,8.1,8.1,8.1,8.7,8.1,7.8
28,8.1,8.0,7.9,7.8,7.7,7.8,7.8,7.8,8.0,8.0,8.0,8.0,8.0,8.1,8.1,8.1,8.2,8.1,8.1,8.1,8.1,8.1,8.1,8.1,8.2,8.0,7.7
TOTAL,7.3,7.3,7.2,7.2,7.2,7.2,7.2,7.2,7.1,7.1,7.2,7.3,7.3,7.4,7.5,7.6,7.7,7.6,7.5,7.5,7.4,7.4,7.4,7.4,7.7,7.4,7.1
