일,00,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,최대,평균,최소
01,2.8,1.9,2.2,8.3,8.4,10.6,10.4,10.6,6.5,7.5,5.3,5.6,5.7,2.8,2.3,2.7,5.2,2.7,5.6,6.9,6.8,8.8,6.1,5.9,10.6,5.8,1.9
02,7.1,6.5,4.8,3.6,4.9,4.9,4.6,4.9,3.6,3.5,3.3,2.9,3.6,4.6,4.4,4.4,4.8,4.4,4.7,4.8,5.6,5.6,6.0,6.8,7.1,4.8,2.9
03,5.5,5.6,4.7,4.7,4.7,4.8,4.2,4.8,3.0,1.7,1.5,1.4,1.9,2.3,2.4,1.7,1.3,1.7,1.0,1.3,1.7,1.7,1.9,1.8,5.6,2.7,1.0
04,3.8,6.8,6.4,6.4,8.9,8.5,7.9,8.5,5.3,4.5,3.6,3.1,3.8,4.4,4.5,4.5,4.7,4.5,2.7,2.3,2.2,1.6,1.5,2.0,8.9,4.5,1.5
05,1.3,1.3,1.6,1.2,1.4,1.4,1.2,1.4,0.7,0.7,1.8,2.2,1.6,1.6,1.1,0.9,1.3,0.9,0.9,0.7,0.6,2.0,3.8,2.5,3.8,1.4,0.6
06,0.9,1.1,2.5,3.2,3.6,3.6,3.5,3.6,3.0,2.4,3.6,4.9,5.5,6.3,7.8,8.3,9.1,8.3,7.2,6.6,7.8,9.9,9.9,9.4,9.9,5.5,0.9
07,10.0,8.0,7.4,6.4,5.1,5.0,4.6,5.0,3.7,4.1,4.4,2.8,2.7,2.6,2.7,2.4,2.1,2.4,2.5,2.5,3.9,4.1,3.5,3.5,10.0,4.2,1.9
08,3.1,3.8,3.8,3.6,4.2,4.2,4.3,4.2,4.1,4.5,3.8,4.1,3.3,3.5,3.9,3.8,4.2,3.8,5.3,5.5,4.4,3.7,3.4,2.8,5.5,4.0,2.8
09,3.8,4.2,3.8,3.1,3.2,3.4,2.9,3.4,2.5,2.2,1.7,2.1,2.0,1.9,1.8,1.7,2.1,1.7,2.3,1.8,2.4,2.9,2.9,2.4,4.2,2.6,1.7
10,3.0,2.7,2.2,1.0,1.4,1.0,0.6,1.0,0.8,0.8,1.0,1.3,1.7,1.4,1.9,2.3,2.8,2.3,2.2,2.0,1.7,1.2,1.4,1.4,3.0,1.6,0.6
11,0.8,0.9,1.5,1.8,1.3,1.1,1.0,1.1,0.7,0.8,2.1,3.2,3.5,4.3,4.5,4.6,4.7,4.6,2.7,1.4,1.6,1.0,0.9,1.3,5.1,2.2,0.7
12,0.7,0.9,0.9,0.9,1.2,1.8,1.3,1.8,1.1,1.0,1.7,2.6,2.3,2.6,1.9,2.0,2.7,2.0,1.8,0.7,0.5,0.4,0.3,0.3,2.7,1.4,0.3
13,0.5,0.4,0.4,0.9,0.4,0.4,0.4,0.4,0.7,0.9,1.5,2.9,3.8,4.1,3.1,2.6,3.6,2.6,3.6,2.1,1.3,0.8,1.7,1.8,4.4,1.8,0.4
14,1.3,0.6,0.3,0.3,1.1,0.7,0.7,0.7,1.0,0.4,0.6,0.7,1.5,2.5,2.9,2.8,2.0,2.8,0.6,1.3,0.4,0.3,1.2,3.3,3.3,1.2,0.3
15,1.1,3.2,5.0,6.5,8.3,8.2,6.5,8.2,6.1,6.5,10.2,11.1,10.9,11.1,9.2,7.5,6.8,7.5,7.7,7.7,8.1,8.4,9.5,8.6,11.1,7.6,1.1
16,6.7,6.0,5.7,5.7,5.2,4.0,3.5,4.0,1.5,1.2,1.7,2.2,4.2,8.1,8.9,11.2,12.8,11.2,13.8,10.9,8.8,9.8,9.0,7.7,13.8,6.8,1.2
17,8.1,8.1,8.1,8.7,8.6,9.9,9.2,9.9,9.7,10.9,10.2,9.5,9.0,8.4,8.3,10.5,9.8,10.5,11.2,9.4,9.9,10.1,9.0,9.1,11.2,9.4,8.1
18,8.8,9.7,8.3,8.3,8.2,9.3,8.4,9.3,8.5,8.3,9.5,8.6,8.9,7.1,6.9,7.0,6.8,7.0,8.5,6.8,6.3,5.9,5.3,5.7,9.7,7.9,5.3
19,5.5,5.6,5.8,6.2,5.7,4.3,4.2,4.3,3.4,4.4,5.5,6.4,6.3,7.1,9.0,9.3,9.9,9.3,8.1,7.0,5.8,6.5,6.5,8.0,9.9,6.4,3.4
20,10.3,9.9,10.0,11.0,11.4,12.3,10.1,12.3,10.1,7.9,7.9,7.8,9.5,9.9,11.4,12.1,10.5,12.1,9.7,9.2,6.4,3.8,2.3,2.1,12.3,9.0,2.1
21,2.2,3.2,3.4,3.0,2.6,2.4,2.3,2.4,2.2,3.3,4.6,7.7,10.9,10.9,10.9,10.8,10.3,10.8,14.8,13.8,9.5,10.3,9.9,10.3,14.8,7.3,2.2
22,10.7,10.5,9.6,5.7,2.2,0.6,4.5,0.6,5.6,6.1,9.4,10.8,10.7,10.2,10.5,6.2,5.7,6.2,6.9,6.0,4.6,3.2,3.0,3.6,10.8,6.7,0.6
23,3.5,4.0,4.0,3.8,3.7,2.5,2.5,2.5,2.0,1.5,2.5,2.6,2.5,3.0,3.2,3.6,4.2,3.6,2.6,2.1,1.9,2.2,2.2,1.8,4.2,2.8,1.5
24,2.1,1.3,1.6,1.9,2.1,1.8,1.9,1.8,1.0,1.4,2.7,3.5,4.7,5.1,6.1,5.6,6.1,5.6,4.9,3.0,3.1,3.4,2.5,2.5,6.5,3.2,1.0
25,2.9,3.1,2.2,2.5,3.1,2.8,3.3,2.8,3.9,4.2,6.7,7.3,7.8,8.2,10.0,9.3,8.5,9.3,8.5,10.1,10.6,9.8,9.7,9.5,10.6,6.5,2.2
26,10.6,11.1,10.6,10.2,9.6,10.7,10.9,10.7,11.9,11.8,11.8,12.2,12.3,12.7,12.6,12.9,13.1,12.9,13.3,12.6,11.7,11.0,12.1,12.0,13.6,11.8,9.6
27,12.1,12.3,13.5,14.0,13.8,13.2,13.3,13.2,12.1,10.7,11.6,12.8,12.7,12.7,13.3,11.7,11.5,11.7,9.9,9.8,9.1,8.8,8.1,8.3,14.0,11.6,8.1
28,8.7,7.5,6.7,5.5,7.3,7.0,6.2,7.0,5.6,5.6,6.9,6.5,6.5,6.2,6.4,,,,,,,,,,8.7,6.5,5.5
TOTAL,4.9,5.0,4.9,4.9,5.0,5.0,4.8,5.0,4.3,4.2,4.9,5.3,5.7,5.9,6.1,6.0,6.2,6.0,6.0,5.5,5.1,5.1,4.9,5.0,8.4,5.2,2.5
