일,000102030405060708091011121314151617181920212223,최대,평균,최소
01,22.122.122.021.921.921.921.821.921.921.922.022.022.122.122.021.921.821.921.921.921.921.921.922.0,22.1,21.9,21.8
02,22.022.022.022.022.022.022.022.022.022.022.122.122.122.222.122.021.922.022.021.921.922.022.022.0,22.2,22.0,21.9
03,21.922.022.022.021.921.921.921.921.921.921.922.022.022.022.122.022.022.022.022.022.022.022.022.0,22.1,22.0,21.9
04,22.022.022.022.022.022.022.022.022.022.022.022.022.022.122.122.322.322.322.122.022.022.021.921.8,22.3,22.0,21.8
05,21.821.921.921.921.921.921.821.921.821.821.821.821.821.821.821.922.021.922.021.821.721.721.721.6,22.0,21.8,21.6
06,21.621.621.621.621.721.721.821.721.621.621.621.521.521.621.621.621.621.621.922.022.021.721.521.5,22.0,21.7,21.5
07,21.521.521.521.521.521.421.421.421.521.321.321.421.421.321.321.321.321.321.421.421.321.321.321.2,21.5,21.4,21.2
08,21.221.121.021.121.221.121.121.121.221.020.920.920.920.920.820.820.920.821.021.021.021.121.021.0,21.2,21.0,20.8
09,20.920.920.820.820.920.920.920.920.920.920.920.820.820.720.720.720.720.720.820.820.820.820.620.5,20.9,20.8,20.5
10,20.520.520.320.320.220.320.520.320.020.019.719.519.619.719.819.719.819.719.819.719.619.519.318.8,20.5,19.9,18.8
11,18.718.719.119.019.019.019.019.018.818.818.518.218.318.418.718.818.818.818.818.718.718.618.618.6,19.1,18.7,18.2
12,18.618.718.718.818.818.718.818.718.718.618.518.518.518.618.618.718.718.718.818.718.718.718.718.7,18.8,18.7,18.5
13,18.718.718.718.818.818.818.818.818.718.718.718.718.718.718.718.718.818.718.818.818.818.818.818.8,18.8,18.8,18.7
14,18.818.818.818.818.818.918.918.918.818.818.818.918.918.818.818.818.818.818.918.918.918.918.918.9,18.9,18.8,18.8
15,18.918.918.918.918.918.918.918.918.918.919.018.918.918.918.918.918.918.919.019.019.018.918.919.0,19.0,18.9,18.9
16,19.019.019.019.019.019.019.019.019.019.019.019.019.019.119.119.119.019.119.019.119.119.119.119.0,19.1,19.0,19.0
17,19.119.119.119.119.019.019.019.018.918.818.718.718.718.718.718.718.818.718.718.718.718.718.718.6,19.1,18.8,18.6
18,18.518.418.418.518.618.618.618.618.518.418.218.118.018.018.118.018.118.018.418.418.418.418.418.4,18.6,18.3,18.0
19,18.318.318.318.318.318.318.318.318.318.318.218.218.118.118.318.218.318.218.218.318.218.218.218.2,18.3,18.2,18.1
20,18.118.218.118.118.218.218.218.218.218.218.118.118.018.118.218.218.218.218.218.118.118.118.118.0,18.2,18.1,18.0
21,17.918.018.018.018.018.118.218.118.118.017.917.917.917.917.917.917.917.918.218.218.017.917.917.9,18.3,18.0,17.9
22,17.917.817.917.917.918.018.018.018.118.017.817.817.817.917.817.817.917.818.018.018.118.118.118.0,18.1,17.9,17.8
23,18.018.017.918.018.018.118.118.118.218.017.917.817.817.817.817.917.917.917.918.018.118.017.817.8,18.2,18.0,17.8
24,17.817.717.717.717.817.817.817.817.817.817.517.517.517.417.417.417.517.417.517.517.517.617.417.2,17.8,17.6,17.2
25,17.117.117.017.017.117.217.117.217.217.417.216.916.816.916.916.916.916.917.017.017.017.117.016.8,17.4,17.0,16.8
26,16.816.716.816.816.816.916.816.916.716.716.716.616.616.616.616.716.716.716.616.616.716.716.716.7,16.9,16.7,16.6
27,16.716.716.716.616.616.716.716.716.716.716.816.816.616.516.516.616.616.616.716.716.616.716.816.7,16.8,16.7,16.5
28,16.716.716.616.616.616.616.716.616.716.716.716.816.616.616.616.616.616.616.716.716.716.716.716.8,16.8,16.7,16.6
29,16.816.616.516.516.616.616.616.616.616.616.716.816.716.616.616.616.616.616.616.716.716.716.716.7,16.8,16.6,16.5
30,16.816.716.616.516.616.616.616.616.716.616.716.716.716.716.716.716.716.716.716.716.716.816.716.7,16.8,16.7,16.5
31,16.816.716.716.716.616.616.616.616.616.616.616.716.716.716.716.716.716.716.616.616.616.716.716.7,16.8,16.7,16.6
TOTAL,19.119.119.119.119.119.119.119.119.119.019.019.018.918.919.019.019.019.019.019.019.019.019.018.9,19.2,19.0,18.8
