일,000102030405060708091011121314151617181920212223,최대,평균,최소
01,2.82.52.61.71.82.42.52.44.03.43.03.02.25.64.32.84.32.83.84.12.92.10.90.5,5.6,3.0,0.5
02,0.40.91.30.91.00.50.80.51.82.22.73.23.44.94.54.54.44.54.53.44.02.92.62.8,4.9,2.7,0.4
03,3.43.32.72.02.21.11.01.12.01.71.91.93.13.84.34.54.04.53.02.01.50.71.80.3,4.5,2.4,0.3
04,0.71.01.31.51.51.41.41.41.92.32.13.13.84.74.84.94.24.93.43.33.32.81.92.3,4.9,2.7,0.7
05,2.22.01.31.82.00.91.60.92.51.62.32.73.53.23.23.23.23.22.51.91.51.31.60.9,3.5,2.1,0.9
06,0.91.01.91.61.61.42.21.43.43.74.13.53.54.14.14.74.34.72.41.73.34.84.63.9,4.8,3.0,0.9
07,3.53.13.03.13.33.33.93.34.44.85.05.25.06.05.34.05.04.04.64.23.53.54.63.0,6.0,4.2,3.0
08,3.73.33.32.83.74.02.74.02.31.72.12.63.54.83.64.34.34.33.24.04.42.93.73.2,4.8,3.3,1.7
09,4.54.74.13.92.73.42.53.43.23.53.83.84.24.15.15.44.25.43.14.04.64.53.72.7,5.4,3.8,2.5
10,1.91.31.22.52.21.60.91.61.41.92.02.03.74.94.14.83.04.83.34.13.83.72.51.3,4.9,2.6,0.9
11,1.50.90.82.11.81.72.81.71.52.33.02.22.01.31.81.31.91.31.91.91.41.72.11.2,3.0,1.8,0.8
12,0.51.10.90.21.31.21.71.23.12.62.31.71.21.61.91.91.51.91.11.50.70.71.21.7,3.1,1.5,0.2
13,2.02.71.92.43.73.13.33.14.24.33.14.26.05.14.95.14.25.15.44.64.54.84.34.4,6.0,4.0,1.9
14,4.44.54.14.64.64.94.74.94.64.84.04.24.75.04.54.95.14.93.93.33.23.43.42.5,5.1,4.3,2.5
15,2.41.40.91.30.81.11.31.12.22.31.51.61.82.63.23.73.43.75.34.94.43.93.63.4,5.3,2.6,0.8
16,3.04.24.64.12.61.41.31.42.02.63.03.23.54.05.86.36.06.35.24.84.04.14.13.3,6.3,3.8,1.3
17,3.12.73.03.03.73.33.03.32.62.42.42.92.63.22.62.72.62.71.92.11.71.10.80.8,3.7,2.4,0.8
18,0.71.72.22.13.74.03.64.03.73.53.13.63.03.23.95.25.05.25.65.64.74.64.33.2,5.6,3.8,0.7
19,2.82.83.94.61.91.80.91.84.64.32.63.84.24.55.26.26.56.25.24.33.53.02.52.1,6.5,3.8,0.9
20,1.00.60.80.60.40.90.90.91.32.32.62.32.83.44.24.54.54.53.42.00.81.91.01.7,4.5,2.0,0.4
21,1.32.44.23.93.24.85.34.84.54.94.68.39.810.310.210.410.510.410.29.99.59.59.49.2,10.5,7.1,1.3
22,9.38.68.17.37.06.67.06.64.94.03.83.53.93.94.74.44.44.44.03.22.21.40.81.4,9.3,4.8,0.8
23,0.70.50.70.71.92.72.62.73.63.62.72.52.42.62.73.44.63.42.93.83.94.54.22.3,4.6,2.8,0.5
24,2.43.02.91.92.62.42.82.42.42.53.33.43.24.13.34.04.64.05.15.54.54.05.14.0,5.5,3.6,1.9
25,4.12.83.22.52.43.62.53.62.53.03.43.54.44.85.15.95.75.93.83.12.63.63.02.8,5.9,3.6,2.4
26,2.21.31.01.52.01.41.71.42.72.42.33.85.14.85.25.75.05.74.93.53.93.11.01.0,5.7,3.0,1.0
27,1.31.00.50.61.31.01.51.02.43.23.13.02.33.53.43.02.33.03.52.42.01.01.91.1,3.5,2.1,0.5
28,1.32.73.42.01.63.33.63.33.93.43.34.23.84.33.95.24.55.21.60.90.71.10.21.0,5.2,2.8,0.2
29,1.41.21.62.22.01.92.51.92.82.83.42.53.02.01.63.24.23.24.65.24.82.61.01.3,5.2,2.7,1.0
30,1.51.01.22.33.13.84.53.85.24.94.44.74.94.95.44.83.44.82.73.43.83.33.44.0,5.4,3.7,1.0
31,4.13.13.23.64.44.33.94.34.54.14.94.74.64.73.44.63.94.65.35.53.93.73.63.7,5.5,4.2,3.1
TOTAL,2.42.42.42.42.52.62.62.63.13.13.13.43.74.24.24.54.44.53.93.73.33.12.92.5,5.3,3.2,1.2
