일,00,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,최대,평균,최소
01,16.7,16.7,16.7,16.8,16.8,16.9,16.9,16.9,16.8,16.7,16.7,16.7,16.7,16.8,16.8,16.9,16.9,16.9,16.9,17.0,16.9,16.8,16.8,16.8,17.0,16.8,16.7
02,16.8,16.8,16.9,16.9,16.9,16.9,16.9,16.9,16.9,16.8,16.8,16.8,16.8,16.9,16.9,16.9,16.9,16.9,16.9,16.9,17.0,16.9,17.0,17.0,17.0,16.9,16.8
03,17.0,17.0,17.0,17.0,16.9,16.9,17.0,16.9,17.0,17.0,17.0,16.9,17.0,17.0,17.0,17.0,17.0,17.0,17.2,17.2,17.2,17.2,17.2,17.1,17.2,17.0,16.9
04,17.2,17.3,17.3,17.3,17.2,17.2,17.2,17.2,17.2,17.2,17.2,17.3,17.3,17.3,17.3,17.2,17.2,17.2,17.3,17.3,17.4,17.4,17.4,17.4,17.4,17.3,17.2
05,17.4,17.5,17.5,17.6,17.6,17.6,17.5,17.6,17.6,17.6,17.5,17.5,17.6,17.6,17.6,17.7,17.8,17.7,18.0,18.0,18.0,18.0,17.9,17.9,18.0,17.7,17.4
06,17.9,17.8,17.8,17.9,17.9,17.9,17.9,17.9,17.9,17.9,17.9,17.9,17.9,17.9,17.9,17.9,17.9,17.9,17.9,17.9,17.9,18.0,18.0,17.9,18.0,17.9,17.8
07,17.9,17.9,17.9,17.9,17.9,17.9,17.9,17.9,17.9,17.9,17.9,17.9,17.9,17.9,17.9,17.9,17.9,17.9,18.1,18.2,18.2,18.2,18.1,18.1,18.2,18.0,17.9
08,18.1,18.1,18.1,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,17.9,17.9,17.9,18.1,18.0,17.9
09,17.9,17.9,17.9,17.9,17.8,17.8,17.8,17.8,17.9,17.9,17.9,17.9,17.9,17.9,17.9,17.9,17.8,17.9,17.7,17.8,17.8,17.8,17.8,17.8,17.9,17.8,17.7
10,17.8,17.8,17.7,17.6,17.5,17.5,17.5,17.5,17.5,17.5,17.6,17.6,17.7,17.7,17.7,17.7,17.6,17.7,17.4,17.4,17.5,17.5,17.6,17.6,17.8,17.6,17.4
11,17.7,17.7,17.6,17.6,17.5,17.4,17.4,17.4,17.4,17.4,17.5,17.5,17.6,17.6,17.6,17.6,17.5,17.6,17.4,17.4,17.4,17.4,17.4,17.5,17.7,17.5,17.4
12,17.5,17.5,17.5,17.5,17.5,17.4,17.3,17.4,17.4,17.4,17.3,17.4,17.5,17.5,17.5,17.5,17.5,17.5,17.4,17.4,17.4,17.4,17.4,17.4,17.5,17.4,17.3
13,17.4,17.5,17.5,17.5,17.5,17.5,17.4,17.5,17.3,17.4,17.4,17.5,17.5,17.6,17.6,17.6,17.6,17.6,17.6,17.6,17.6,17.6,17.6,17.6,17.6,17.5,17.3
14,17.7,17.7,17.6,17.7,17.7,17.7,17.7,17.7,17.7,17.7,17.7,17.7,17.7,17.8,17.9,18.0,18.1,18.0,18.1,18.1,18.1,18.1,18.1,18.1,18.1,17.9,17.6
15,18.1,18.1,18.1,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.1,18.0,18.0,18.0,18.0,18.1,18.0,18.0
16,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.1,18.0,18.0,18.0,18.0,18.0,18.2,18.2,18.2,18.2,18.1,18.1,18.2,18.1,18.0
17,18.1,18.1,18.2,18.2,18.2,18.2,18.2,18.2,18.2,18.1,18.1,18.1,18.2,18.3,18.4,18.2,18.2,18.2,18.2,18.3,18.3,18.2,18.2,18.2,18.4,18.2,18.1
18,18.2,18.2,18.2,18.2,18.3,18.3,18.2,18.3,18.3,18.2,18.1,18.1,18.1,18.1,18.2,18.2,18.2,18.2,18.2,18.2,18.2,18.1,18.0,18.0,18.3,18.2,18.0
19,18.0,18.0,18.0,18.0,18.0,18.1,18.1,18.1,18.1,18.1,18.0,18.0,18.0,18.0,18.0,18.1,18.1,18.1,18.2,18.1,18.1,18.1,17.9,17.9,18.2,18.0,17.9
20,17.9,17.9,17.9,17.9,17.9,17.9,17.9,17.9,18.0,18.0,17.9,17.9,17.9,17.9,17.9,17.9,17.9,17.9,18.0,18.0,18.1,18.0,18.0,18.0,18.1,17.9,17.9
