일,000102030405060708091011121314151617181920212223,최대,평균,최소
01,25.525.525.525.425.425.425.425.425.525.525.325.425.425.425.425.525.825.525.925.925.925.925.925.8,25.9,25.6,25.3
02,25.825.825.825.725.725.825.825.825.925.825.825.825.825.825.825.825.925.825.926.026.025.925.825.6,26.0,25.8,25.6
03,25.625.625.625.625.725.825.825.825.825.825.725.325.125.025.025.425.725.425.725.725.725.324.924.8,25.8,25.5,24.8
04,24.624.424.524.524.724.924.924.925.125.125.024.524.023.923.924.124.524.125.025.225.325.224.824.0,25.3,24.7,23.9
05,23.823.823.723.824.024.124.324.124.524.724.624.624.624.724.824.824.924.825.926.026.126.126.126.0,26.1,24.8,23.7
06,25.926.026.126.126.226.426.526.426.726.726.726.726.726.926.927.027.127.027.427.727.827.827.927.9,27.9,26.9,25.9
07,27.928.027.927.927.927.927.927.927.927.927.927.927.927.928.028.128.128.128.128.128.128.128.128.1,28.1,28.0,27.9
08,28.128.128.128.028.028.028.028.028.128.028.028.028.128.128.028.028.028.028.028.128.028.128.128.0,28.1,28.0,28.0
09,28.128.128.128.028.028.028.028.028.028.028.028.028.028.028.028.027.728.027.727.727.727.727.827.8,28.1,27.9,27.6
10,27.928.028.027.927.827.527.227.527.527.727.727.827.927.927.927.827.627.827.127.027.027.027.127.2,28.0,27.5,27.0
11,27.327.427.627.727.527.126.727.126.826.826.927.327.627.527.627.627.427.626.926.826.726.727.027.0,27.7,27.2,26.7
12,27.027.127.127.127.227.127.027.126.626.626.726.927.127.327.327.327.327.326.926.826.726.626.526.6,27.3,26.9,26.5
13,26.626.726.827.027.027.026.927.025.825.725.725.926.526.927.127.127.027.126.425.225.225.125.225.2,27.1,26.3,25.1
14,25.325.325.325.526.026.226.326.226.626.626.726.726.727.227.727.827.827.828.128.228.227.927.627.4,28.2,26.9,25.3
15,27.427.527.627.827.928.027.928.027.827.226.926.826.826.927.127.727.827.727.827.827.326.926.626.5,28.0,27.4,26.5
16,26.426.426.626.726.827.027.227.027.226.725.125.125.225.225.326.026.826.027.227.227.026.325.825.5,27.3,26.4,25.1
17,25.425.425.425.325.525.525.725.526.326.025.725.525.325.225.325.525.625.526.326.526.526.325.425.1,26.5,25.7,25.1
18,24.924.724.724.825.025.225.425.225.725.825.524.723.823.723.723.824.023.825.225.625.825.725.423.7,25.8,24.9,23.7
19,23.323.523.723.824.124.224.324.224.925.125.225.125.425.525.625.625.625.626.226.426.426.426.426.3,26.4,25.2,23.3
20,26.226.025.825.725.825.926.025.926.226.126.126.126.125.725.024.824.824.825.025.125.425.825.825.7,26.2,25.7,24.8
21,25.625.324.624.424.324.424.524.425.325.525.625.725.625.424.823.924.123.924.624.825.025.225.425.6,25.7,24.9,23.9
22,25.825.925.925.925.925.925.925.925.926.026.026.026.026.026.025.925.925.925.926.026.126.326.326.4,26.4,26.0,25.8
23,26.526.526.526.426.426.326.326.326.326.326.326.326.326.326.326.226.026.225.025.025.025.025.125.1,26.5,26.0,25.0
24,25.225.425.725.825.725.425.325.424.925.025.025.125.625.825.825.825.825.826.126.226.126.126.126.1,26.2,25.6,24.9
25,26.126.126.126.126.126.126.126.126.026.026.026.126.226.426.526.626.526.626.126.125.925.825.825.9,26.6,26.1,25.8
26,26.026.126.126.126.226.226.126.225.925.825.926.026.126.126.126.426.426.425.324.724.624.524.524.6,26.4,25.7,24.5
27,24.624.824.925.025.225.325.125.324.624.224.124.524.925.225.425.825.525.825.024.124.123.823.923.8,25.8,24.8,23.8
28,23.923.924.124.224.324.524.424.524.123.823.723.823.924.525.025.125.025.126.226.326.125.825.725.6,26.3,24.7,23.7
29,25.625.625.725.925.925.925.825.925.725.425.325.425.425.625.825.725.725.725.726.226.226.025.925.8,26.2,25.7,25.3
30,25.825.925.926.026.026.026.026.025.825.124.924.924.925.125.525.825.825.825.725.725.024.724.624.5,26.0,25.5,24.5
31,24.524.524.624.724.925.025.125.025.024.523.723.424.124.925.425.625.925.626.326.426.526.626.526.5,26.6,25.2,23.4
TOTAL,25.925.925.926.026.026.126.126.126.126.025.925.825.926.026.126.126.226.126.326.326.226.226.125.9,26.7,26.0,25.2
