일,000102030405060708091011121314151617181920212223,최대,평균,최소
01,1.11.30.50.20.20.20.30.21.21.62.31.82.32.53.33.22.33.20.83.61.81.11.32.1,3.6,1.6,0.2
02,1.80.70.20.30.60.70.50.71.21.21.32.62.12.11.61.62.51.60.90.70.50.80.50.5,2.6,1.2,0.2
03,0.40.50.50.80.40.70.90.70.40.91.11.40.91.22.01.31.61.30.80.90.50.40.40.4,2.0,0.9,0.4
04,0.50.50.91.21.11.32.11.33.33.71.87.17.06.56.36.95.96.95.14.13.02.82.83.1,7.1,3.5,0.5
05,3.33.43.52.92.82.72.82.73.03.13.12.92.92.92.62.21.62.21.82.02.53.12.93.5,3.5,2.8,1.6
06,3.54.03.12.92.72.92.72.91.22.22.12.52.12.62.02.32.62.32.12.92.93.13.83.8,4.0,2.7,1.2
07,4.04.44.74.75.43.94.53.94.14.45.05.65.65.24.94.44.14.44.23.53.32.52.21.8,5.6,4.2,1.8
08,0.91.50.91.81.70.91.30.94.27.35.67.58.98.68.58.55.88.55.16.35.04.94.14.1,8.9,4.5,0.9
09,4.44.04.44.03.73.72.53.72.15.64.13.11.31.11.72.62.02.62.87.95.04.45.04.9,7.9,3.5,1.1
10,4.85.66.16.46.76.77.46.77.96.97.86.46.87.19.16.25.56.25.16.26.15.14.94.7,9.4,6.5,4.7
11,4.74.85.55.15.55.86.05.85.64.33.33.32.83.03.23.73.23.73.12.93.23.73.43.4,6.3,4.1,2.8
12,2.31.31.01.41.20.80.80.80.71.23.84.24.34.03.43.34.03.35.16.37.77.98.38.8,8.8,3.7,0.7
13,8.17.67.66.76.86.87.26.86.56.06.15.55.45.46.06.66.86.66.15.92.82.12.52.5,8.1,5.8,2.1
14,2.65.26.55.65.65.74.35.74.74.54.74.54.24.14.43.53.23.52.11.60.70.40.60.7,6.5,3.6,0.4
15,1.00.40.40.21.43.62.23.64.34.34.54.24.02.92.84.14.34.13.11.50.90.60.40.8,4.5,2.5,0.2
16,0.71.10.41.32.53.13.53.14.64.44.64.33.32.82.61.60.91.61.41.61.51.92.02.3,5.2,2.4,0.4
17,2.42.42.12.02.53.13.33.14.34.33.83.84.84.75.25.25.05.26.06.16.26.66.26.9,6.9,4.5,2.0
18,6.76.27.26.05.05.64.75.65.55.04.25.14.64.44.94.94.44.94.74.34.33.93.33.6,7.2,4.9,3.3
19,3.53.53.02.92.93.03.13.02.52.62.43.33.53.12.83.13.33.12.32.11.81.00.80.6,3.5,2.6,0.6
20,0.30.70.91.11.00.90.90.91.62.94.44.22.92.93.32.72.42.72.51.30.90.91.02.0,4.4,1.9,0.3
21,1.71.51.52.02.01.50.81.50.91.83.94.64.85.04.65.15.15.13.43.12.70.90.40.3,5.1,2.6,0.3
22,0.71.40.50.50.40.20.60.21.30.91.62.01.41.01.11.71.71.71.72.63.93.62.74.0,4.0,1.6,0.2
23,3.73.33.23.83.23.12.83.14.23.44.74.85.56.56.86.66.26.64.63.84.04.86.06.7,6.8,4.6,2.8
24,7.16.46.04.85.14.64.84.67.06.55.96.15.35.46.15.55.05.54.75.35.45.65.34.4,7.1,5.5,4.4
25,3.64.03.92.33.43.63.23.64.74.95.24.63.73.53.83.74.33.72.41.11.01.10.90.9,5.2,3.2,0.9
26,0.91.74.45.45.87.05.57.04.57.07.27.27.17.17.27.16.97.13.01.61.71.71.41.4,7.2,4.8,0.9
27,1.71.20.60.40.71.92.11.91.41.11.10.90.61.22.02.63.02.61.61.72.21.81.81.9,3.0,1.5,0.4
28,2.02.32.22.72.32.01.12.00.90.51.01.41.61.91.91.81.81.81.50.70.51.00.41.1,2.7,1.5,0.4
29,0.90.50.91.64.67.17.37.17.56.76.97.77.47.47.66.65.96.65.43.02.22.21.91.7,7.7,4.8,0.5
30,2.12.22.86.44.66.86.66.86.76.45.95.75.65.56.56.56.76.57.77.36.94.52.74.7,7.7,5.6,2.1
31,8.08.48.18.68.58.47.98.47.97.47.06.96.15.75.65.95.65.95.35.74.93.01.71.9,8.6,6.3,1.7
TOTAL,2.93.03.03.13.23.53.33.53.74.04.14.44.24.14.34.24.04.23.43.53.12.82.62.9,5.8,3.5,1.3
