일,000102030405060708091011121314151617181920212223,최대,평균,최소
01,9.69.69.69.69.69.79.79.79.79.79.79.79.79.79.89.99.99.99.99.89.99.99.99.9,9.9,9.8,9.6
02,10.010.010.010.010.010.010.110.010.010.010.010.110.110.110.210.310.310.310.310.310.310.310.310.3,10.3,10.1,10.0
03,10.310.310.410.410.510.410.410.410.410.410.410.410.310.310.410.410.510.410.410.410.410.410.410.4,10.5,10.4,10.3
04,10.410.410.410.410.510.610.610.610.610.610.610.510.510.510.510.510.610.510.710.610.610.610.610.6,10.7,10.6,10.4
05,10.610.510.510.610.710.710.910.710.810.710.710.710.710.710.710.710.710.710.910.810.810.810.810.8,10.9,10.7,10.5
06,10.810.710.710.810.910.911.010.911.011.011.011.011.011.011.011.111.011.111.211.211.211.211.211.2,11.2,11.0,10.7
07,11.211.211.211.111.111.211.211.211.211.211.211.211.211.111.111.211.111.211.111.211.111.211.211.1,11.2,11.2,11.1
08,11.111.111.111.110.911.011.011.011.111.111.111.111.011.011.011.011.011.011.211.211.211.211.211.1,11.2,11.1,10.9
09,11.111.111.110.910.910.911.010.911.111.111.111.111.111.111.011.011.011.011.111.211.111.111.111.1,11.2,11.1,10.9
10,11.111.111.011.011.011.011.011.011.011.111.111.011.011.011.011.011.011.011.111.111.211.211.211.3,11.3,11.1,11.0
11,11.311.311.211.211.211.211.211.211.311.311.411.411.311.311.211.211.211.211.311.311.411.411.411.4,11.4,11.3,11.2
12,11.411.411.411.311.311.311.311.311.411.411.511.511.511.411.411.411.311.411.311.311.411.411.411.4,11.5,11.4,11.3
13,11.311.411.311.311.311.311.311.311.311.311.511.511.511.511.411.411.411.411.411.411.511.511.611.6,11.6,11.4,11.3
14,11.611.611.611.711.611.611.611.611.611.611.711.711.811.811.811.711.711.711.711.711.711.711.811.8,11.8,11.7,11.6
15,11.811.811.911.811.811.811.811.811.811.711.811.811.811.911.911.911.811.911.811.811.811.811.811.9,11.9,11.8,11.7
16,11.811.911.912.011.911.911.911.911.811.811.811.811.811.911.911.912.011.911.911.911.911.911.911.9,12.0,11.9,11.8
17,11.912.012.012.012.112.212.112.212.012.012.012.012.012.012.112.112.312.112.212.312.312.212.212.2,12.3,12.1,11.9
18,12.212.312.412.512.512.612.612.612.512.512.512.512.512.512.612.712.812.712.912.912.812.812.812.8,12.9,12.6,12.2
19,12.712.712.812.912.912.913.112.913.012.912.912.912.912.912.913.013.113.013.313.313.313.313.213.2,13.3,13.0,12.7
20,13.213.113.113.113.213.213.213.213.213.213.213.113.013.013.013.013.113.013.213.213.213.113.113.0,13.3,13.1,13.0
21,13.013.013.013.013.013.013.013.013.213.113.113.013.013.013.013.013.013.013.113.213.113.113.113.0,13.2,13.1,13.0
22,13.013.013.013.012.913.013.013.013.113.013.013.013.013.013.013.013.013.013.113.213.113.113.113.1,13.2,13.0,12.9
23,13.113.113.113.013.013.113.213.113.213.213.113.113.113.013.013.113.113.113.213.313.313.313.313.3,13.3,13.1,13.0
24,13.313.313.313.313.313.313.413.313.513.513.513.313.313.213.213.213.213.213.213.313.213.213.213.2,13.5,13.3,13.2
25,13.213.213.213.213.213.213.213.213.213.313.313.213.213.213.113.113.113.113.213.213.213.313.313.3,13.3,13.2,13.1
26,13.313.313.313.313.313.413.413.413.513.513.513.513.413.513.413.413.413.413.413.413.513.513.513.5,13.5,13.4,13.3
27,13.613.613.613.613.613.613.713.613.713.713.813.813.813.713.813.813.713.813.713.713.713.713.813.8,13.8,13.7,13.6
28,13.713.713.813.713.713.713.613.713.613.613.713.813.813.813.713.713.613.713.613.613.713.713.713.7,13.8,13.7,13.6
29,13.713.713.813.813.813.913.913.913.913.913.913.913.913.913.913.913.913.913.913.913.914.014.014.0,14.0,13.9,13.7
30,14.014.014.014.114.114.114.114.114.114.114.114.214.214.414.514.514.414.514.514.514.514.614.614.7,14.7,14.3,14.0
31,14.714.814.914.914.914.914.914.914.714.714.714.714.814.915.015.015.015.015.014.914.914.915.015.1,15.1,14.9,14.7
TOTAL,12.112.112.112.112.112.112.112.112.112.112.112.112.112.112.112.212.212.212.212.212.212.212.212.2,12.3,12.2,12.0
