일,000102030405060708091011121314151617181920212223,최대,평균,최소
01,0.91.40.30.00.40.30.30.30.40.40.30.61.21.10.90.60.50.60.60.60.20.10.30.6,1.4,0.5,0.0
02,0.30.50.82.31.91.71.91.72.33.23.02.83.22.52.82.92.22.90.10.82.63.03.61.8,3.6,2.0,0.1
03,1.51.01.51.21.31.11.91.11.22.02.02.62.82.73.23.52.73.52.70.70.51.22.51.9,3.5,1.9,0.5
04,1.61.21.42.42.63.12.93.12.93.61.82.12.02.22.53.24.73.22.71.82.31.52.23.5,5.3,2.6,1.2
05,1.52.03.63.44.85.65.35.65.76.97.15.94.63.81.91.81.51.81.43.92.33.21.92.5,7.1,3.6,1.1
06,1.51.91.20.91.41.44.31.46.28.07.07.37.17.48.47.47.77.47.77.86.86.35.95.6,8.4,5.5,0.9
07,4.74.64.94.23.83.43.03.46.25.75.55.04.64.94.94.74.74.74.23.42.21.61.81.5,6.2,4.1,1.5
08,1.00.81.41.51.00.21.70.21.10.80.31.03.42.42.01.82.71.81.21.20.90.40.10.0,3.4,1.2,0.0
09,0.31.20.80.30.00.50.40.50.30.51.01.00.80.90.60.80.90.80.80.70.51.40.30.5,1.4,0.7,0.0
10,0.50.10.20.40.10.10.00.10.50.50.61.01.02.21.73.12.63.12.72.32.42.11.92.7,3.1,1.3,0.0
11,2.53.43.21.20.00.10.50.11.10.90.50.51.71.52.43.23.63.21.81.40.80.40.11.8,3.6,1.5,0.0
12,1.50.90.70.10.83.32.33.30.20.52.11.00.50.60.71.71.71.70.10.31.03.02.41.2,3.3,1.2,0.1
13,0.40.40.62.82.61.51.71.51.10.51.21.50.70.70.82.82.32.83.32.51.51.41.20.1,3.3,1.5,0.1
14,0.20.70.20.10.51.92.51.91.82.12.32.40.80.50.50.30.20.30.50.20.20.40.00.0,2.5,0.9,0.0
15,0.40.12.02.62.21.81.91.83.12.12.53.23.12.62.41.50.61.51.02.03.13.94.54.9,4.9,2.2,0.1
16,4.54.84.64.54.54.23.34.24.65.45.25.05.04.84.64.84.34.84.74.83.84.03.31.6,5.4,4.3,1.6
17,4.03.73.12.42.63.15.43.14.54.65.85.65.45.55.35.44.05.41.51.51.51.51.71.6,5.8,3.5,1.3
18,0.60.60.61.01.31.11.41.12.51.42.10.82.11.31.31.22.31.22.32.22.93.13.52.1,3.5,1.8,0.6
19,2.12.32.32.22.32.52.32.54.04.43.31.52.81.94.03.51.43.53.71.72.02.22.61.7,4.4,2.6,1.4
20,0.81.10.70.40.40.80.60.83.10.92.92.31.61.11.10.91.10.91.00.70.50.51.92.1,3.1,1.2,0.4
21,1.10.60.80.60.30.70.70.70.60.80.90.80.90.80.80.70.80.70.70.60.60.40.30.2,1.1,0.7,0.2
22,0.61.61.81.61.61.61.31.60.61.22.22.12.01.21.83.43.33.43.02.52.12.02.21.0,3.4,1.8,0.4
23,1.11.31.10.80.50.50.30.50.50.10.00.01.42.83.93.93.93.93.72.01.42.12.12.0,4.2,1.7,0.0
24,1.50.70.70.60.70.70.40.70.21.42.82.62.61.80.90.40.50.40.60.10.01.72.52.5,2.8,1.1,0.0
25,2.11.92.91.60.60.50.40.52.02.02.21.30.30.70.70.61.20.62.71.00.81.82.40.7,2.9,1.4,0.3
26,0.20.81.92.21.31.41.31.42.12.31.72.31.80.80.71.20.51.20.00.00.00.30.90.9,2.3,1.1,0.0
27,1.00.80.81.11.11.11.61.11.83.12.82.81.11.82.72.41.52.43.32.93.62.33.94.1,4.1,2.1,0.8
28,4.42.83.04.35.45.55.75.54.44.41.31.31.11.10.70.90.90.90.91.22.84.14.03.3,5.7,2.9,0.7
29,3.81.70.80.40.40.40.20.40.40.71.91.71.10.71.20.91.00.91.71.41.00.31.10.8,3.8,1.0,0.2
30,0.71.61.51.20.61.82.61.81.10.90.91.81.72.12.45.53.85.55.13.54.32.21.30.7,5.5,2.3,0.6
31,1.32.02.83.63.32.72.92.72.82.52.72.00.91.00.51.02.51.03.42.33.22.82.71.8,3.6,2.4,0.5
TOTAL,1.61.61.71.71.61.82.01.82.22.42.42.32.22.12.22.52.32.52.21.91.92.02.11.8,4.0,2.0,0.5
