일,000102030405060708091011121314151617181920212223,최대,평균,최소
01,23.022.922.922.923.023.022.923.023.023.023.123.123.223.623.423.323.223.322.922.622.722.822.822.9,23.6,23.0,22.6
02,23.323.523.323.323.223.223.123.223.123.323.423.423.524.024.724.624.024.623.522.522.022.022.222.7,24.7,23.3,22.0
03,23.123.723.523.623.923.823.223.823.423.323.223.723.924.224.424.924.724.923.422.721.721.521.521.6,24.9,23.4,21.5
04,22.122.423.123.124.023.923.023.922.922.522.222.422.623.023.123.023.023.022.822.522.521.921.721.7,24.0,22.7,21.7
05,21.722.322.322.323.023.022.923.022.222.122.021.822.023.624.324.824.824.823.622.923.023.223.222.8,24.8,23.0,21.7
06,22.622.823.223.223.223.123.123.122.923.122.922.922.923.023.323.824.223.824.824.723.823.022.422.2,24.8,23.3,22.2
07,21.822.122.022.623.023.023.023.023.023.022.822.722.722.622.622.622.822.622.622.522.422.322.222.3,23.0,22.6,21.8
08,22.422.422.522.522.522.522.522.522.522.522.422.422.422.322.422.522.522.522.822.822.722.622.322.4,22.8,22.5,22.3
09,22.221.921.822.222.222.422.322.422.422.522.622.422.122.222.222.322.822.323.223.122.922.823.022.5,23.2,22.5,21.8
10,22.121.921.721.421.622.422.522.422.322.422.522.822.121.721.821.821.521.822.622.722.622.622.222.6,22.8,22.2,21.4
11,22.722.622.222.121.922.022.222.022.422.422.522.422.522.722.722.722.122.722.122.722.722.722.422.4,22.7,22.4,21.7
12,22.322.322.022.022.122.022.122.022.722.722.622.622.622.722.722.722.722.722.722.722.822.923.223.2,23.2,22.6,22.0
13,23.022.822.722.622.422.322.522.322.823.023.223.123.323.423.523.222.723.222.322.522.522.522.723.0,23.5,22.8,22.3
14,23.022.923.122.822.621.921.421.921.322.122.322.222.222.022.222.222.122.221.621.221.021.121.422.0,23.1,22.0,21.0
15,22.022.021.922.021.921.922.121.922.622.722.822.922.923.123.223.123.323.122.121.621.621.822.822.9,23.3,22.4,21.6
16,22.822.822.723.123.123.123.123.122.922.822.922.922.822.922.922.922.822.922.822.521.821.121.721.2,23.1,22.6,21.1
17,22.122.522.722.522.522.622.522.622.021.921.922.122.623.223.523.423.123.423.122.621.821.421.121.7,23.5,22.4,21.1
18,21.822.423.323.223.122.823.022.822.422.722.622.722.923.223.123.123.023.123.422.922.522.422.322.3,23.4,22.8,21.8
19,22.522.922.622.822.722.522.422.522.622.522.622.522.522.723.023.323.623.323.423.122.621.921.421.6,23.7,22.7,21.4
20,21.621.622.023.123.023.022.623.022.622.221.922.022.022.423.623.924.023.923.522.822.421.721.521.5,24.0,22.5,21.5
21,21.421.221.422.423.123.223.323.222.822.221.621.621.721.821.923.023.723.023.022.121.521.320.921.1,23.7,22.2,20.9
22,21.321.321.622.122.722.823.022.822.923.023.023.123.223.123.223.323.423.323.422.822.622.922.622.3,23.4,22.8,21.3
23,22.021.822.322.722.923.223.123.222.722.622.021.921.922.122.522.822.722.823.523.522.221.721.321.3,23.5,22.5,21.3
24,21.521.321.421.922.422.322.122.322.422.722.822.722.222.822.623.123.123.122.922.622.922.822.722.9,23.1,22.5,21.3
25,23.022.622.722.822.823.123.023.123.023.123.523.523.023.223.223.624.323.624.324.224.724.923.022.7,24.9,23.4,22.6
26,23.123.322.823.424.124.224.624.224.624.524.725.024.324.524.324.224.324.224.625.225.125.224.723.7,25.2,24.3,22.8
27,22.822.222.222.623.123.824.323.824.724.424.424.624.624.123.923.724.123.724.224.725.425.425.326.4,26.4,24.2,22.2
28,24.323.122.322.122.523.023.723.025.125.525.024.524.524.624.223.623.523.623.823.924.725.224.925.5,25.5,24.1,22.1
29,25.624.523.422.722.322.623.122.623.925.025.525.925.624.924.524.824.124.823.623.324.024.823.525.0,25.9,24.2,22.3
30,25.626.225.524.022.822.722.922.723.624.025.025.726.125.424.624.123.724.122.923.124.223.622.823.3,26.2,24.1,22.7
31,24.824.725.125.224.223.723.623.723.924.324.225.225.526.626.325.425.025.424.023.924.123.922.923.7,26.6,24.5,22.9
TOTAL,22.722.722.622.722.822.922.922.922.923.023.023.123.123.323.323.423.423.423.223.022.922.822.522.7,24.1,23.0,21.8
