일,000102030405060708091011121314151617181920212223,최대,평균,최소
01,1.61.71.71.50.30.40.80.40.21.01.01.83.23.23.87.16.47.14.55.65.64.66.85.2,7.1,3.1,0.2
02,5.25.45.03.03.84.94.84.95.86.35.74.13.32.93.83.44.73.45.34.96.06.64.93.8,6.6,4.7,2.9
03,2.12.31.92.11.72.61.52.60.60.50.90.81.22.63.93.53.23.51.10.50.21.11.01.6,3.9,1.7,0.2
04,1.90.92.23.73.12.62.82.61.42.83.13.42.71.70.83.62.63.61.10.90.10.30.60.4,3.7,2.0,0.1
05,0.10.20.81.31.91.61.81.62.22.72.50.61.73.63.83.23.03.20.60.90.50.30.10.1,3.8,1.5,0.1
06,0.70.50.20.20.20.10.10.10.20.50.40.13.54.04.65.86.05.84.15.96.14.92.52.5,6.1,2.4,0.1
07,3.61.60.30.40.10.40.80.40.00.20.51.33.23.64.53.44.93.45.24.23.32.20.81.8,5.2,2.2,0.0
08,1.60.70.30.50.60.20.40.20.00.41.32.53.94.05.14.32.64.32.41.61.60.80.50.1,5.1,1.6,0.0
09,0.40.30.90.41.10.51.10.50.71.71.51.91.81.91.82.52.42.51.71.22.02.02.11.3,2.5,1.4,0.3
10,0.60.40.10.40.20.30.30.30.51.00.41.62.21.91.74.03.84.02.01.50.10.40.40.4,4.0,1.1,0.1
11,0.40.60.10.50.30.50.30.50.30.50.22.02.51.41.13.53.23.50.60.60.50.30.40.3,3.5,0.9,0.1
12,0.10.50.20.40.30.40.30.40.61.01.21.82.75.87.99.85.99.87.37.38.38.07.07.6,9.8,3.9,0.1
13,6.75.85.94.84.35.25.05.26.14.95.34.51.50.92.94.63.14.64.65.03.93.01.72.3,6.7,4.3,0.9
14,1.82.21.91.40.80.40.60.41.41.20.32.02.73.23.23.11.63.11.40.90.60.00.10.2,3.2,1.4,0.0
15,0.41.20.50.10.10.20.60.20.80.20.21.23.54.02.73.23.23.21.92.01.51.51.10.5,4.0,1.4,0.0
16,1.32.12.82.63.85.03.25.01.84.64.84.23.12.21.50.71.80.72.31.00.20.40.80.7,5.0,2.3,0.2
17,0.40.40.91.72.73.24.33.23.43.43.94.23.02.72.71.90.51.92.31.42.31.71.61.5,4.3,2.3,0.4
18,1.71.60.70.90.71.32.01.30.30.10.31.20.31.72.72.92.12.92.12.36.97.24.84.9,7.2,2.2,0.1
19,3.53.43.41.82.32.01.82.01.42.21.81.00.52.22.82.72.62.74.14.22.10.20.40.2,4.2,2.2,0.2
20,0.30.40.40.20.30.60.20.61.91.60.71.52.53.22.02.95.02.91.91.61.30.20.50.2,5.0,1.4,0.2
21,0.40.61.40.93.23.33.63.33.33.12.61.20.30.41.61.81.51.82.11.72.30.70.21.9,3.8,1.8,0.2
22,3.31.82.41.20.01.23.51.22.33.33.13.33.52.92.01.11.41.10.91.40.42.53.13.3,3.5,2.2,0.0
23,3.43.53.33.23.33.43.73.43.73.81.82.50.90.20.60.70.90.70.40.20.81.82.81.6,3.8,2.1,0.2
24,0.20.10.00.00.10.70.50.70.52.61.31.00.90.80.40.10.20.1,2.6,0.6,0.0
25,,,,
26,0.90.91.93.22.63.23.83.67.26.65.04.6,7.2,3.7,0.9
27,4.22.71.22.41.71.21.71.21.61.93.32.81.60.91.72.52.42.52.30.90.61.02.22.7,4.2,2.0,0.6
28,1.42.11.93.43.03.13.63.13.13.22.31.02.13.52.83.01.93.03.81.71.80.61.81.2,3.8,2.4,0.6
29,0.71.50.71.50.50.31.00.33.42.42.21.32.94.33.33.73.53.72.41.91.10.50.20.4,4.3,1.8,0.2
30,0.30.10.10.60.40.41.00.42.62.21.51.41.02.72.83.42.33.40.60.40.30.80.92.1,3.4,1.3,0.1
31,1.81.31.00.60.20.20.40.20.71.11.21.00.10.10.20.65.30.61.80.91.20.40.10.2,5.3,1.1,0.1
TOTAL,1.71.61.41.41.41.61.81.61.82.11.92.02.12.42.73.23.03.22.62.32.42.11.91.9,4.8,2.1,0.3
