일,000102030405060708091011121314151617181920212223,최대,평균,최소
01,19.019.019.019.019.019.019.019.019.019.119.119.119.119.119.119.119.119.119.119.119.219.219.219.2,19.2,19.1,19.0
02,19.219.219.219.219.219.219.219.219.219.219.219.319.319.319.319.219.219.219.319.319.319.319.419.4,19.4,19.3,19.2
03,19.419.419.419.419.419.419.419.419.419.419.419.519.519.519.519.519.519.519.419.419.419.419.519.5,19.5,19.4,19.4
04,19.619.619.719.719.619.519.419.519.419.419.519.519.719.820.020.019.720.019.519.419.319.319.319.4,20.0,19.6,19.3
05,19.519.719.920.020.019.719.619.719.519.519.519.619.719.920.220.320.220.319.819.719.619.719.719.7,20.3,19.8,19.5
06,19.719.819.920.120.320.220.020.219.719.719.719.719.820.020.220.420.520.420.119.919.719.719.719.7,20.5,19.9,19.7
07,19.719.819.920.120.320.320.320.319.919.719.619.619.719.720.020.420.520.420.320.119.819.819.819.8,20.6,20.0,19.6
08,19.819.819.920.020.220.320.320.320.020.020.019.919.820.020.120.320.620.320.720.620.220.119.919.8,20.7,20.1,19.8
09,19.819.819.920.020.220.420.620.420.520.320.020.019.919.819.920.120.420.120.820.720.619.919.819.7,20.8,20.2,19.7
10,19.719.719.719.719.820.120.420.120.620.419.919.819.819.719.819.819.819.819.920.120.019.919.819.8,20.6,19.9,19.7
11,19.819.819.819.919.919.919.919.920.020.019.919.919.919.919.919.919.919.920.020.020.020.020.020.0,20.0,19.9,19.8
12,20.019.919.919.919.919.920.019.920.020.020.020.020.020.020.020.020.020.020.120.120.120.120.120.1,20.1,20.0,19.9
13,20.120.120.020.020.019.919.919.920.120.320.520.620.520.220.020.020.020.020.020.020.120.320.520.7,20.7,20.2,19.9
14,20.620.320.120.120.120.120.120.120.320.420.821.021.121.020.520.320.220.320.120.220.320.420.620.9,21.1,20.4,20.1
15,21.121.120.920.820.520.420.320.420.520.620.921.321.521.521.320.820.620.820.220.220.320.420.620.9,21.5,20.7,20.2
16,21.321.421.421.220.920.620.620.620.620.720.921.321.621.721.721.320.921.320.420.420.420.520.620.8,21.7,20.9,20.4
17,21.221.521.621.521.320.920.720.920.720.720.921.221.621.821.921.821.421.820.820.620.620.720.820.9,21.9,21.1,20.6
18,21.121.521.721.821.621.321.121.320.920.921.021.221.521.822.022.021.922.021.020.820.720.820.820.9,22.0,21.3,20.7
19,21.121.421.721.921.821.621.321.621.021.021.021.221.421.822.022.122.122.121.421.220.820.720.720.8,22.1,21.4,20.7
20,21.021.321.721.922.021.921.721.921.221.121.121.221.421.822.122.322.322.321.821.521.120.921.021.1,22.3,21.5,20.9
21,21.221.321.722.022.222.222.022.221.121.121.121.121.121.321.822.322.422.322.021.321.220.920.920.9,22.4,21.5,20.9
22,20.921.121.321.722.022.122.022.121.221.221.121.121.121.321.521.922.221.922.121.721.321.121.021.0,22.2,21.5,20.9
23,21.021.121.321.521.822.122.122.121.721.421.321.121.121.321.521.822.121.822.222.121.821.421.221.1,22.2,21.6,21.0
24,21.021.121.321.521.722.122.222.122.121.821.621.521.421.421.621.822.021.822.422.322.222.021.621.5,22.4,21.8,21.0
25,21.421.321.521.621.822.122.422.122.422.222.021.821.721.721.721.922.121.922.522.522.522.322.121.6,22.5,22.0,21.3
26,21.321.321.421.521.822.122.422.122.522.522.221.621.521.621.621.621.721.622.122.422.522.321.721.6,22.5,21.9,21.3
27,21.421.421.421.421.321.421.621.422.422.522.422.021.521.421.521.521.421.521.521.722.022.222.121.8,22.5,21.7,21.3
28,21.521.421.421.321.421.421.521.422.122.422.422.322.121.521.321.321.321.321.321.421.621.822.022.1,22.4,21.7,21.3
29,22.021.721.421.421.421.421.421.421.822.122.322.422.221.621.421.421.421.421.421.421.521.521.621.6,22.4,21.6,21.4
30,21.621.521.521.521.521.421.421.421.421.621.922.222.221.821.521.421.421.421.421.421.421.421.521.5,22.2,21.6,21.4
TOTAL,20.520.620.620.720.820.820.820.820.720.720.720.720.820.820.820.920.920.920.820.720.620.620.620.6,21.3,20.7,20.3
