일,00,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,최대,평균,최소
01,24.8,24.4,24.1,23.8,23.6,23.5,23.5,23.5,24.9,26.6,27.3,27.6,27.1,27.3,27.3,27.6,27.6,27.6,27.3,26.6,25.8,25.5,25.5,25.3,27.6,25.8,23.5
02,24.4,24.4,25.0,25.3,25.7,26.2,26.2,26.2,25.8,25.0,25.4,24.6,24.5,24.6,24.9,25.0,25.0,25.0,25.3,25.5,25.5,25.2,25.3,25.3,26.2,25.2,24.4
03,25.2,24.9,24.7,24.2,25.4,25.4,25.4,25.4,26.4,27.2,28.3,28.4,29.6,29.8,29.4,28.5,28.8,28.5,28.0,26.9,26.4,25.9,25.3,25.2,29.8,26.8,24.2
04,25.6,25.6,26.1,25.9,25.6,25.4,25.1,25.4,26.2,27.3,27.5,27.4,27.4,27.5,27.7,27.2,27.5,27.2,26.9,26.6,26.5,26.7,26.8,26.6,27.7,26.5,25.1
05,26.3,25.7,25.7,25.9,25.6,25.8,26.0,25.8,26.5,26.8,27.1,27.2,27.3,26.2,25.4,25.6,25.3,25.6,25.8,25.4,25.1,25.4,25.1,25.0,27.3,25.9,25.0
06,24.7,24.6,24.4,24.3,24.2,24.2,24.0,24.2,24.8,25.7,25.6,25.8,26.5,26.0,26.2,26.3,26.2,26.3,25.4,25.0,24.9,24.9,24.9,24.7,26.5,25.1,24.0
07,24.4,24.5,24.8,24.9,24.7,24.7,24.4,24.7,25.8,27.8,28.3,27.3,27.6,27.6,27.7,26.9,26.1,26.9,25.7,25.2,24.7,24.2,24.0,23.9,28.3,25.6,23.9
08,23.7,23.9,23.9,23.7,23.4,23.1,22.9,23.1,24.1,25.5,25.4,26.0,25.1,26.1,25.8,25.6,25.4,25.6,25.4,24.9,24.4,24.2,24.2,24.0,26.1,24.6,22.9
09,23.7,23.1,23.2,22.9,23.3,23.0,22.6,23.0,25.8,27.4,27.5,27.9,27.7,27.6,27.6,26.8,26.7,26.8,26.5,25.8,25.4,25.1,25.0,24.9,27.9,25.4,22.6
10,24.5,24.3,24.6,24.8,24.4,24.5,24.3,24.5,25.6,28.0,28.4,27.5,27.8,28.6,27.3,27.3,27.4,27.3,27.7,26.9,26.4,26.4,25.9,25.9,28.6,26.3,24.3
