일,00,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,최대,평균,최소
01,26.4,27.5,27.8,27.3,26.2,25.8,25.9,25.8,27.5,28.7,29.9,30.2,30.6,30.8,30.6,30.8,30.7,30.8,28.8,28.6,27.9,27.5,27.5,27.6,30.8,28.4,25.8
02,28.2,28.1,28.3,27.4,26.9,26.6,26.5,26.6,27.9,27.9,29.2,31.5,31.3,31.3,31.4,30.8,30.0,30.8,29.9,29.0,28.6,28.2,27.9,27.9,31.5,28.8,26.5
03,27.4,27.1,26.8,26.6,26.6,26.3,26.4,26.3,28.1,30.8,30.7,30.8,31.0,31.1,31.4,31.6,31.0,31.6,30.5,29.9,28.7,28.3,27.8,27.8,31.6,29.0,26.3
04,26.8,27.2,26.7,26.7,26.9,26.5,26.8,26.5,28.4,28.8,29.3,29.9,30.5,31.4,31.8,32.0,31.6,32.0,29.7,29.2,29.0,28.8,28.4,27.8,32.0,28.9,26.5
05,27.4,27.0,27.2,26.9,26.9,26.9,26.9,26.9,28.1,28.1,29.2,29.8,30.8,31.1,31.1,31.2,30.9,31.2,30.7,29.5,29.0,28.2,28.2,27.6,31.2,28.8,26.9
06,27.1,26.8,26.9,26.8,26.6,26.5,26.6,26.5,27.7,27.9,28.3,29.1,29.5,30.7,30.3,30.2,30.1,30.2,29.9,28.9,28.2,28.0,27.8,27.3,30.7,28.3,26.5
07,26.8,26.5,26.4,26.1,25.8,25.7,25.4,25.7,27.2,28.3,29.1,29.4,29.7,29.7,29.7,29.6,29.8,29.6,29.3,28.8,28.1,27.6,27.0,27.0,29.9,27.9,25.4
08,26.5,26.5,26.2,26.2,26.1,25.7,25.9,25.7,28.3,29.0,30.5,31.0,31.2,31.0,30.5,32.2,30.7,32.2,29.2,28.5,28.1,26.6,25.5,25.7,32.2,28.3,25.5
09,25.8,25.7,25.7,25.3,25.3,25.1,24.9,25.1,27.9,28.6,29.1,30.4,30.5,30.4,30.5,30.8,30.4,30.8,29.9,28.9,27.8,26.8,27.0,26.7,30.8,27.9,24.9
10,26.5,26.4,26.4,26.0,25.7,25.6,25.7,25.6,27.9,28.4,28.8,29.5,30.0,31.0,31.2,31.1,30.8,31.1,29.7,28.9,28.1,27.4,26.8,26.4,31.2,28.1,25.6
11,26.2,26.0,25.9,25.9,25.6,25.7,25.5,25.7,27.7,28.1,29.1,29.1,29.8,30.3,30.0,30.2,30.3,30.2,29.6,28.7,27.9,27.0,26.7,26.2,30.3,27.9,25.5
12,25.9,25.5,25.1,24.9,24.9,25.1,25.3,25.1,27.1,28.1,28.8,29.3,29.6,30.3,30.9,30.9,30.5,30.9,29.4,28.8,28.1,27.9,26.9,27.0,30.9,27.8,24.9
13,26.2,26.5,27.1,26.3,25.5,25.2,25.6,25.2,27.2,27.9,28.7,29.4,30.0,30.1,30.2,30.2,30.0,30.2,29.5,29.0,28.4,28.3,28.2,27.0,30.2,28.1,25.2
14,27.0,27.1,27.4,26.8,26.4,26.3,25.4,26.3,27.5,28.5,29.1,29.7,30.1,30.8,31.3,31.2,30.6,31.2,29.9,29.4,29.0,28.9,28.2,27.5,31.3,28.6,25.4
15,28.3,28.0,27.8,27.6,27.1,27.2,27.2,27.2,27.5,28.3,29.1,29.9,30.2,30.6,31.1,31.3,30.8,31.3,29.9,29.5,29.0,28.8,28.7,28.5,31.3,28.9,27.1
16,28.3,27.8,27.5,27.6,27.4,26.6,26.8,26.6,27.6,28.4,29.2,29.6,30.3,30.8,30.9,30.7,30.3,30.7,29.6,29.4,29.1,28.7,28.0,27.7,30.9,28.7,26.6
17,27.7,28.2,27.9,27.6,26.9,26.6,26.8,26.6,28.2,28.8,29.3,30.2,30.5,31.2,31.2,30.8,30.5,30.8,29.8,29.4,29.0,28.7,28.8,28.6,31.2,28.9,26.6
18,28.5,28.2,27.8,27.0,26.4,26.5,26.9,26.5,28.0,28.8,29.2,29.7,30.3,30.3,30.5,30.6,30.4,30.6,29.6,29.2,28.8,28.5,28.4,28.2,30.6,28.7,26.4
19,27.7,27.8,28.0,27.8,27.7,27.5,27.4,27.5,28.1,28.7,29.4,30.1,30.7,30.9,31.1,31.1,31.2,31.1,30.6,30.0,29.3,29.5,29.6,29.4,31.2,29.3,27.4
20,29.6,29.1,28.4,28.3,28.0,27.6,27.5,27.6,27.7,27.7,28.4,30.1,30.3,30.3,30.2,30.1,30.1,30.1,29.8,29.4,29.1,27.5,27.1,27.9,30.3,28.8,27.1
21,28.3,28.4,27.4,27.1,27.5,28.0,27.8,28.0,27.8,28.0,28.7,29.2,29.8,29.9,28.2,29.4,30.3,29.4,29.8,29.4,29.3,29.5,29.5,29.5,30.3,28.8,27.1
22,29.3,29.1,29.1,29.1,29.0,29.0,29.0,29.0,29.5,29.8,29.9,29.7,30.2,30.1,30.7,30.9,30.2,30.9,30.0,29.9,29.4,29.2,28.9,28.1,30.9,29.5,28.1
23,28.1,28.2,28.2,27.9,27.5,26.4,25.8,26.4,28.2,29.4,30.1,30.5,31.4,31.8,31.4,30.9,30.7,30.9,30.1,29.0,28.4,28.5,28.0,27.5,31.8,29.0,25.8
24,27.3,27.1,26.9,26.9,26.6,26.5,26.3,26.5,27.8,28.8,29.4,29.6,30.6,30.7,30.9,30.8,31.2,30.8,29.8,29.0,27.8,27.6,27.1,27.0,31.2,28.5,26.3
25,26.9,26.5,26.3,26.0,25.9,25.6,25.6,25.6,27.4,28.3,29.3,29.6,30.4,30.6,30.9,30.4,30.2,30.4,29.8,28.6,27.7,27.6,27.1,26.7,30.9,28.1,25.6
26,26.6,26.3,26.2,25.8,25.7,25.7,25.6,25.7,28.6,29.1,29.2,29.4,29.7,30.0,30.4,30.8,30.7,30.8,30.2,28.7,28.1,27.8,27.8,27.2,30.8,28.2,25.6
27,27.1,27.1,27.2,27.8,28.0,27.9,27.9,27.9,28.6,29.2,29.7,30.3,30.1,30.6,30.5,30.4,30.3,30.4,29.3,28.2,27.9,27.8,27.5,27.4,30.6,28.7,27.1
