일,000102030405060708091011121314151617181920212223,최대,평균,최소
01,0.10.20.10.30.40.40.20.40.70.90.90.91.51.72.22.04.02.03.44.54.94.85.44.9,5.4,2.0,0.1
02,4.64.85.24.94.64.63.34.62.32.42.73.22.72.21.30.60.70.61.10.81.20.90.80.9,5.2,2.5,0.6
03,0.60.60.40.41.21.51.41.51.82.13.24.13.83.33.63.54.03.54.03.92.92.52.32.1,4.1,2.5,0.4
04,2.22.42.12.31.91.52.01.51.93.02.52.83.63.83.83.84.13.85.75.55.35.04.74.7,5.7,3.4,1.5
05,3.04.15.35.56.26.56.76.55.05.13.73.13.22.83.14.44.84.43.01.31.61.21.31.1,6.7,3.8,1.1
06,1.41.81.21.00.50.70.90.70.81.11.20.71.01.21.61.70.31.70.90.60.70.20.30.2,1.8,0.9,0.2
07,0.20.70.60.80.60.90.80.90.61.82.74.74.32.14.02.91.62.91.81.10.70.30.60.7,4.7,1.5,0.2
08,0.70.80.60.50.80.90.70.90.70.81.12.33.42.51.11.31.21.31.40.80.90.60.71.1,3.4,1.1,0.5
09,0.70.60.40.40.40.60.60.60.60.70.70.71.71.41.71.91.91.91.31.81.41.00.80.5,1.9,1.0,0.4
10,0.90.80.40.70.80.70.60.70.50.91.41.71.41.21.21.61.71.62.01.40.70.50.30.6,2.0,1.0,0.3
11,0.40.60.60.20.60.60.60.60.40.81.51.62.42.52.72.52.32.51.81.40.81.10.90.6,2.7,1.2,0.2
12,0.90.80.60.70.90.50.40.50.80.41.01.51.93.62.73.42.93.41.61.20.90.80.70.7,3.6,1.3,0.4
13,0.50.40.40.40.40.90.70.90.30.50.81.41.72.03.13.31.93.31.93.13.21.80.80.8,3.3,1.4,0.3
14,0.40.40.20.30.60.50.30.50.30.70.71.62.01.82.83.12.23.11.80.60.70.90.50.3,3.1,1.1,0.2
15,0.40.20.30.20.40.30.30.30.10.60.91.32.95.25.22.32.02.31.61.20.70.80.80.8,5.2,1.3,0.1
16,1.71.31.21.21.11.41.11.42.13.83.73.63.02.31.41.21.81.21.62.11.21.21.21.2,3.8,1.8,1.1
17,1.10.90.80.90.70.70.80.70.90.70.91.01.11.81.71.31.11.31.00.91.00.80.91.0,1.8,1.0,0.7
18,0.90.90.80.91.00.50.80.50.50.40.50.20.30.20.10.30.40.31.00.40.61.32.42.8,2.8,0.8,0.1
19,3.54.13.24.52.43.02.73.03.75.53.53.53.32.61.92.61.62.61.71.40.81.11.70.5,5.5,2.7,0.5
20,0.60.60.50.70.41.82.01.83.03.03.73.83.64.65.55.25.85.27.26.66.26.45.95.3,7.2,3.8,0.4
21,6.26.26.16.56.76.76.96.75.75.16.15.63.84.35.86.36.46.35.45.86.76.66.26.3,6.9,6.0,3.8
22,6.34.13.55.05.04.44.24.45.74.95.86.13.83.83.43.65.33.66.46.36.85.32.82.5,6.8,4.8,2.5
23,2.62.01.91.81.62.01.72.02.11.72.03.04.43.63.02.24.72.25.86.56.26.66.26.1,6.6,3.6,1.6
24,7.45.21.55.15.35.23.95.23.85.25.55.65.86.26.35.85.65.84.95.75.24.93.82.8,7.4,5.0,1.5
25,1.80.81.31.11.31.51.21.50.50.50.81.31.81.01.20.32.40.31.60.40.60.50.50.7,3.3,1.1,0.3
26,0.40.40.50.60.90.90.70.90.81.32.34.44.42.82.82.51.42.52.93.14.35.53.74.9,5.5,2.3,0.4
27,5.65.01.91.11.52.52.22.52.23.75.04.75.24.84.75.24.45.24.63.24.24.54.12.1,5.6,3.7,1.1
28,2.12.12.00.90.50.81.50.81.62.21.83.02.32.83.23.52.83.52.92.23.01.91.91.6,3.5,2.1,0.5
29,1.11.21.91.81.30.81.60.81.72.71.51.62.72.41.91.41.11.40.50.60.71.20.80.7,2.7,1.4,0.5
TOTAL,2.01.91.61.71.71.81.81.81.82.22.32.72.92.82.92.72.82.72.82.62.52.42.22.0,4.4,2.3,0.7
