year,month,산지,기온 평균,수온 평균,풍속 평균
2021,1,군산,0.3,3.3,3.4
2021,2,군산,3.6,4.1,3.8
2021,3,군산,7.4,7.5,3.0
2021,4,군산,12.3,12.0,3.3
2021,5,군산,16.2,16.0,2.9
2021,6,군산,21.6,20.5,2.4
2021,7,군산,26.2,24.0,2.4
2021,8,군산,25.9,26.7,3.0
2021,9,군산,23.0,24.7,3.6
2021,10,군산,17.3,21.2,3.1
2021,11,군산,11.0,14.8,3.8
2021,12,군산,4.4,8.6,3.9
2022,1,군산,0.8,4.3,3.5
2022,2,군산,0.9,3.7,3.9
2022,3,군산,7.0,6.8,3.2
2022,4,군산,12.3,12.1,3.1
2022,5,군산,17.1,17.1,3.3
2022,6,군산,22.3,21.9,3.3
2022,7,군산,26.4,26.3,3.2
2022,8,군산,26.4,27.4,3.5
2022,9,군산,22.2,23.2,3.6
2022,10,군산,15.7,19.0,4.0
2022,11,군산,11.6,14.9,3.1
2022,12,군산,1.4,7.4,3.8
2023,1,군산,0.8,4.4,3.7
2023,2,군산,2.4,4.4,3.2
2023,3,군산,7.6,7.9,3.5
2023,4,군산,12.2,12.2,3.1
2023,5,군산,17.7,16.7,3.1
2023,6,군산,21.4,21.4,3.4
2023,7,군산,25.6,23.5,2.8
2023,8,군산,26.5,25.0,3.0
2023,9,군산,23.6,24.7,3.0
2023,10,군산,17.0,20.6,3.7
2023,11,군산,9.7,14.6,5.2
2023,12,군산,3.8,8.5,4.0
2024,1,군산,2.1,5.4,4.3
2024,2,군산,4.7,5.9,3.9
2024,3,군산,6.7,7.8,4.4
2024,4,군산,13.1,12.2,2.5
2024,5,군산,16.6,16.9,3.8
2024,6,군산,22.0,21.3,3.0
2024,7,군산,26.7,24.3,3.4
2024,8,군산,28.7,28.6,3.2
2024,9,군산,26.3,28.2,3.1
2024,10,군산,18.2,22.0,3.9
2024,11,군산,11.9,16.2,4.5
2024,12,군산,4.1,8.7,4.6
