year,month,산지,기온 평균,수온 평균,풍속 평균
2021,1,군산,0.3,3.3,3.4
2021,2,군산,3.6,4.1,3.8
2021,3,군산,7.4,7.5,3.0
2021,4,군산,12.3,12.0,3.3
2021,5,군산,16.2,16.0,2.9
2021,6,군산,21.6,20.5,2.4
2021,7,군산,26.2,24.0,2.4
2021,8,군산,25.9,26.7,3.0
2021,9,군산,23.0,24.7,3.6
2021,10,군산,17.3,21.2,3.1
2021,11,군산,11.0,14.8,3.8
2021,12,군산,4.4,8.6,3.9
2022,1,군산,0.8,4.3,3.5
2022,2,군산,0.9,3.7,3.9
2022,3,군산,7.0,6.8,3.2
2022,4,군산,12.3,12.1,3.1
2022,5,군산,17.1,17.1,3.3
2022,6,군산,22.3,21.9,3.3
2022,7,군산,26.4,26.3,3.2
2022,8,군산,26.4,27.4,3.5
2022,9,군산,22.2,23.2,3.6
2022,10,군산,15.7,19.0,4.0
2022,11,군산,11.6,14.9,3.1
2022,12,군산,1.4,7.4,3.8
2023,1,군산,0.8,4.4,3.7
2023,2,군산,2.4,4.4,3.2
2023,3,군산,7.6,7.9,3.5
2023,4,군산,12.2,12.2,3.1
2023,5,군산,17.7,16.7,3.1
2023,6,군산,21.4,21.4,3.4
2023,7,군산,25.6,23.5,2.8
2023,8,군산,26.5,25.0,3.0
2023,9,군산,23.6,24.7,3.0
2023,10,군산,17.0,20.6,3.7
2023,11,군산,9.7,14.6,5.2
2023,12,군산,3.8,8.5,4.0
2024,1,군산,2.1,5.4,4.3
2024,2,군산,4.7,5.9,3.9
2024,3,군산,6.7,7.8,4.4
2024,4,군산,13.1,12.2,2.5
2024,5,군산,16.6,16.9,3.8
2024,6,군산,22.0,21.3,3.0
2024,7,군산,26.7,24.3,3.4
2024,8,군산,28.7,28.6,3.2
2024,9,군산,26.3,28.2,3.1
2024,10,군산,18.2,22.0,3.9
2024,11,군산,11.9,16.2,4.5
2024,12,군산,4.1,8.7,4.6
2021,1,여수,3.9,6.7,3.3
2021,2,여수,6.9,7.4,3.5
2021,3,여수,11.5,10.5,2.6
2021,4,여수,15.0,14.2,2.9
2021,5,여수,18.1,17.5,2.9
2021,6,여수,21.9,21.4,2.0
2021,7,여수,26.5,25.5,2.4
2021,8,여수,27.0,27.5,2.6
2021,9,여수,23.7,24.7,3.0
2021,10,여수,19.3,22.5,2.6
2021,11,여수,12.9,17.0,3.0
2021,12,여수,,11.3,
2022,1,여수,4.0,6.9,3.1
2022,2,여수,3.7,6.4,3.8
2022,3,여수,9.9,8.9,2.8
2022,4,여수,14.7,13.9,2.4
2022,5,여수,19.0,17.9,2.6
2022,6,여수,22.0,20.9,2.9
2022,7,여수,26.4,24.8,2.5
2022,8,여수,26.3,24.9,2.5
2022,9,여수,,23.6,3.1
2022,10,여수,,21.1,3.0
2022,11,여수,14.0,16.9,2.6
2022,12,여수,4.0,10.7,3.4
2023,1,여수,3.8,7.0,3.3
2023,2,여수,6.1,7.1,2.8
2023,3,여수,11.0,10.5,2.1
2023,4,여수,14.4,14.4,3.0
2023,5,여수,17.8,17.5,2.3
2023,6,여수,22.1,21.1,2.4
2023,7,여수,24.9,23.0,1.8
2023,8,여수,27.3,25.8,2.2
2023,9,여수,25.1,26.6,2.4
2023,10,여수,18.7,22.2,2.6
2023,11,여수,11.8,16.5,3.2
2023,12,여수,6.5,10.7,3.0
2024,1,여수,4.9,8.0,3.2
2024,2,여수,7.0,8.3,3.1
2024,3,여수,9.2,10.4,3.3
2024,4,여수,15.1,14.7,1.9
2024,5,여수,18.5,18.4,2.6
2024,6,여수,22.4,21.9,2.2
2024,7,여수,25.7,23.5,2.6
2024,8,여수,28.5,26.9,2.2
2024,9,여수,27.1,28.3,2.6
2024,10,여수,20.0,23.4,3.2
2024,11,여수,12.8,18.4,3.5
2024,12,여수,6.1,11.9,3.6
2021,1,통영,3.2,7.1,1.6
2021,2,통영,6.5,8.6,2.0
2021,3,통영,10.6,11.1,2.0
2021,4,통영,14.2,14.3,2.3
2021,5,통영,17.6,16.9,2.1
2021,6,통영,21.4,19.7,1.7
2021,7,통영,26.2,23.7,2.2
2021,8,통영,26.5,26.8,2.1
2021,9,통영,23.1,24.6,2.6
2021,10,통영,18.3,22.1,1.6
2021,11,통영,12.0,17.2,1.6
2021,12,통영,6.1,11.8,1.2
2022,1,통영,3.6,8.5,1.2
2022,2,통영,3.5,7.9,1.5
2022,3,통영,9.9,10.3,1.9
2022,4,통영,14.3,14.2,1.9
2022,5,통영,18.3,17.4,1.8
2022,6,통영,21.8,20.0,2.4
2022,7,통영,26.1,22.9,1.6
2022,8,통영,26.3,24.0,1.9
2022,9,통영,23.2,24.1,2.4
2022,10,통영,17.6,21.2,1.9
2022,11,통영,13.7,17.5,1.3
2022,12,통영,3.8,11.7,1.2
2023,1,통영,3.7,8.9,1.1
2023,2,통영,6.2,8.6,1.5
2023,3,통영,11.3,12.0,1.5
2023,4,통영,14.5,15.3,2.3
2023,5,통영,17.6,17.5,1.8
2023,6,통영,21.9,20.7,1.7
2023,7,통영,25.2,21.8,1.7
2023,8,통영,27.5,26.1,1.9
2023,9,통영,24.5,26.1,1.6
2023,10,통영,17.7,21.7,1.4
2023,11,통영,11.7,16.8,1.4
2023,12,통영,6.4,11.4,1.2
2024,1,통영,4.7,9.2,1.3
2024,2,통영,7.2,9.4,2.3
2024,3,통영,9.2,11.0,1.8
2024,4,통영,15.1,14.8,1.5
2024,5,통영,18.2,18.1,1.9
2024,6,통영,21.9,21.0,1.6
2024,7,통영,25.8,21.5,2.1
2024,8,통영,28.5,26.0,1.8
2024,9,통영,26.6,27.8,2.2
2024,10,통영,19.8,23.3,2.2
2024,11,통영,13.6,19.0,1.5
2024,12,통영,5.8,12.0,1.1
2021,1,제주도,7.2,14.4,5.0
2021,2,제주도,9.4,14.6,5.2
2021,3,제주도,12.0,14.9,4.0
2021,4,제주도,14.7,15.8,4.6
2021,5,제주도,17.9,17.6,4.1
2021,6,제주도,22.1,20.3,2.9
2021,7,제주도,26.7,24.7,3.7
2021,8,제주도,26.6,25.7,3.0
2021,9,제주도,24.1,24.3,4.4
2021,10,제주도,19.7,22.7,2.8
2021,11,제주도,14.3,19.4,4.4
2021,12,제주도,9.3,16.7,4.2
2022,1,제주도,6.4,15.1,3.6
2022,2,제주도,5.6,13.7,4.1
2022,3,제주도,11.0,13.9,3.5
2022,4,제주도,14.5,16.2,3.2
2022,5,제주도,18.0,17.9,3.3
2022,6,제주도,22.3,20.3,3.4
2022,7,제주도,27.1,26.0,3.4
2022,8,제주도,28.1,28.3,3.2
2022,9,제주도,23.6,25.0,4.4
2022,10,제주도,18.3,22.0,3.5
2022,11,제주도,15.5,20.3,3.0
2022,12,제주도,7.5,17.3,4.8
2023,1,제주도,7.3,15.5,4.3
2023,2,제주도,8.0,14.6,3.0
2023,3,제주도,12.0,15.2,2.6
2023,4,제주도,15.0,16.5,4.4
2023,5,제주도,18.2,18.0,2.9
2023,6,제주도,22.0,20.0,3.2
2023,7,제주도,27.0,24.5,3.0
2023,8,제주도,28.1,27.5,2.7
2023,9,제주도,25.7,26.9,2.7
2023,10,제주도,19.6,22.7,2.7
2023,11,제주도,14.1,20.1,4.0
2023,12,제주도,10.0,17.0,4.0
2024,1,제주도,8.4,15.7,4.3
2024,2,제주도,10.0,15.0,4.0
2024,3,제주도,10.9,14.8,4.0
2024,4,제주도,16.0,16.5,2.9
2024,5,제주도,18.2,17.8,3.2
2024,6,제주도,22.0,20.4,2.8
2024,7,제주도,27.9,25.2,3.0
2024,8,제주도,29.3,28.7,2.5
2024,9,제주도,27.3,28.2,3.1
2024,10,제주도,21.2,24.5,3.5
2024,11,제주도,15.7,21.7,4.4
2024,12,제주도,9.3,17.2,4.8
2021,1,안흥,0.7,6.9,4.1
2021,2,안흥,2.8,5.2,4.2
2021,3,안흥,6.2,6.1,2.7
2021,4,안흥,11.1,8.7,2.8
2021,5,안흥,14.2,11.8,2.6
2021,6,안흥,19.4,16.3,1.8
2021,7,안흥,24.7,20.9,1.8
2021,8,안흥,24.7,23.6,2.2
2021,9,안흥,22.9,23.4,2.8
2021,10,안흥,17.8,21.6,2.9
2021,11,안흥,12.0,16.9,4.4
2021,12,안흥,,12.2,
2022,1,안흥,1.1,7.5,4.1
2022,2,안흥,0.7,4.9,4.2
2022,3,안흥,6.0,5.4,3.2
2022,4,안흥,10.4,8.5,2.6
2022,5,안흥,14.7,12.3,2.7
2022,6,안흥,20.0,16.9,2.5
2022,7,안흥,25.1,22.9,1.9
2022,8,안흥,25.5,25.5,2.1
2022,9,안흥,21.3,20.9,2.9
2022,10,안흥,15.3,,3.6
2022,11,안흥,11.9,15.1,3.1
2022,12,안흥,1.6,10.3,4.7
2023,1,안흥,1.3,6.7,4.0
2023,2,안흥,2.5,5.1,3.4
2023,3,안흥,6.4,6.0,3.1
2023,4,안흥,10.9,8.6,2.6
2023,5,안흥,15.6,12.2,2.0
2023,6,안흥,19.2,16.4,1.6
2023,7,안흥,24.4,22.2,2.1
2023,8,안흥,25.3,23.0,2.0
2023,9,안흥,22.9,22.3,2.0
2023,10,안흥,17.7,19.6,2.9
2023,11,안흥,10.1,16.1,4.5
2023,12,안흥,4.5,11.2,4.1
2024,1,안흥,2.5,7.8,3.9
2024,2,안흥,4.2,6.2,3.5
2024,3,안흥,6.2,6.7,3.4
2024,4,안흥,11.8,9.2,1.7
2024,5,안흥,14.8,12.7,2.2
2024,6,안흥,19.8,16.7,1.6
2024,7,안흥,25.0,22.7,2.2
2024,8,안흥,27.9,25.8,1.7
2024,9,안흥,25.3,25.0,2.1
2024,10,안흥,18.5,22.2,3.0
2024,11,안흥,12.7,18.4,4.0
2024,12,안흥,4.9,12.5,4.8
