year,month,산지,기온 평균,수온 평균,풍속 평균
2021,1,여수,3.9,6.7,3.3
2021,2,여수,6.9,7.4,3.5
2021,3,여수,11.5,10.5,2.6
2021,4,여수,15.0,14.2,2.9
2021,5,여수,18.1,17.5,2.9
2021,6,여수,21.9,21.4,2.0
2021,7,여수,26.5,25.5,2.4
2021,8,여수,27.0,27.5,2.6
2021,9,여수,23.7,24.7,3.0
2021,10,여수,19.3,22.5,2.6
2021,11,여수,12.9,17.0,3.0
2021,12,여수,,11.3,
2022,1,여수,4.0,6.9,3.1
2022,2,여수,3.7,6.4,3.8
2022,3,여수,9.9,8.9,2.8
2022,4,여수,14.7,13.9,2.4
2022,5,여수,19.0,17.9,2.6
2022,6,여수,22.0,20.9,2.9
2022,7,여수,26.4,24.8,2.5
2022,8,여수,26.3,24.9,2.5
2022,9,여수,,23.6,3.1
2022,10,여수,,21.1,3.0
2022,11,여수,14.0,16.9,2.6
2022,12,여수,4.0,10.7,3.4
2023,1,여수,3.8,7.0,3.3
2023,2,여수,6.1,7.1,2.8
2023,3,여수,11.0,10.5,2.1
2023,4,여수,14.4,14.4,3.0
2023,5,여수,17.8,17.5,2.3
2023,6,여수,22.1,21.1,2.4
2023,7,여수,24.9,23.0,1.8
2023,8,여수,27.3,25.8,2.2
2023,9,여수,25.1,26.6,2.4
2023,10,여수,18.7,22.2,2.6
2023,11,여수,11.8,16.5,3.2
2023,12,여수,6.5,10.7,3.0
2024,1,여수,4.9,8.0,3.2
2024,2,여수,7.0,8.3,3.1
2024,3,여수,9.2,10.4,3.3
2024,4,여수,15.1,14.7,1.9
2024,5,여수,18.5,18.4,2.6
2024,6,여수,22.4,21.9,2.2
2024,7,여수,25.7,23.5,2.6
2024,8,여수,28.5,26.9,2.2
2024,9,여수,27.1,28.3,2.6
2024,10,여수,20.0,23.4,3.2
2024,11,여수,12.8,18.4,3.5
2024,12,여수,6.1,11.9,3.6
