year,month,산지,기온 평균,수온 평균,풍속 평균
2021,1,제주도,7.2,14.4,5.0
2021,2,제주도,9.4,14.6,5.2
2021,3,제주도,12.0,14.9,4.0
2021,4,제주도,14.7,15.8,4.6
2021,5,제주도,17.9,17.6,4.1
2021,6,제주도,22.1,20.3,2.9
2021,7,제주도,26.7,24.7,3.7
2021,8,제주도,26.6,25.7,3.0
2021,9,제주도,24.1,24.3,4.4
2021,10,제주도,19.7,22.7,2.8
2021,11,제주도,14.3,19.4,4.4
2021,12,제주도,9.3,16.7,4.2
2022,1,제주도,6.4,15.1,3.6
2022,2,제주도,5.6,13.7,4.1
2022,3,제주도,11.0,13.9,3.5
2022,4,제주도,14.5,16.2,3.2
2022,5,제주도,18.0,17.9,3.3
2022,6,제주도,22.3,20.3,3.4
2022,7,제주도,27.1,26.0,3.4
2022,8,제주도,28.1,28.3,3.2
2022,9,제주도,23.6,25.0,4.4
2022,10,제주도,18.3,22.0,3.5
2022,11,제주도,15.5,20.3,3.0
2022,12,제주도,7.5,17.3,4.8
2023,1,제주도,7.3,15.5,4.3
2023,2,제주도,8.0,14.6,3.0
2023,3,제주도,12.0,15.2,2.6
2023,4,제주도,15.0,16.5,4.4
2023,5,제주도,18.2,18.0,2.9
2023,6,제주도,22.0,20.0,3.2
2023,7,제주도,27.0,24.5,3.0
2023,8,제주도,28.1,27.5,2.7
2023,9,제주도,25.7,26.9,2.7
2023,10,제주도,19.6,22.7,2.7
2023,11,제주도,14.1,20.1,4.0
2023,12,제주도,10.0,17.0,4.0
2024,1,제주도,8.4,15.7,4.3
2024,2,제주도,10.0,15.0,4.0
2024,3,제주도,10.9,14.8,4.0
2024,4,제주도,16.0,16.5,2.9
2024,5,제주도,18.2,17.8,3.2
2024,6,제주도,22.0,20.4,2.8
2024,7,제주도,27.9,25.2,3.0
2024,8,제주도,29.3,28.7,2.5
2024,9,제주도,27.3,28.2,3.1
2024,10,제주도,21.2,24.5,3.5
2024,11,제주도,15.7,21.7,4.4
2024,12,제주도,9.3,17.2,4.8
