year,month,산지,기온 평균,수온 평균,풍속 평균
2021,1,통영,3.2,7.1,1.6
2021,2,통영,6.5,8.6,2.0
2021,3,통영,10.6,11.1,2.0
2021,4,통영,14.2,14.3,2.3
2021,5,통영,17.6,16.9,2.1
2021,6,통영,21.4,19.7,1.7
2021,7,통영,26.2,23.7,2.2
2021,8,통영,26.5,26.8,2.1
2021,9,통영,23.1,24.6,2.6
2021,10,통영,18.3,22.1,1.6
2021,11,통영,12.0,17.2,1.6
2021,12,통영,6.1,11.8,1.2
2022,1,통영,3.6,8.5,1.2
2022,2,통영,3.5,7.9,1.5
2022,3,통영,9.9,10.3,1.9
2022,4,통영,14.3,14.2,1.9
2022,5,통영,18.3,17.4,1.8
2022,6,통영,21.8,20.0,2.4
2022,7,통영,26.1,22.9,1.6
2022,8,통영,26.3,24.0,1.9
2022,9,통영,23.2,24.1,2.4
2022,10,통영,17.6,21.2,1.9
2022,11,통영,13.7,17.5,1.3
2022,12,통영,3.8,11.7,1.2
2023,1,통영,3.7,8.9,1.1
2023,2,통영,6.2,8.6,1.5
2023,3,통영,11.3,12.0,1.5
2023,4,통영,14.5,15.3,2.3
2023,5,통영,17.6,17.5,1.8
2023,6,통영,21.9,20.7,1.7
2023,7,통영,25.2,21.8,1.7
2023,8,통영,27.5,26.1,1.9
2023,9,통영,24.5,26.1,1.6
2023,10,통영,17.7,21.7,1.4
2023,11,통영,11.7,16.8,1.4
2023,12,통영,6.4,11.4,1.2
2024,1,통영,4.7,9.2,1.3
2024,2,통영,7.2,9.4,2.3
2024,3,통영,9.2,11.0,1.8
2024,4,통영,15.1,14.8,1.5
2024,5,통영,18.2,18.1,1.9
2024,6,통영,21.9,21.0,1.6
2024,7,통영,25.8,21.5,2.1
2024,8,통영,28.5,26.0,1.8
2024,9,통영,26.6,27.8,2.2
2024,10,통영,19.8,23.3,2.2
2024,11,통영,13.6,19.0,1.5
2024,12,통영,5.8,12.0,1.1
