어종,산지,규격,포장,수량,중량,낙찰고가,낙찰저가,평균가
(선)병어,태안,중,kg,2.2,1,"27,000","27,000","27,000"
(선)홍어,감포,1미,S/P,38.6,1,"8,000","7,000","7,800"
(선)홍어,방어진,대,S/P,1,7,"49,500","49,500","49,500"
(선)홍어,방어진,3미,kg,18.7,1,"6,500","6,000","6,200"
(선)홍어,목포,3미,S/P,58,1,"9,000","8,000","8,500"
(선)홍어,포항,대,kg,73.7,1,"9,000","6,500","8,400"
(선)홍어,포항,중,kg,24.6,1,"6,000","6,000","6,000"
(선)홍어,태안,중,kg,"1,031.9",1,"11,500","3,000","8,100"
(선)홍어,목포,2미,S/P,20,1,"9,500","9,500","9,500"
(선)홍어,방어진,중,kg,289.1,1,"8,500","5,000","7,100"
(선)홍어,방어진,1미,S/P,31,1,"9,000","4,500","6,800"
(선)홍어,포항,대,S/P,177.1,1,"8,000","4,000","7,000"
(선)홍어,대천,중,kg,900.5,1,"10,000","5,500","7,600"
(선)홍어,방어진,6미,S/P,23.8,1,"7,000","7,000","7,000"
(선)홍어,부산(기장),대,S/P,19.6,1,"8,000","6,000","6,500"
(선)홍어,태안,대,가구,449,1,"10,500","5,000","8,000"
(선)홍어,안흥,중,kg,228.1,1,"11,000","3,500","7,800"
(선)홍어,방어진,1미,kg,45.8,1,"10,000","4,000","7,800"
(선)홍어,강구,대,kg,41.2,1,"8,500","7,500","8,000"
(선)홍어,방어진,대,kg,189.5,1,"9,000","4,500","6,500"
(선)홍어,후포,중,kg,5.6,1,"8,000","8,000","8,000"
(선)홍어,안흥,14미,S/P,1,13,"39,000","39,000","39,000"
(선)홍어,방어진,2미,kg,67.1,1,"9,000","4,000","7,600"
(선)홍어,방어진,대,S/P,"1,351.1",1,"9,000","4,000","7,200"
(선)홍어,방어진,2미,S/P,92.9,1,"8,000","4,500","6,400"
(선)홍어,방어진,대,S/P,4,20,"100,000","75,000","87,500"
(선)홍어,방어진,3미,S/P,15.7,1,"8,000","8,000","8,000"
(선)홍어,군산,대,S/P,260,1,"11,000","6,000","8,900"
(선)홍어,방어진,1미,c/s(상자),20.5,1,"9,000","5,500","7,600"
(선)홍어,서산,대,가구,39.3,1,"10,000","6,000","8,300"
(선)홍어,군산,중,kg,40,1,"9,500","9,500","9,500"
(선)홍어,방어진,대,c/s(상자),25,1,"8,000","8,000","8,000"
(선)홍어,태안,대,S/P,391,1,"11,000","3,000","8,100"
(선)홍어,군산,대,kg,84,1,"13,000","10,000","12,900"
